Datetime,"300037544 (Kanalpromenade, Abschnitt 1 (Dingstiege))","353410966 (Kanalpromenade, Abschnitt 1 (Dingstiege) Fahrräder IN)","353410967 (Kanalpromenade, Abschnitt 1 (Dingstiege) Fahrräder OUT)","353426657 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike IN])","353426659 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike IN])","353426660 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike OUT])","353426662 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike OUT])",300037544-status,353410966-status,353410967-status,353426657-status,353426659-status,353426660-status,353426662-status
2025-01-01 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 00:45,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2025-01-01 01:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 01:15,4,1,0,0,0,1,2,0,0,0,0,0,0,0
2025-01-01 01:30,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 01:45,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-01-01 02:00,8,2,0,3,2,0,1,0,0,0,0,0,0,0
2025-01-01 02:15,6,3,0,1,1,1,0,0,0,0,0,0,0,0
2025-01-01 02:30,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-01-01 02:45,3,1,0,2,0,0,0,0,0,0,0,0,0,0
2025-01-01 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 03:15,3,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-01-01 03:30,4,0,1,2,0,0,1,0,0,0,0,0,0,0
2025-01-01 03:45,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-01-01 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 04:15,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2025-01-01 04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-01 04:45,3,1,1,0,0,1,0,0,0,0,0,0,0,0
2025-01-01 05:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-01-01 05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
