Datetime,300037925 (Goldstraße),353413828 (Goldstraße [Bike Stadteinwärts]),353413829 (Goldstraße [Bike Stadtauswärts]),300037925-status,353413828-status,353413829-status
2024-04-25 12:00,5,2,3,0,0,0
2024-04-25 12:15,25,14,11,0,0,0
2024-04-25 12:30,21,12,9,0,0,0
2024-04-25 12:45,15,5,10,0,0,0
2024-04-25 13:00,25,14,11,0,0,0
2024-04-25 13:15,28,12,16,0,0,0
2024-04-25 13:30,28,12,16,0,0,0
2024-04-25 13:45,19,10,9,0,0,0
2024-04-25 14:00,16,7,9,0,0,0
2024-04-25 14:15,22,9,13,0,0,0
2024-04-25 14:30,22,6,16,0,0,0
2024-04-25 14:45,32,19,13,0,0,0
2024-04-25 15:00,20,9,11,0,0,0
2024-04-25 15:15,25,15,10,0,0,0
2024-04-25 15:30,36,21,15,0,0,0
2024-04-25 15:45,41,28,13,0,0,0
2024-04-25 16:00,50,23,27,0,0,0
2024-04-25 16:15,24,17,7,0,0,0
2024-04-25 16:30,27,9,18,0,0,0
2024-04-25 16:45,33,15,18,0,0,0
2024-04-25 17:00,29,13,16,0,0,0
2024-04-25 17:15,33,13,20,0,0,0
2024-04-25 17:30,33,16,17,0,0,0
2024-04-25 17:45,38,20,18,0,0,0
2024-04-25 18:00,34,14,20,0,0,0
2024-04-25 18:15,29,9,20,0,0,0
2024-04-25 18:30,27,11,16,0,0,0
2024-04-25 18:45,18,11,7,0,0,0
2024-04-25 19:00,26,14,12,0,0,0
2024-04-25 19:15,15,8,7,0,0,0
2024-04-25 19:30,21,14,7,0,0,0
2024-04-25 19:45,19,11,8,0,0,0
2024-04-25 20:00,17,9,8,0,0,0
2024-04-25 20:15,11,3,8,0,0,0
2024-04-25 20:30,11,4,7,0,0,0
2024-04-25 20:45,7,1,6,0,0,0
2024-04-25 21:00,7,3,4,0,0,0
2024-04-25 21:15,7,2,5,0,0,0
2024-04-25 21:30,9,3,6,0,0,0
2024-04-25 21:45,5,0,5,0,0,0
2024-04-25 22:00,10,3,7,0,0,0
2024-04-25 22:15,10,4,6,0,0,0
2024-04-25 22:30,5,3,2,0,0,0
2024-04-25 22:45,6,2,4,0,0,0
2024-04-25 23:00,2,0,2,0,0,0
2024-04-25 23:15,6,2,4,0,0,0
2024-04-25 23:30,2,0,2,0,0,0
2024-04-25 23:45,0,0,0,0,0,0
2024-04-26 00:00,6,2,4,0,0,0
2024-04-26 00:15,0,0,0,0,0,0
2024-04-26 00:30,2,1,1,0,0,0
2024-04-26 00:45,1,0,1,0,0,0
2024-04-26 01:00,0,0,0,0,0,0
2024-04-26 01:15,1,0,1,0,0,0
2024-04-26 01:30,0,0,0,0,0,0
2024-04-26 01:45,0,0,0,0,0,0
2024-04-26 02:00,0,0,0,0,0,0
2024-04-26 02:15,0,0,0,0,0,0
2024-04-26 02:30,0,0,0,0,0,0
2024-04-26 02:45,0,0,0,0,0,0
2024-04-26 03:00,0,0,0,0,0,0
2024-04-26 03:15,0,0,0,0,0,0
2024-04-26 03:30,1,1,0,0,0,0
2024-04-26 03:45,0,0,0,0,0,0
2024-04-26 04:00,0,0,0,0,0,0
2024-04-26 04:15,0,0,0,0,0,0
2024-04-26 04:30,1,1,0,0,0,0
2024-04-26 04:45,0,0,0,0,0,0
2024-04-26 05:00,1,0,1,0,0,0
2024-04-26 05:15,4,3,1,0,0,0
2024-04-26 05:30,2,1,1,0,0,0
2024-04-26 05:45,4,4,0,0,0,0
2024-04-26 06:00,5,4,1,0,0,0
2024-04-26 06:15,3,3,0,0,0,0
2024-04-26 06:30,7,7,0,0,0,0
2024-04-26 06:45,8,6,2,0,0,0
2024-04-26 07:00,14,12,2,0,0,0
2024-04-26 07:15,32,29,3,0,0,0
2024-04-26 07:30,57,51,6,0,0,0
2024-04-26 07:45,26,22,4,0,0,0
2024-04-26 08:00,25,20,5,0,0,0
2024-04-26 08:15,30,23,7,0,0,0
2024-04-26 08:30,26,19,7,0,0,0
2024-04-26 08:45,27,22,5,0,0,0
2024-04-26 09:00,18,13,5,0,0,0
2024-04-26 09:15,20,13,7,0,0,0
2024-04-26 09:30,14,10,4,0,0,0
2024-04-26 09:45,27,17,10,0,0,0
2024-04-26 10:00,13,5,8,0,0,0
2024-04-26 10:15,17,9,8,0,0,0
