Datetime,300037925 (Goldstraße),353413828 (Goldstraße [Bike Stadteinwärts]),353413829 (Goldstraße [Bike Stadtauswärts]),300037925-status,353413828-status,353413829-status
2025-06-01 00:00,5,2,3,0,0,0
2025-06-01 00:15,1,0,1,0,0,0
2025-06-01 00:30,2,2,0,0,0,0
2025-06-01 00:45,2,0,2,0,0,0
2025-06-01 01:00,4,2,2,0,0,0
2025-06-01 01:15,0,0,0,0,0,0
2025-06-01 01:30,0,0,0,0,0,0
2025-06-01 01:45,1,0,1,0,0,0
2025-06-01 02:00,0,0,0,0,0,0
2025-06-01 02:15,2,1,1,0,0,0
2025-06-01 02:30,0,0,0,0,0,0
2025-06-01 02:45,0,0,0,0,0,0
2025-06-01 03:00,2,1,1,0,0,0
2025-06-01 03:15,0,0,0,0,0,0
2025-06-01 03:30,0,0,0,0,0,0
2025-06-01 03:45,2,0,2,0,0,0
2025-06-01 04:00,1,0,1,0,0,0
2025-06-01 04:15,1,1,0,0,0,0
2025-06-01 04:30,0,0,0,0,0,0
2025-06-01 04:45,1,0,1,0,0,0
2025-06-01 05:00,0,0,0,0,0,0
2025-06-01 05:15,1,0,1,0,0,0
2025-06-01 05:30,1,1,0,0,0,0
2025-06-01 05:45,0,0,0,0,0,0
2025-06-01 06:00,0,0,0,0,0,0
2025-06-01 06:15,0,0,0,0,0,0
2025-06-01 06:30,0,0,0,0,0,0
2025-06-01 06:45,0,0,0,0,0,0
2025-06-01 07:00,2,1,1,0,0,0
2025-06-01 07:15,2,1,1,0,0,0
2025-06-01 07:30,1,1,0,0,0,0
2025-06-01 07:45,4,2,2,0,0,0
2025-06-01 08:00,3,3,0,0,0,0
2025-06-01 08:15,5,5,0,0,0,0
2025-06-01 08:30,5,3,2,0,0,0
2025-06-01 08:45,8,5,3,0,0,0
2025-06-01 09:00,8,6,2,0,0,0
2025-06-01 09:15,11,6,5,0,0,0
2025-06-01 09:30,13,8,5,0,0,0
2025-06-01 09:45,13,10,3,0,0,0
2025-06-01 10:00,14,6,8,0,0,0
2025-06-01 10:15,14,6,8,0,0,0
2025-06-01 10:30,8,7,1,0,0,0
2025-06-01 10:45,14,10,4,0,0,0
2025-06-01 11:00,8,3,5,0,0,0
2025-06-01 11:15,19,12,7,0,0,0
2025-06-01 11:30,17,10,7,0,0,0
2025-06-01 11:45,18,13,5,0,0,0
2025-06-01 12:00,17,12,5,0,0,0
2025-06-01 12:15,22,14,8,0,0,0
2025-06-01 12:30,21,13,8,0,0,0
2025-06-01 12:45,10,6,4,0,0,0
2025-06-01 13:00,12,10,2,0,0,0
2025-06-01 13:15,24,17,7,0,0,0
2025-06-01 13:30,25,5,20,0,0,0
2025-06-01 13:45,18,14,4,0,0,0
2025-06-01 14:00,15,6,9,0,0,0
2025-06-01 14:15,12,5,7,0,0,0
2025-06-01 14:30,28,24,4,0,0,0
2025-06-01 14:45,26,12,14,0,0,0
2025-06-01 15:00,18,13,5,0,0,0
2025-06-01 15:15,20,15,5,0,0,0
2025-06-01 15:30,15,8,7,0,0,0
2025-06-01 15:45,18,9,9,0,0,0
2025-06-01 16:00,18,12,6,0,0,0
2025-06-01 16:15,16,6,10,0,0,0
2025-06-01 16:30,16,9,7,0,0,0
2025-06-01 16:45,18,13,5,0,0,0
2025-06-01 17:00,23,11,12,0,0,0
2025-06-01 17:15,31,24,7,0,0,0
2025-06-01 17:30,18,8,10,0,0,0
2025-06-01 17:45,25,14,11,0,0,0
2025-06-01 18:00,25,11,14,0,0,0
2025-06-01 18:15,10,8,2,0,0,0
2025-06-01 18:30,13,4,9,0,0,0
2025-06-01 18:45,16,9,7,0,0,0
2025-06-01 19:00,12,9,3,0,0,0
2025-06-01 19:15,17,8,9,0,0,0
2025-06-01 19:30,15,6,9,0,0,0
2025-06-01 19:45,11,8,3,0,0,0
2025-06-01 20:00,3,1,2,0,0,0
2025-06-01 20:15,5,2,3,0,0,0
2025-06-01 20:30,9,4,5,0,0,0
2025-06-01 20:45,7,2,5,0,0,0
2025-06-01 21:00,5,4,1,0,0,0
2025-06-01 21:15,8,3,5,0,0,0
2025-06-01 21:30,9,5,4,0,0,0
2025-06-01 21:45,7,2,5,0,0,0
2025-06-01 22:00,4,3,1,0,0,0
2025-06-01 22:15,2,2,0,0,0,0
2025-06-01 22:30,6,3,3,0,0,0
2025-06-01 22:45,1,0,1,0,0,0
2025-06-01 23:00,3,2,1,0,0,0
2025-06-01 23:15,2,1,1,0,0,0
2025-06-01 23:30,5,2,3,0,0,0
2025-06-01 23:45,2,0,2,0,0,0
