Datetime,300037925 (Goldstraße),353413828 (Goldstraße [Bike Stadteinwärts]),353413829 (Goldstraße [Bike Stadtauswärts]),300037925-status,353413828-status,353413829-status
2025-04-01 00:00,2,0,2,0,0,0
2025-04-01 00:15,0,0,0,0,0,0
2025-04-01 00:30,0,0,0,0,0,0
2025-04-01 00:45,2,1,1,0,0,0
2025-04-01 01:00,0,0,0,0,0,0
2025-04-01 01:15,1,1,0,0,0,0
2025-04-01 01:30,0,0,0,0,0,0
2025-04-01 01:45,0,0,0,0,0,0
2025-04-01 02:00,0,0,0,0,0,0
2025-04-01 02:15,0,0,0,0,0,0
2025-04-01 02:30,0,0,0,0,0,0
2025-04-01 02:45,0,0,0,0,0,0
2025-04-01 03:00,0,0,0,0,0,0
2025-04-01 03:15,1,1,0,0,0,0
2025-04-01 03:30,1,1,0,0,0,0
2025-04-01 03:45,0,0,0,0,0,0
2025-04-01 04:00,0,0,0,0,0,0
2025-04-01 04:15,1,0,1,0,0,0
2025-04-01 04:30,0,0,0,0,0,0
2025-04-01 04:45,1,1,0,0,0,0
2025-04-01 05:00,1,1,0,0,0,0
2025-04-01 05:15,8,4,4,0,0,0
2025-04-01 05:30,2,2,0,0,0,0
2025-04-01 05:45,2,2,0,0,0,0
2025-04-01 06:00,6,5,1,0,0,0
2025-04-01 06:15,10,9,1,0,0,0
2025-04-01 06:30,8,7,1,0,0,0
2025-04-01 06:45,15,13,2,0,0,0
2025-04-01 07:00,34,21,13,0,0,0
2025-04-01 07:15,38,33,5,0,0,0
2025-04-01 07:30,73,66,7,0,0,0
2025-04-01 07:45,54,38,16,0,0,0
2025-04-01 08:00,46,33,13,0,0,0
2025-04-01 08:15,49,35,14,0,0,0
2025-04-01 08:30,36,31,5,0,0,0
2025-04-01 08:45,41,30,11,0,0,0
2025-04-01 09:00,23,17,6,0,0,0
2025-04-01 09:15,29,19,10,0,0,0
2025-04-01 09:30,31,21,10,0,0,0
2025-04-01 09:45,34,25,9,0,0,0
2025-04-01 10:00,25,18,7,0,0,0
2025-04-01 10:15,14,9,5,0,0,0
2025-04-01 10:30,19,13,6,0,0,0
2025-04-01 10:45,24,17,7,0,0,0
2025-04-01 11:00,9,7,2,0,0,0
2025-04-01 11:15,30,16,14,0,0,0
2025-04-01 11:30,30,15,15,0,0,0
2025-04-01 11:45,27,19,8,0,0,0
2025-04-01 12:00,23,14,9,0,0,0
2025-04-01 12:15,23,13,10,0,0,0
2025-04-01 12:30,27,13,14,0,0,0
2025-04-01 12:45,27,16,11,0,0,0
2025-04-01 13:00,34,12,22,0,0,0
2025-04-01 13:15,25,16,9,0,0,0
2025-04-01 13:30,24,13,11,0,0,0
2025-04-01 13:45,31,16,15,0,0,0
2025-04-01 14:00,36,8,28,0,0,0
2025-04-01 14:15,32,15,17,0,0,0
2025-04-01 14:30,27,14,13,0,0,0
2025-04-01 14:45,30,15,15,0,0,0
2025-04-01 15:00,38,21,17,0,0,0
2025-04-01 15:15,26,14,12,0,0,0
2025-04-01 15:30,35,19,16,0,0,0
2025-04-01 15:45,49,28,21,0,0,0
2025-04-01 16:00,51,20,31,0,0,0
2025-04-01 16:15,59,41,18,0,0,0
2025-04-01 16:30,20,10,10,0,0,0
2025-04-01 16:45,40,23,17,0,0,0
2025-04-01 17:00,32,13,19,0,0,0
2025-04-01 17:15,9,2,7,0,0,0
2025-04-01 17:30,0,0,0,0,0,0
2025-04-01 17:45,0,0,0,0,0,0
2025-04-01 18:00,0,0,0,0,0,0
2025-04-01 18:15,0,0,0,0,0,0
2025-04-01 18:30,0,0,0,0,0,0
2025-04-01 18:45,0,0,0,0,0,0
2025-04-01 19:00,0,0,0,0,0,0
2025-04-01 19:15,0,0,0,0,0,0
2025-04-01 19:30,0,0,0,0,0,0
2025-04-01 19:45,0,0,0,0,0,0
2025-04-01 20:00,0,0,0,0,0,0
2025-04-01 20:15,0,0,0,0,0,0
2025-04-01 20:30,0,0,0,0,0,0
2025-04-01 20:45,0,0,0,0,0,0
2025-04-01 21:00,0,0,0,0,0,0
2025-04-01 21:15,0,0,0,0,0,0
2025-04-01 21:30,0,0,0,0,0,0
2025-04-01 21:45,0,0,0,0,0,0
2025-04-01 22:00,0,0,0,0,0,0
2025-04-01 22:15,0,0,0,0,0,0
2025-04-01 22:30,0,0,0,0,0,0
2025-04-01 22:45,0,0,0,0,0,0
2025-04-01 23:00,0,0,0,0,0,0
2025-04-01 23:15,0,0,0,0,0,0
2025-04-01 23:30,0,0,0,0,0,0
2025-04-01 23:45,0,0,0,0,0,0
2025-04-02 00:00,0,0,0,0,0,0
2025-04-02 00:15,0,0,0,0,0,0
2025-04-02 00:30,0,0,0,0,0,0
2025-04-02 00:45,0,0,0,0,0,0
2025-04-02 01:00,0,0,0,0,0,0
2025-04-02 01:15,0,0,0,0,0,0
2025-04-02 01:30,0,0,0,0,0,0
2025-04-02 01:45,0,0,0,0,0,0
2025-04-02 02:00,0,0,0,0,0,0
2025-04-02 02:15,0,0,0,0,0,0
2025-04-02 02:30,0,0,0,0,0,0
2025-04-02 02:45,0,0,0,0,0,0
2025-04-02 03:00,0,0,0,0,0,0
2025-04-02 03:15,0,0,0,0,0,0
2025-04-02 03:30,0,0,0,0,0,0
2025-04-02 03:45,0,0,0,0,0,0
2025-04-02 04:00,0,0,0,0,0,0
2025-04-02 04:15,0,0,0,0,0,0
2025-04-02 04:30,0,0,0,0,0,0
2025-04-02 04:45,0,0,0,0,0,0
2025-04-02 05:00,0,0,0,0,0,0
2025-04-02 05:15,0,0,0,0,0,0
2025-04-02 05:30,0,0,0,0,0,0
2025-04-02 05:45,0,0,0,0,0,0
2025-04-02 06:00,0,0,0,0,0,0
2025-04-02 06:15,0,0,0,0,0,0
2025-04-02 06:30,0,0,0,0,0,0
2025-04-02 06:45,0,0,0,0,0,0
2025-04-02 07:00,0,0,0,0,0,0
2025-04-02 07:15,0,0,0,0,0,0
2025-04-02 07:30,0,0,0,0,0,0
2025-04-02 07:45,0,0,0,0,0,0
2025-04-02 08:00,0,0,0,0,0,0
2025-04-02 08:15,0,0,0,0,0,0
