Datetime,"100053305 (Kanalpromenade, Abschnitt 5)","101053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","102053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)","103053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","104053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)","353306596 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","353306597 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)",100053305-status,101053305-status,102053305-status,103053305-status,104053305-status,353306596-status,353306597-status
2024-07-01 00:00,1,0,1,0,0,,,0,0,0,0,0,,
2024-07-01 00:15,1,0,1,0,0,,,0,0,0,0,0,,
2024-07-01 00:30,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 00:45,3,2,1,0,0,,,0,0,0,0,0,,
2024-07-01 01:00,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 01:15,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 01:30,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 01:45,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 02:00,1,1,0,0,0,,,0,0,0,0,0,,
2024-07-01 02:15,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 02:30,1,0,1,0,0,,,0,0,0,0,0,,
2024-07-01 02:45,1,0,1,0,0,,,0,0,0,0,0,,
2024-07-01 03:00,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 03:15,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 03:30,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 03:45,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 04:00,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 04:15,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 04:30,3,1,2,0,0,,,0,0,0,0,0,,
2024-07-01 04:45,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 05:00,3,0,2,1,0,,,0,0,0,0,0,,
2024-07-01 05:15,1,1,0,0,0,,,0,0,0,0,0,,
2024-07-01 05:30,6,0,5,1,0,,,0,0,0,0,0,,
2024-07-01 05:45,7,1,5,1,0,,,0,0,0,0,0,,
2024-07-01 06:00,11,0,9,2,0,,,0,0,0,0,0,,
2024-07-01 06:15,16,2,13,1,0,,,0,0,0,0,0,,
2024-07-01 06:30,19,0,13,6,0,,,0,0,0,0,0,,
2024-07-01 06:45,11,1,9,1,0,,,0,0,0,0,0,,
2024-07-01 07:00,22,0,20,2,0,,,0,0,0,0,0,,
2024-07-01 07:15,56,3,38,14,1,,,0,0,0,0,0,,
2024-07-01 07:30,53,6,30,17,0,,,0,0,0,0,0,,
2024-07-01 07:45,33,0,23,10,0,,,0,0,0,0,0,,
2024-07-01 08:00,37,6,19,12,0,,,0,0,0,0,0,,
2024-07-01 08:15,23,2,18,3,0,,,0,0,0,0,0,,
2024-07-01 08:30,25,3,17,5,0,,,0,0,0,0,0,,
2024-07-01 08:45,10,1,6,3,0,,,0,0,0,0,0,,
2024-07-01 09:00,8,0,4,4,0,,,0,0,0,0,0,,
2024-07-01 09:15,14,0,10,4,0,,,0,0,0,0,0,,
2024-07-01 09:30,14,1,7,6,0,,,0,0,0,0,0,,
2024-07-01 09:45,13,1,6,6,0,,,0,0,0,0,0,,
2024-07-01 10:00,14,1,8,5,0,,,0,0,0,0,0,,
2024-07-01 10:15,5,0,4,1,0,,,0,0,0,0,0,,
2024-07-01 10:30,16,0,14,2,0,,,0,0,0,0,0,,
2024-07-01 10:45,13,3,7,3,0,,,0,0,0,0,0,,
2024-07-01 11:00,9,2,5,2,0,,,0,0,0,0,0,,
2024-07-01 11:15,6,0,3,3,0,,,0,0,0,0,0,,
2024-07-01 11:30,12,1,4,7,0,,,0,0,0,0,0,,
2024-07-01 11:45,18,0,12,6,0,,,0,0,0,0,0,,
2024-07-01 12:00,16,0,10,6,0,,,0,0,0,0,0,,
2024-07-01 12:15,9,0,5,4,0,,,0,0,0,0,0,,
2024-07-01 12:30,13,1,10,2,0,,,0,0,0,0,0,,
2024-07-01 12:45,24,0,9,15,0,,,0,0,0,0,0,,
2024-07-01 13:00,18,1,9,7,1,,,0,0,0,0,0,,
2024-07-01 13:15,33,3,21,8,1,,,0,0,0,0,0,,
2024-07-01 13:30,16,4,9,3,0,,,0,0,0,0,0,,
2024-07-01 13:45,23,1,13,9,0,,,0,0,0,0,0,,
2024-07-01 14:00,14,1,3,10,0,,,0,0,0,0,0,,
2024-07-01 14:15,13,4,1,8,0,,,0,0,0,0,0,,
2024-07-01 14:30,17,3,10,4,0,,,0,0,0,0,0,,
2024-07-01 14:45,20,7,5,8,0,,,0,0,0,0,0,,
2024-07-01 15:00,11,2,4,5,0,,,0,0,0,0,0,,
2024-07-01 15:15,13,2,4,7,0,,,0,0,0,0,0,,
2024-07-01 15:30,24,4,9,11,0,,,0,0,0,0,0,,
2024-07-01 15:45,26,7,6,13,0,,,0,0,0,0,0,,
2024-07-01 16:00,26,2,8,16,0,,,0,0,0,0,0,,
2024-07-01 16:15,26,3,7,16,0,,,0,0,0,0,0,,
2024-07-01 16:30,26,6,6,14,0,,,0,0,0,0,0,,
2024-07-01 16:45,22,3,4,15,0,,,0,0,0,0,0,,
2024-07-01 17:00,19,0,6,13,0,,,0,0,0,0,0,,
2024-07-01 17:15,25,5,5,15,0,,,0,0,0,0,0,,
2024-07-01 17:30,15,3,3,9,0,,,0,0,0,0,0,,
2024-07-01 17:45,5,0,1,4,0,,,0,0,0,0,0,,
2024-07-01 18:00,14,3,5,6,0,,,0,0,0,0,0,,
2024-07-01 18:15,17,0,7,10,0,,,0,0,0,0,0,,
2024-07-01 18:30,19,4,9,6,0,,,0,0,0,0,0,,
2024-07-01 18:45,16,8,2,6,0,,,0,0,0,0,0,,
2024-07-01 19:00,13,3,7,3,0,,,0,0,0,0,0,,
2024-07-01 19:15,5,1,3,1,0,,,0,0,0,0,0,,
2024-07-01 19:30,15,5,4,6,0,,,0,0,0,0,0,,
2024-07-01 19:45,12,1,5,5,1,,,0,0,0,0,0,,
2024-07-01 20:00,3,0,3,0,0,,,0,0,0,0,0,,
2024-07-01 20:15,7,2,3,2,0,,,0,0,0,0,0,,
2024-07-01 20:30,6,1,3,2,0,,,0,0,0,0,0,,
2024-07-01 20:45,6,1,4,1,0,,,0,0,0,0,0,,
2024-07-01 21:00,8,0,5,3,0,,,0,0,0,0,0,,
2024-07-01 21:15,9,1,5,3,0,,,0,0,0,0,0,,
2024-07-01 21:30,8,3,2,3,0,,,0,0,0,0,0,,
2024-07-01 21:45,3,0,3,0,0,,,0,0,0,0,0,,
2024-07-01 22:00,2,0,1,1,0,,,0,0,0,0,0,,
2024-07-01 22:15,4,0,0,4,0,,,0,0,0,0,0,,
2024-07-01 22:30,2,0,2,0,0,,,0,0,0,0,0,,
2024-07-01 22:45,3,1,0,2,0,,,0,0,0,0,0,,
2024-07-01 23:00,1,0,1,0,0,,,0,0,0,0,0,,
2024-07-01 23:15,0,0,0,0,0,,,0,0,0,0,0,,
2024-07-01 23:30,4,2,1,1,0,,,0,0,0,0,0,,
2024-07-01 23:45,0,0,0,0,0,,,0,0,0,0,0,,
