Datetime,100053305 (Kanalpromenade),101053305 (Kanalpromenade Fahrräder Richtung Osttor),102053305 (Kanalpromenade Fahrräder Richtung Zentrum),103053305 (Kanalpromenade Fahrräder Richtung Osttor),104053305 (Kanalpromenade Fahrräder Richtung Zentrum),353306596 (Kanalpromenade Fahrräder Richtung Osttor),353306597 (Kanalpromenade Fahrräder Richtung Zentrum),100053305-status,101053305-status,102053305-status,103053305-status,104053305-status,353306596-status,353306597-status
2023-11-01 00:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 00:15,6,1,4,1,0,,,0,0,0,0,0,,
2023-11-01 00:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 00:45,3,2,0,1,0,,,0,0,0,0,0,,
2023-11-01 01:00,5,0,5,0,0,,,0,0,0,0,0,,
2023-11-01 01:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 01:30,3,1,1,1,0,,,0,0,0,0,0,,
2023-11-01 01:45,5,0,4,0,1,,,0,0,0,0,0,,
2023-11-01 02:00,2,1,0,1,0,,,0,0,0,0,0,,
2023-11-01 02:15,4,2,0,2,0,,,0,0,0,0,0,,
2023-11-01 02:30,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-01 02:45,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-01 03:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 03:15,2,1,0,1,0,,,0,0,0,0,0,,
2023-11-01 03:30,2,1,1,0,0,,,0,0,0,0,0,,
2023-11-01 03:45,1,1,0,0,0,,,0,0,0,0,0,,
2023-11-01 04:00,2,0,1,1,0,,,0,0,0,0,0,,
2023-11-01 04:15,1,1,0,0,0,,,0,0,0,0,0,,
2023-11-01 04:30,1,1,0,0,0,,,0,0,0,0,0,,
2023-11-01 04:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 05:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 05:15,1,1,0,0,0,,,0,0,0,0,0,,
2023-11-01 05:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 05:45,2,1,1,0,0,,,0,0,0,0,0,,
2023-11-01 06:00,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-01 06:15,1,0,0,1,0,,,0,0,0,0,0,,
2023-11-01 06:30,2,1,0,1,0,,,0,0,0,0,0,,
2023-11-01 06:45,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-01 07:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 07:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 07:30,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-01 07:45,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-01 08:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 08:15,2,2,0,0,0,,,0,0,0,0,0,,
2023-11-01 08:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 08:45,3,1,1,1,0,,,0,0,0,0,0,,
2023-11-01 09:00,3,0,2,1,0,,,0,0,0,0,0,,
2023-11-01 09:15,6,1,4,1,0,,,0,0,0,0,0,,
2023-11-01 09:30,4,3,1,0,0,,,0,0,0,0,0,,
2023-11-01 09:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 10:00,9,4,4,1,0,,,0,0,0,0,0,,
2023-11-01 10:15,10,4,3,3,0,,,0,0,0,0,0,,
2023-11-01 10:30,13,1,9,3,0,,,0,0,0,0,0,,
2023-11-01 10:45,14,4,4,6,0,,,0,0,0,0,0,,
2023-11-01 11:00,14,4,5,5,0,,,0,0,0,0,0,,
2023-11-01 11:15,8,0,5,3,0,,,0,0,0,0,0,,
2023-11-01 11:30,17,3,6,8,0,,,0,0,0,0,0,,
2023-11-01 11:45,19,4,7,8,0,,,0,0,0,0,0,,
2023-11-01 12:00,19,6,6,7,0,,,0,0,0,0,0,,
2023-11-01 12:15,36,11,13,11,1,,,0,0,0,0,0,,
2023-11-01 12:30,24,3,13,7,1,,,0,0,0,0,0,,
2023-11-01 12:45,33,4,19,8,2,,,0,0,0,0,0,,
2023-11-01 13:00,28,8,13,7,0,,,0,0,0,0,0,,
2023-11-01 13:15,30,4,14,10,2,,,0,0,0,0,0,,
2023-11-01 13:30,24,2,15,7,0,,,0,0,0,0,0,,
2023-11-01 13:45,38,8,15,15,0,,,0,0,0,0,0,,
2023-11-01 14:00,38,7,19,12,0,,,0,0,0,0,0,,
2023-11-01 14:15,34,2,20,8,4,,,0,0,0,0,0,,
2023-11-01 14:30,36,5,14,17,0,,,0,0,0,0,0,,
2023-11-01 14:45,46,8,20,15,3,,,0,0,0,0,0,,
2023-11-01 15:00,37,8,14,15,0,,,0,0,0,0,0,,
2023-11-01 15:15,31,4,16,11,0,,,0,0,0,0,0,,
2023-11-01 15:30,27,2,18,7,0,,,0,0,0,0,0,,
2023-11-01 15:45,44,3,25,15,1,,,0,0,0,0,0,,
2023-11-01 16:00,29,5,15,8,1,,,0,0,0,0,0,,
2023-11-01 16:15,21,4,13,3,1,,,0,0,0,0,0,,
2023-11-01 16:30,20,4,10,6,0,,,0,0,0,0,0,,
2023-11-01 16:45,15,1,10,4,0,,,0,0,0,0,0,,
2023-11-01 17:00,30,1,20,6,3,,,0,0,0,0,0,,
2023-11-01 17:15,8,0,5,3,0,,,0,0,0,0,0,,
2023-11-01 17:30,16,3,9,4,0,,,0,0,0,0,0,,
2023-11-01 17:45,5,2,3,0,0,,,0,0,0,0,0,,
2023-11-01 18:00,10,5,2,3,0,,,0,0,0,0,0,,
2023-11-01 18:15,7,1,5,1,0,,,0,0,0,0,0,,
2023-11-01 18:30,4,1,1,2,0,,,0,0,0,0,0,,
2023-11-01 18:45,1,0,0,1,0,,,0,0,0,0,0,,
2023-11-01 19:00,3,0,2,1,0,,,0,0,0,0,0,,
2023-11-01 19:15,5,1,2,2,0,,,0,0,0,0,0,,
2023-11-01 19:30,2,0,1,1,0,,,0,0,0,0,0,,
2023-11-01 19:45,2,1,0,1,0,,,0,0,0,0,0,,
2023-11-01 20:00,4,1,2,1,0,,,0,0,0,0,0,,
2023-11-01 20:15,1,0,0,1,0,,,0,0,0,0,0,,
2023-11-01 20:30,6,1,3,1,1,,,0,0,0,0,0,,
2023-11-01 20:45,5,2,1,2,0,,,0,0,0,0,0,,
2023-11-01 21:00,2,0,1,1,0,,,0,0,0,0,0,,
2023-11-01 21:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 21:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 21:45,3,1,1,1,0,,,0,0,0,0,0,,
2023-11-01 22:00,1,0,0,1,0,,,0,0,0,0,0,,
2023-11-01 22:15,3,0,3,0,0,,,0,0,0,0,0,,
2023-11-01 22:30,2,0,1,0,1,,,0,0,0,0,0,,
2023-11-01 22:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 23:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 23:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-01 23:30,1,0,0,1,0,,,0,0,0,0,0,,
2023-11-01 23:45,1,0,1,0,0,,,0,0,0,0,0,,
2023-11-02 00:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 00:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 00:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 00:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 01:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 01:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 01:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 01:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 02:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 02:15,1,0,0,1,0,,,0,0,0,0,0,,
2023-11-02 02:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 02:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 03:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 03:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 03:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 03:45,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 04:00,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 04:15,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 04:30,0,0,0,0,0,,,0,0,0,0,0,,
2023-11-02 04:45,3,0,3,0,0,,,0,0,0,0,0,,
2023-11-02 05:00,3,0,2,1,0,,,0,0,0,0,0,,
2023-11-02 05:15,2,1,0,1,0,,,0,0,0,0,0,,
2023-11-02 05:30,3,1,1,1,0,,,0,0,0,0,0,,
2023-11-02 05:45,6,0,2,4,0,,,0,0,0,0,0,,
2023-11-02 06:00,8,0,5,3,0,,,0,0,0,0,0,,
2023-11-02 06:15,13,1,11,1,0,,,0,0,0,0,0,,
2023-11-02 06:30,15,0,12,2,1,,,0,0,0,0,0,,
2023-11-02 06:45,20,1,17,2,0,,,0,0,0,0,0,,
2023-11-02 07:00,22,0,20,2,0,,,0,0,0,0,0,,
2023-11-02 07:15,41,3,27,11,0,,,0,0,0,0,0,,
2023-11-02 07:30,42,5,18,19,0,,,0,0,0,0,0,,
2023-11-02 07:45,24,1,14,9,0,,,0,0,0,0,0,,
2023-11-02 08:00,21,0,14,7,0,,,0,0,0,0,0,,
2023-11-02 08:15,12,0,8,4,0,,,0,0,0,0,0,,
2023-11-02 08:30,10,0,2,8,0,,,0,0,0,0,0,,
2023-11-02 08:45,9,1,6,2,0,,,0,0,0,0,0,,
2023-11-02 09:00,15,3,6,6,0,,,0,0,0,0,0,,
2023-11-02 09:15,10,0,7,3,0,,,0,0,0,0,0,,
2023-11-02 09:30,13,3,8,2,0,,,0,0,0,0,0,,
2023-11-02 09:45,6,1,3,2,0,,,0,0,0,0,0,,
2023-11-02 10:00,6,1,2,3,0,,,0,0,0,0,0,,
2023-11-02 10:15,8,2,2,4,0,,,0,0,0,0,0,,
2023-11-02 10:30,3,0,1,2,0,,,0,0,0,0,0,,
2023-11-02 10:45,8,1,5,2,0,,,0,0,0,0,0,,
2023-11-02 11:00,6,0,5,1,0,,,0,0,0,0,0,,
2023-11-02 11:15,7,1,3,3,0,,,0,0,0,0,0,,
2023-11-02 11:30,13,0,7,6,0,,,0,0,0,0,0,,
2023-11-02 11:45,4,0,2,2,0,,,0,0,0,0,0,,
2023-11-02 12:00,11,1,5,5,0,,,0,0,0,0,0,,
2023-11-02 12:15,6,3,1,2,0,,,0,0,0,0,0,,
2023-11-02 12:30,8,0,6,2,0,,,0,0,0,0,0,,
2023-11-02 12:45,10,0,6,4,0,,,0,0,0,0,0,,
2023-11-02 13:00,9,0,3,6,0,,,0,0,0,0,0,,
2023-11-02 13:15,12,1,9,2,0,,,0,0,0,0,0,,
2023-11-02 13:30,21,0,15,4,2,,,0,0,0,0,0,,
