Datetime,"100053305 (Kanalpromenade, Abschnitt 5)","101053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","102053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)","103053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","104053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)","353306596 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","353306597 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)",100053305-status,101053305-status,102053305-status,103053305-status,104053305-status,353306596-status,353306597-status
2025-04-01 00:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 00:15,1,0,1,0,0,,,0,0,0,0,0,,
2025-04-01 00:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 00:45,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 01:00,1,1,0,0,0,,,0,0,0,0,0,,
2025-04-01 01:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 01:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 01:45,1,1,0,0,0,,,0,0,0,0,0,,
2025-04-01 02:00,1,0,1,0,0,,,0,0,0,0,0,,
2025-04-01 02:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 02:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 02:45,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 03:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 03:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 03:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 03:45,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 04:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-04-01 04:15,2,0,0,2,0,,,0,0,0,0,0,,
2025-04-01 04:30,1,0,1,0,0,,,0,0,0,0,0,,
2025-04-01 04:45,3,0,3,0,0,,,0,0,0,0,0,,
2025-04-01 05:00,3,1,2,0,0,,,0,0,0,0,0,,
2025-04-01 05:15,2,1,0,1,0,,,0,0,0,0,0,,
2025-04-01 05:30,4,0,2,2,0,,,0,0,0,0,0,,
2025-04-01 05:45,10,0,8,2,0,,,0,0,0,0,0,,
2025-04-01 06:00,12,0,8,4,0,,,0,0,0,0,0,,
2025-04-01 06:15,13,0,7,6,0,,,0,0,0,0,0,,
2025-04-01 06:30,13,0,10,3,0,,,0,0,0,0,0,,
2025-04-01 06:45,23,0,17,6,0,,,0,0,0,0,0,,
2025-04-01 07:00,31,0,26,5,0,,,0,0,0,0,0,,
2025-04-01 07:15,56,2,43,11,0,,,0,0,0,0,0,,
2025-04-01 07:30,51,5,24,21,1,,,0,0,0,0,0,,
2025-04-01 07:45,47,1,29,17,0,,,0,0,0,0,0,,
2025-04-01 08:00,31,2,18,11,0,,,0,0,0,0,0,,
2025-04-01 08:15,18,0,11,7,0,,,0,0,0,0,0,,
2025-04-01 08:30,22,1,14,7,0,,,0,0,0,0,0,,
2025-04-01 08:45,17,0,10,7,0,,,0,0,0,0,0,,
2025-04-01 09:00,21,2,15,4,0,,,0,0,0,0,0,,
2025-04-01 09:15,12,1,4,7,0,,,0,0,0,0,0,,
