Datetime,100031300 (Hafenstraße),101031300 (Channel 1 IN),102031300 (Channel 2 OUT),100031300-status,101031300-status,102031300-status
2021-07-01 00:00,22,8,14,0,0,0
2021-07-01 00:15,26,13,13,0,0,0
2021-07-01 00:30,17,7,10,0,0,0
2021-07-01 00:45,31,16,15,0,0,0
2021-07-01 01:00,11,1,10,0,0,0
2021-07-01 01:15,14,3,11,0,0,0
2021-07-01 01:30,6,2,4,0,0,0
2021-07-01 01:45,12,1,11,0,0,0
2021-07-01 02:00,6,1,5,0,0,0
2021-07-01 02:15,4,1,3,0,0,0
2021-07-01 02:30,12,7,5,0,0,0
2021-07-01 02:45,3,1,2,0,0,0
2021-07-01 03:00,3,0,3,0,0,0
2021-07-01 03:15,4,3,1,0,0,0
2021-07-01 03:30,0,0,0,0,0,0
2021-07-01 03:45,0,0,0,0,0,0
2021-07-01 04:00,1,1,0,0,0,0
2021-07-01 04:15,2,1,1,0,0,0
2021-07-01 04:30,7,2,5,0,0,0
2021-07-01 04:45,3,0,3,0,0,0
2021-07-01 05:00,3,2,1,0,0,0
2021-07-01 05:15,8,5,3,0,0,0
2021-07-01 05:30,16,8,8,0,0,0
2021-07-01 05:45,14,8,6,0,0,0
2021-07-01 06:00,23,12,11,0,0,0
2021-07-01 06:15,35,13,22,0,0,0
2021-07-01 06:30,47,23,24,0,0,0
2021-07-01 06:45,74,43,31,0,0,0
2021-07-01 07:00,73,37,36,0,0,0
2021-07-01 07:15,102,48,54,0,0,0
2021-07-01 07:30,121,51,70,0,0,0
2021-07-01 07:45,144,66,78,0,0,0
2021-07-01 08:00,126,55,71,0,0,0
2021-07-01 08:15,133,68,65,0,0,0
2021-07-01 08:30,131,52,79,0,0,0
2021-07-01 08:45,162,77,85,0,0,0
2021-07-01 09:00,113,48,65,0,0,0
2021-07-01 09:15,92,36,56,0,0,0
2021-07-01 09:30,94,36,58,0,0,0
2021-07-01 09:45,109,41,68,0,0,0
2021-07-01 10:00,109,43,66,0,0,0
2021-07-01 10:15,83,39,44,0,0,0
2021-07-01 10:30,86,39,47,0,0,0
2021-07-01 10:45,90,41,49,0,0,0
2021-07-01 11:00,100,41,59,0,0,0
2021-07-01 11:15,83,27,56,0,0,0
2021-07-01 11:30,83,31,52,0,0,0
2021-07-01 11:45,92,34,58,0,0,0
2021-07-01 12:00,85,34,51,0,0,0
2021-07-01 12:15,94,36,58,0,0,0
2021-07-01 12:30,92,25,67,0,0,0
2021-07-01 12:45,99,38,61,0,0,0
2021-07-01 13:00,110,38,72,0,0,0
2021-07-01 13:15,109,41,68,0,0,0
2021-07-01 13:30,91,37,54,0,0,0
2021-07-01 13:45,113,54,59,0,0,0
2021-07-01 14:00,105,44,61,0,0,0
2021-07-01 14:15,108,43,65,0,0,0
2021-07-01 14:30,103,47,56,0,0,0
2021-07-01 14:45,89,37,52,0,0,0
2021-07-01 15:00,110,48,62,0,0,0
2021-07-01 15:15,115,51,64,0,0,0
2021-07-01 15:30,132,59,73,0,0,0
2021-07-01 15:45,142,63,79,0,0,0
2021-07-01 16:00,125,47,78,0,0,0
2021-07-01 16:15,132,55,77,0,0,0
2021-07-01 16:30,103,51,52,0,0,0
2021-07-01 16:45,146,68,78,0,0,0
2021-07-01 17:00,152,58,94,0,0,0
2021-07-01 17:15,154,60,94,0,0,0
2021-07-01 17:30,139,63,76,0,0,0
2021-07-01 17:45,147,64,83,0,0,0
2021-07-01 18:00,148,71,77,0,0,0
2021-07-01 18:15,150,69,81,0,0,0
2021-07-01 18:30,118,51,67,0,0,0
2021-07-01 18:45,127,73,54,0,0,0
2021-07-01 19:00,113,64,49,0,0,0
2021-07-01 19:15,109,58,51,0,0,0
2021-07-01 19:30,106,53,53,0,0,0
2021-07-01 19:45,106,52,54,0,0,0
2021-07-01 20:00,101,55,46,0,0,0
2021-07-01 20:15,66,30,36,0,0,0
2021-07-01 20:30,65,26,39,0,0,0
2021-07-01 20:45,63,32,31,0,0,0
2021-07-01 21:00,59,32,27,0,0,0
2021-07-01 21:15,60,25,35,0,0,0
2021-07-01 21:30,59,27,32,0,0,0
2021-07-01 21:45,44,24,20,0,0,0
2021-07-01 22:00,61,23,38,0,0,0
2021-07-01 22:15,53,13,40,0,0,0
2021-07-01 22:30,44,17,27,0,0,0
2021-07-01 22:45,48,13,35,0,0,0
2021-07-01 23:00,46,23,23,0,0,0
2021-07-01 23:15,39,13,26,0,0,0
2021-07-01 23:30,34,8,26,0,0,0
2021-07-01 23:45,14,3,11,0,0,0
2021-07-02 00:00,17,8,9,0,0,0
2021-07-02 00:15,26,11,15,0,0,0
2021-07-02 00:30,18,7,11,0,0,0
2021-07-02 00:45,17,12,5,0,0,0
2021-07-02 01:00,11,7,4,0,0,0
2021-07-02 01:15,19,13,6,0,0,0
2021-07-02 01:30,11,4,7,0,0,0
2021-07-02 01:45,10,1,9,0,0,0
2021-07-02 02:00,8,3,5,0,0,0
2021-07-02 02:15,7,0,7,0,0,0
2021-07-02 02:30,0,0,0,0,0,0
2021-07-02 02:45,4,0,4,0,0,0
2021-07-02 03:00,1,0,1,0,0,0
2021-07-02 03:15,5,0,5,0,0,0
2021-07-02 03:30,2,1,1,0,0,0
2021-07-02 03:45,1,1,0,0,0,0
2021-07-02 04:00,1,1,0,0,0,0
2021-07-02 04:15,4,2,2,0,0,0
2021-07-02 04:30,4,3,1,0,0,0
2021-07-02 04:45,8,3,5,0,0,0
2021-07-02 05:00,11,4,7,0,0,0
2021-07-02 05:15,5,5,0,0,0,0
2021-07-02 05:30,17,6,11,0,0,0
2021-07-02 05:45,13,9,4,0,0,0
2021-07-02 06:00,18,10,8,0,0,0
2021-07-02 06:15,35,12,23,0,0,0
2021-07-02 06:30,38,22,16,0,0,0
2021-07-02 06:45,87,42,45,0,0,0
2021-07-02 07:00,75,40,35,0,0,0
2021-07-02 07:15,108,59,49,0,0,0
2021-07-02 07:30,122,55,67,0,0,0
2021-07-02 07:45,129,65,64,0,0,0
2021-07-02 08:00,126,60,66,0,0,0
2021-07-02 08:15,111,57,54,0,0,0
2021-07-02 08:30,117,52,65,0,0,0
2021-07-02 08:45,141,60,81,0,0,0
2021-07-02 09:00,96,43,53,0,0,0
2021-07-02 09:15,76,32,44,0,0,0
2021-07-02 09:30,97,47,50,0,0,0
2021-07-02 09:45,115,58,57,0,0,0
2021-07-02 10:00,94,44,50,0,0,0
2021-07-02 10:15,91,42,49,0,0,0
2021-07-02 10:30,104,45,59,0,0,0
2021-07-02 10:45,154,73,81,0,0,0
2021-07-02 11:00,104,45,59,0,0,0
2021-07-02 11:15,107,56,51,0,0,0
2021-07-02 11:30,133,73,60,0,0,0
2021-07-02 11:45,124,58,66,0,0,0
2021-07-02 12:00,104,44,60,0,0,0
2021-07-02 12:15,138,54,84,0,0,0
2021-07-02 12:30,139,58,81,0,0,0
2021-07-02 12:45,128,59,69,0,0,0
2021-07-02 13:00,148,65,83,0,0,0
2021-07-02 13:15,151,61,90,0,0,0
2021-07-02 13:30,151,66,85,0,0,0
2021-07-02 13:45,151,66,85,0,0,0
2021-07-02 14:00,122,47,75,0,0,0
2021-07-02 14:15,123,53,70,0,0,0
2021-07-02 14:30,121,68,53,0,0,0
2021-07-02 14:45,133,46,87,0,0,0
2021-07-02 15:00,140,64,76,0,0,0
2021-07-02 15:15,110,51,59,0,0,0
2021-07-02 15:30,137,74,63,0,0,0
2021-07-02 15:45,134,61,73,0,0,0
2021-07-02 16:00,132,80,52,0,0,0
2021-07-02 16:15,122,63,59,0,0,0
2021-07-02 16:30,141,73,68,0,0,0
2021-07-02 16:45,123,75,48,0,0,0
2021-07-02 17:00,140,73,67,0,0,0
2021-07-02 17:15,149,73,76,0,0,0
2021-07-02 17:30,168,87,81,0,0,0
2021-07-02 17:45,133,75,58,0,0,0
2021-07-02 18:00,135,68,67,0,0,0
2021-07-02 18:15,137,67,70,0,0,0
2021-07-02 18:30,135,69,66,0,0,0
2021-07-02 18:45,193,104,89,0,0,0
2021-07-02 19:00,128,63,65,0,0,0
2021-07-02 19:15,133,74,59,0,0,0
2021-07-02 19:30,108,54,54,0,0,0
2021-07-02 19:45,118,70,48,0,0,0
2021-07-02 20:00,126,52,74,0,0,0
2021-07-02 20:15,84,42,42,0,0,0
2021-07-02 20:30,88,43,45,0,0,0
2021-07-02 20:45,106,46,60,0,0,0
2021-07-02 21:00,98,47,51,0,0,0
2021-07-02 21:15,80,38,42,0,0,0
2021-07-02 21:30,71,30,41,0,0,0
2021-07-02 21:45,82,24,58,0,0,0
2021-07-02 22:00,91,39,52,0,0,0
2021-07-02 22:15,82,34,48,0,0,0
2021-07-02 22:30,68,21,47,0,0,0
2021-07-02 22:45,56,27,29,0,0,0
2021-07-02 23:00,80,38,42,0,0,0
2021-07-02 23:15,71,33,38,0,0,0
2021-07-02 23:30,83,32,51,0,0,0
2021-07-02 23:45,61,29,32,0,0,0
