Datetime,100031300 (Hafenstraße),101031300 (Channel 1 IN),102031300 (Channel 2 OUT),100031300-status,101031300-status,102031300-status
2022-03-01 00:00,7,3,4,0,0,0
2022-03-01 00:15,7,0,7,0,0,0
2022-03-01 00:30,11,7,4,0,0,0
2022-03-01 00:45,9,4,5,0,0,0
2022-03-01 01:00,2,2,0,0,0,0
2022-03-01 01:15,4,1,3,0,0,0
2022-03-01 01:30,3,1,2,0,0,0
2022-03-01 01:45,4,2,2,0,0,0
2022-03-01 02:00,3,0,3,0,0,0
2022-03-01 02:15,4,3,1,0,0,0
2022-03-01 02:30,9,5,4,0,0,0
2022-03-01 02:45,1,1,0,0,0,0
2022-03-01 03:00,0,0,0,0,0,0
2022-03-01 03:15,1,1,0,0,0,0
2022-03-01 03:30,1,0,1,0,0,0
2022-03-01 03:45,6,0,6,0,0,0
2022-03-01 04:00,2,0,2,0,0,0
2022-03-01 04:15,6,2,4,0,0,0
2022-03-01 04:30,2,1,1,0,0,0
2022-03-01 04:45,6,1,5,0,0,0
2022-03-01 05:00,1,1,0,0,0,0
2022-03-01 05:15,4,2,2,0,0,0
2022-03-01 05:30,10,5,5,0,0,0
2022-03-01 05:45,19,10,9,0,0,0
2022-03-01 06:00,30,17,13,0,0,0
2022-03-01 06:15,29,13,16,0,0,0
2022-03-01 06:30,38,16,22,0,0,0
2022-03-01 06:45,52,31,21,0,0,0
2022-03-01 07:00,79,48,31,0,0,0
2022-03-01 07:15,85,45,40,0,0,0
2022-03-01 07:30,107,59,48,0,0,0
2022-03-01 07:45,106,61,45,0,0,0
2022-03-01 08:00,108,51,57,0,0,0
2022-03-01 08:15,125,65,60,0,0,0
2022-03-01 08:30,108,53,55,0,0,0
2022-03-01 08:45,117,53,64,0,0,0
2022-03-01 09:00,88,44,44,0,0,0
2022-03-01 09:15,81,33,48,0,0,0
2022-03-01 09:30,71,28,43,0,0,0
2022-03-01 09:45,89,40,49,0,0,0
2022-03-01 10:00,74,33,41,0,0,0
2022-03-01 10:15,70,38,32,0,0,0
2022-03-01 10:30,73,38,35,0,0,0
2022-03-01 10:45,73,38,35,0,0,0
2022-03-01 11:00,64,26,38,0,0,0
2022-03-01 11:15,66,25,41,0,0,0
2022-03-01 11:30,71,26,45,0,0,0
2022-03-01 11:45,83,43,40,0,0,0
2022-03-01 12:00,96,44,52,0,0,0
2022-03-01 12:15,103,34,69,0,0,0
2022-03-01 12:30,86,41,45,0,0,0
2022-03-01 12:45,98,30,68,0,0,0
2022-03-01 13:00,102,47,55,0,0,0
2022-03-01 13:15,82,41,41,0,0,0
2022-03-01 13:30,83,37,46,0,0,0
2022-03-01 13:45,101,50,51,0,0,0
2022-03-01 14:00,89,47,42,0,0,0
2022-03-01 14:15,90,45,45,0,0,0
2022-03-01 14:30,117,63,54,0,0,0
2022-03-01 14:45,131,54,77,0,0,0
2022-03-01 15:00,107,55,52,0,0,0
2022-03-01 15:15,105,40,65,0,0,0
2022-03-01 15:30,139,39,100,0,0,0
2022-03-01 15:45,115,56,59,0,0,0
2022-03-01 16:00,128,57,71,0,0,0
2022-03-01 16:15,127,47,80,0,0,0
2022-03-01 16:30,117,48,69,0,0,0
2022-03-01 16:45,127,63,64,0,0,0
2022-03-01 17:00,145,78,67,0,0,0
2022-03-01 17:15,146,70,76,0,0,0
2022-03-01 17:30,146,67,79,0,0,0
2022-03-01 17:45,182,98,84,0,0,0
2022-03-01 18:00,160,83,77,0,0,0
2022-03-01 18:15,121,53,68,0,0,0
2022-03-01 18:30,120,59,61,0,0,0
2022-03-01 18:45,121,60,61,0,0,0
2022-03-01 19:00,126,76,50,0,0,0
2022-03-01 19:15,115,65,50,0,0,0
2022-03-01 19:30,98,52,46,0,0,0
2022-03-01 19:45,93,46,47,0,0,0
2022-03-01 20:00,86,40,46,0,0,0
2022-03-01 20:15,74,25,49,0,0,0
2022-03-01 20:30,56,17,39,0,0,0
2022-03-01 20:45,55,29,26,0,0,0
2022-03-01 21:00,53,18,35,0,0,0
2022-03-01 21:15,42,12,30,0,0,0
2022-03-01 21:30,51,21,30,0,0,0
2022-03-01 21:45,39,6,33,0,0,0
2022-03-01 22:00,44,12,32,0,0,0
2022-03-01 22:15,37,14,23,0,0,0
2022-03-01 22:30,50,15,35,0,0,0
2022-03-01 22:45,19,2,17,0,0,0
2022-03-01 23:00,15,8,7,0,0,0
2022-03-01 23:15,21,5,16,0,0,0
2022-03-01 23:30,15,4,11,0,0,0
2022-03-01 23:45,13,5,8,0,0,0
