Datetime,100031300 (Hafenstraße),101031300 (Hafenstraße Fahrräder IN),102031300 (Hafenstraße Fahrräder OUT),100031300-status,101031300-status,102031300-status
2024-02-01 00:00,11,7,4,0,0,0
2024-02-01 00:15,4,2,2,0,0,0
2024-02-01 00:30,13,2,11,0,0,0
2024-02-01 00:45,9,5,4,0,0,0
2024-02-01 01:00,10,4,6,0,0,0
2024-02-01 01:15,12,1,11,0,0,0
2024-02-01 01:30,4,2,2,0,0,0
2024-02-01 01:45,5,5,0,0,0,0
2024-02-01 02:00,2,1,1,0,0,0
2024-02-01 02:15,8,6,2,0,0,0
2024-02-01 02:30,0,0,0,0,0,0
2024-02-01 02:45,6,5,1,0,0,0
2024-02-01 03:00,3,2,1,0,0,0
2024-02-01 03:15,1,0,1,0,0,0
2024-02-01 03:30,1,1,0,0,0,0
2024-02-01 03:45,6,4,2,0,0,0
2024-02-01 04:00,2,0,2,0,0,0
2024-02-01 04:15,0,0,0,0,0,0
2024-02-01 04:30,1,0,1,0,0,0
2024-02-01 04:45,3,2,1,0,0,0
2024-02-01 05:00,2,1,1,0,0,0
2024-02-01 05:15,9,7,2,0,0,0
2024-02-01 05:30,28,7,21,0,0,0
2024-02-01 05:45,18,9,9,0,0,0
2024-02-01 06:00,22,8,14,0,0,0
2024-02-01 06:15,53,28,25,0,0,0
2024-02-01 06:30,39,15,24,0,0,0
2024-02-01 06:45,73,32,41,0,0,0
2024-02-01 07:00,77,46,31,0,0,0
2024-02-01 07:15,101,43,58,0,0,0
2024-02-01 07:30,163,70,93,0,0,0
2024-02-01 07:45,173,70,103,0,0,0
2024-02-01 08:00,158,76,82,0,0,0
2024-02-01 08:15,157,81,76,0,0,0
2024-02-01 08:30,147,77,70,0,0,0
2024-02-01 08:45,127,59,68,0,0,0
2024-02-01 09:00,119,58,61,0,0,0
2024-02-01 09:15,100,48,52,0,0,0
2024-02-01 09:30,113,43,70,0,0,0
2024-02-01 09:45,110,44,66,0,0,0
2024-02-01 10:00,94,30,64,0,0,0
