Datetime,300037931 (Gasselstiege),353413846 (Gasselstiege Fahrräder Stadteinwärts),353413847 (Gasselstiege Fahrräder Stadtauswärts),353426663 (Gasselstiege Fahrräder Stadteinwärts),353426665 (Gasselstiege Fahrräder Stadteinwärts),353426666 (Gasselstiege Fahrräder Stadtauswärts),353426668 (Gasselstiege Fahrräder Stadtauswärts),300037931-status,353413846-status,353413847-status,353426663-status,353426665-status,353426666-status,353426668-status
2024-09-01 00:00,8,0,3,1,2,2,0,0,0,0,0,0,0,0
2024-09-01 00:15,5,0,4,0,0,1,0,0,0,0,0,0,0,0
2024-09-01 00:30,14,0,6,3,1,4,0,0,0,0,0,0,0,0
2024-09-01 00:45,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-01 01:00,6,1,1,2,1,1,0,0,0,0,0,0,0,0
2024-09-01 01:15,6,0,4,0,0,2,0,0,0,0,0,0,0,0
2024-09-01 01:30,6,0,4,0,0,1,1,0,0,0,0,0,0,0
2024-09-01 01:45,5,0,2,0,0,3,0,0,0,0,0,0,0,0
2024-09-01 02:00,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2024-09-01 02:15,6,1,2,0,1,2,0,0,0,0,0,0,0,0
2024-09-01 02:30,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-09-01 02:45,5,0,3,1,0,1,0,0,0,0,0,0,0,0
2024-09-01 03:00,3,0,2,0,0,1,0,0,0,0,0,0,0,0
2024-09-01 03:15,3,0,1,0,0,2,0,0,0,0,0,0,0,0
2024-09-01 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01 03:45,4,0,1,1,0,2,0,0,0,0,0,0,0,0
2024-09-01 04:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-09-01 04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01 04:30,2,0,1,0,0,1,0,0,0,0,0,0,0,0
2024-09-01 04:45,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-09-01 05:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-09-01 05:15,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-09-01 05:30,3,0,1,0,0,2,0,0,0,0,0,0,0,0
2024-09-01 05:45,4,0,1,0,1,2,0,0,0,0,0,0,0,0
2024-09-01 06:00,4,0,2,2,0,0,0,0,0,0,0,0,0,0
2024-09-01 06:15,1,0,1,0,0,0,0,0,0,0,0,0,0,0
