Datetime,300037931 (Gasselstiege),353413846 (Gasselstiege Fahrräder Stadteinwärts),353413847 (Gasselstiege Fahrräder Stadtauswärts),353426663 (Gasselstiege Fahrräder Stadteinwärts),353426665 (Gasselstiege Fahrräder Stadteinwärts),353426666 (Gasselstiege Fahrräder Stadtauswärts),353426668 (Gasselstiege Fahrräder Stadtauswärts),300037931-status,353413846-status,353413847-status,353426663-status,353426665-status,353426666-status,353426668-status
2025-10-01 00:00,0,0,0,,,,,0,0,0,,,,
2025-10-01 00:15,1,0,1,,,,,0,0,0,,,,
2025-10-01 00:30,1,0,1,,,,,0,0,0,,,,
2025-10-01 00:45,0,0,0,,,,,0,0,0,,,,
2025-10-01 01:00,2,2,0,,,,,0,0,0,,,,
2025-10-01 01:15,0,0,0,,,,,0,0,0,,,,
2025-10-01 01:30,0,0,0,,,,,0,0,0,,,,
2025-10-01 01:45,0,0,0,,,,,0,0,0,,,,
2025-10-01 02:00,2,1,1,,,,,0,0,0,,,,
2025-10-01 02:15,0,0,0,,,,,0,0,0,,,,
2025-10-01 02:30,3,1,2,,,,,0,0,0,,,,
2025-10-01 02:45,1,0,1,,,,,0,0,0,,,,
2025-10-01 03:00,0,0,0,,,,,0,0,0,,,,
2025-10-01 03:15,0,0,0,,,,,0,0,0,,,,
2025-10-01 03:30,3,2,1,,,,,0,0,0,,,,
2025-10-01 03:45,2,1,1,,,,,0,0,0,,,,
2025-10-01 04:00,1,0,1,,,,,0,0,0,,,,
2025-10-01 04:15,0,0,0,,,,,0,0,0,,,,
2025-10-01 04:30,2,2,0,,,,,0,0,0,,,,
2025-10-01 04:45,3,3,0,,,,,0,0,0,,,,
2025-10-01 05:00,7,6,1,,,,,0,0,0,,,,
2025-10-01 05:15,7,7,0,,,,,0,0,0,,,,
2025-10-01 05:30,10,8,2,,,,,0,0,0,,,,
2025-10-01 05:45,8,6,2,,,,,0,0,0,,,,
2025-10-01 06:00,14,13,1,,,,,0,0,0,,,,
2025-10-01 06:15,14,12,2,,,,,0,0,0,,,,
2025-10-01 06:30,23,16,7,,,,,0,0,0,,,,
2025-10-01 06:45,30,21,9,,,,,0,0,0,,,,
2025-10-01 07:00,54,41,13,,,,,0,0,0,,,,
2025-10-01 07:15,82,63,19,,,,,0,0,0,,,,
2025-10-01 07:30,101,76,25,,,,,0,0,0,,,,
2025-10-01 07:45,110,80,30,,,,,0,0,0,,,,
2025-10-01 08:00,63,36,27,,,,,0,0,0,,,,
2025-10-01 08:15,86,57,29,,,,,0,0,0,,,,
2025-10-01 08:30,56,44,12,,,,,0,0,0,,,,
2025-10-01 08:45,59,45,14,,,,,0,0,0,,,,
2025-10-01 09:00,53,37,16,,,,,0,0,0,,,,
2025-10-01 09:15,46,30,16,,,,,0,0,0,,,,
2025-10-01 09:30,49,29,20,,,,,0,0,0,,,,
2025-10-01 09:45,49,34,15,,,,,0,0,0,,,,
2025-10-01 10:00,39,28,11,,,,,0,0,0,,,,
2025-10-01 10:15,33,24,9,,,,,0,0,0,,,,
2025-10-01 10:30,43,32,11,,,,,0,0,0,,,,
