Datetime,300037933 (Weißenburgstraße),353413852 (Weißenburgstraße Fahrräder Stadteinwärts),353413853 (Weißenburgstraße Fahrräder Stadtauswärts),300037933-status,353413852-status,353413853-status
2025-11-01 00:00,4,0,4,0,0,0
2025-11-01 00:15,7,3,4,0,0,0
2025-11-01 00:30,5,3,2,0,0,0
2025-11-01 00:45,4,2,2,0,0,0
2025-11-01 01:00,3,2,1,0,0,0
2025-11-01 01:15,7,4,3,0,0,0
2025-11-01 01:30,3,3,0,0,0,0
2025-11-01 01:45,5,4,1,0,0,0
2025-11-01 02:00,3,0,3,0,0,0
2025-11-01 02:15,4,2,2,0,0,0
2025-11-01 02:30,7,4,3,0,0,0
2025-11-01 02:45,5,4,1,0,0,0
2025-11-01 03:00,1,1,0,0,0,0
2025-11-01 03:15,1,0,1,0,0,0
2025-11-01 03:30,3,3,0,0,0,0
2025-11-01 03:45,1,1,0,0,0,0
2025-11-01 04:00,4,0,4,0,0,0
2025-11-01 04:15,4,3,1,0,0,0
2025-11-01 04:30,2,2,0,0,0,0
2025-11-01 04:45,1,1,0,0,0,0
2025-11-01 05:00,3,2,1,0,0,0
2025-11-01 05:15,0,0,0,0,0,0
2025-11-01 05:30,5,4,1,0,0,0
2025-11-01 05:45,1,1,0,0,0,0
2025-11-01 06:00,1,1,0,0,0,0
2025-11-01 06:15,2,1,1,0,0,0
2025-11-01 06:30,8,3,5,0,0,0
2025-11-01 06:45,0,0,0,0,0,0
2025-11-01 07:00,0,0,0,0,0,0
2025-11-01 07:15,1,1,0,0,0,0
2025-11-01 07:30,3,3,0,0,0,0
2025-11-01 07:45,2,1,1,0,0,0
2025-11-01 08:00,3,1,2,0,0,0
2025-11-01 08:15,0,0,0,0,0,0
2025-11-01 08:30,4,0,4,0,0,0
2025-11-01 08:45,2,1,1,0,0,0
2025-11-01 09:00,3,1,2,0,0,0
2025-11-01 09:15,7,4,3,0,0,0
2025-11-01 09:30,4,1,3,0,0,0
2025-11-01 09:45,10,5,5,0,0,0
2025-11-01 10:00,8,3,5,0,0,0
2025-11-01 10:15,5,0,5,0,0,0
2025-11-01 10:30,7,6,1,0,0,0
2025-11-01 10:45,6,4,2,0,0,0
2025-11-01 11:00,7,2,5,0,0,0
2025-11-01 11:15,7,3,4,0,0,0
2025-11-01 11:30,8,1,7,0,0,0
2025-11-01 11:45,6,3,3,0,0,0
2025-11-01 12:00,9,5,4,0,0,0
2025-11-01 12:15,8,5,3,0,0,0
2025-11-01 12:30,8,4,4,0,0,0
2025-11-01 12:45,6,6,0,0,0,0
2025-11-01 13:00,9,3,6,0,0,0
2025-11-01 13:15,7,4,3,0,0,0
2025-11-01 13:30,3,2,1,0,0,0
2025-11-01 13:45,14,7,7,0,0,0
2025-11-01 14:00,10,3,7,0,0,0
2025-11-01 14:15,10,4,6,0,0,0
2025-11-01 14:30,9,4,5,0,0,0
2025-11-01 14:45,5,4,1,0,0,0
2025-11-01 15:00,7,5,2,0,0,0
2025-11-01 15:15,9,8,1,0,0,0
2025-11-01 15:30,11,5,6,0,0,0
2025-11-01 15:45,10,2,8,0,0,0
2025-11-01 16:00,6,2,4,0,0,0
2025-11-01 16:15,9,3,6,0,0,0
2025-11-01 16:30,3,1,2,0,0,0
2025-11-01 16:45,12,5,7,0,0,0
2025-11-01 17:00,8,4,4,0,0,0
2025-11-01 17:15,4,1,3,0,0,0
2025-11-01 17:30,6,3,3,0,0,0
2025-11-01 17:45,15,5,10,0,0,0
2025-11-01 18:00,12,7,5,0,0,0
2025-11-01 18:15,15,5,10,0,0,0
2025-11-01 18:30,8,6,2,0,0,0
2025-11-01 18:45,9,3,6,0,0,0
2025-11-01 19:00,15,13,2,0,0,0
2025-11-01 19:15,15,12,3,0,0,0
2025-11-01 19:30,7,4,3,0,0,0
2025-11-01 19:45,11,3,8,0,0,0
2025-11-01 20:00,11,3,8,0,0,0
2025-11-01 20:15,4,4,0,0,0,0
2025-11-01 20:30,4,3,1,0,0,0
2025-11-01 20:45,5,5,0,0,0,0
2025-11-01 21:00,5,2,3,0,0,0
2025-11-01 21:15,3,2,1,0,0,0
2025-11-01 21:30,8,5,3,0,0,0
2025-11-01 21:45,5,2,3,0,0,0
2025-11-01 22:00,1,0,1,0,0,0
2025-11-01 22:15,3,1,2,0,0,0
2025-11-01 22:30,1,0,1,0,0,0
2025-11-01 22:45,3,1,2,0,0,0
2025-11-01 23:00,2,2,0,0,0,0
2025-11-01 23:15,1,0,1,0,0,0
2025-11-01 23:30,0,0,0,0,0,0
2025-11-01 23:45,3,1,2,0,0,0
2025-11-02 00:00,3,3,0,0,0,0
2025-11-02 00:15,3,3,0,0,0,0
2025-11-02 00:30,4,4,0,0,0,0
2025-11-02 00:45,2,1,1,0,0,0
2025-11-02 01:00,0,0,0,0,0,0
2025-11-02 01:15,6,5,1,0,0,0
2025-11-02 01:30,2,1,1,0,0,0
2025-11-02 01:45,2,0,2,0,0,0
2025-11-02 02:00,1,1,0,0,0,0
2025-11-02 02:15,1,1,0,0,0,0
2025-11-02 02:30,1,0,1,0,0,0
2025-11-02 02:45,3,1,2,0,0,0
2025-11-02 03:00,0,0,0,0,0,0
2025-11-02 03:15,0,0,0,0,0,0
2025-11-02 03:30,0,0,0,0,0,0
2025-11-02 03:45,0,0,0,0,0,0
2025-11-02 04:00,0,0,0,0,0,0
2025-11-02 04:15,0,0,0,0,0,0
2025-11-02 04:30,1,1,0,0,0,0
2025-11-02 04:45,1,0,1,0,0,0
2025-11-02 05:00,0,0,0,0,0,0
2025-11-02 05:15,1,0,1,0,0,0
2025-11-02 05:30,1,1,0,0,0,0
2025-11-02 05:45,0,0,0,0,0,0
2025-11-02 06:00,1,1,0,0,0,0
2025-11-02 06:15,1,0,1,0,0,0
2025-11-02 06:30,5,1,4,0,0,0
2025-11-02 06:45,3,2,1,0,0,0
2025-11-02 07:00,2,0,2,0,0,0
2025-11-02 07:15,1,1,0,0,0,0
2025-11-02 07:30,2,1,1,0,0,0
2025-11-02 07:45,4,3,1,0,0,0
2025-11-02 08:00,3,1,2,0,0,0
2025-11-02 08:15,4,1,3,0,0,0
2025-11-02 08:30,5,3,2,0,0,0
2025-11-02 08:45,3,2,1,0,0,0
2025-11-02 09:00,2,1,1,0,0,0
2025-11-02 09:15,3,3,0,0,0,0
2025-11-02 09:30,9,3,6,0,0,0
2025-11-02 09:45,6,4,2,0,0,0
2025-11-02 10:00,12,5,7,0,0,0
2025-11-02 10:15,12,4,8,0,0,0
2025-11-02 10:30,11,7,4,0,0,0
2025-11-02 10:45,23,7,16,0,0,0
2025-11-02 11:00,17,5,12,0,0,0
2025-11-02 11:15,8,6,2,0,0,0
2025-11-02 11:30,15,8,7,0,0,0
2025-11-02 11:45,7,5,2,0,0,0
2025-11-02 12:00,29,16,13,0,0,0
2025-11-02 12:15,22,8,14,0,0,0
2025-11-02 12:30,21,9,12,0,0,0
2025-11-02 12:45,23,7,16,0,0,0
2025-11-02 13:00,19,10,9,0,0,0
2025-11-02 13:15,21,14,7,0,0,0
2025-11-02 13:30,22,15,7,0,0,0
2025-11-02 13:45,9,2,7,0,0,0
2025-11-02 14:00,29,14,15,0,0,0
2025-11-02 14:15,13,8,5,0,0,0
2025-11-02 14:30,26,12,14,0,0,0
2025-11-02 14:45,18,8,10,0,0,0
2025-11-02 15:00,20,11,9,0,0,0
2025-11-02 15:15,25,10,15,0,0,0
2025-11-02 15:30,14,1,13,0,0,0
2025-11-02 15:45,22,14,8,0,0,0
2025-11-02 16:00,28,11,17,0,0,0
2025-11-02 16:15,20,12,8,0,0,0
2025-11-02 16:30,30,11,19,0,0,0
2025-11-02 16:45,12,4,8,0,0,0
2025-11-02 17:00,13,3,10,0,0,0
2025-11-02 17:15,12,6,6,0,0,0
2025-11-02 17:30,20,6,14,0,0,0
2025-11-02 17:45,26,17,9,0,0,0
2025-11-02 18:00,13,10,3,0,0,0
2025-11-02 18:15,11,6,5,0,0,0
2025-11-02 18:30,13,6,7,0,0,0
2025-11-02 18:45,7,4,3,0,0,0
2025-11-02 19:00,10,9,1,0,0,0
2025-11-02 19:15,6,6,0,0,0,0
2025-11-02 19:30,12,7,5,0,0,0
2025-11-02 19:45,12,9,3,0,0,0
2025-11-02 20:00,13,9,4,0,0,0
2025-11-02 20:15,9,5,4,0,0,0
2025-11-02 20:30,3,0,3,0,0,0
2025-11-02 20:45,9,3,6,0,0,0
2025-11-02 21:00,5,1,4,0,0,0
2025-11-02 21:15,6,5,1,0,0,0
2025-11-02 21:30,12,7,5,0,0,0
2025-11-02 21:45,4,0,4,0,0,0
2025-11-02 22:00,0,0,0,0,0,0
2025-11-02 22:15,3,1,2,0,0,0
2025-11-02 22:30,3,3,0,0,0,0
2025-11-02 22:45,2,2,0,0,0,0
2025-11-02 23:00,4,4,0,0,0,0
2025-11-02 23:15,3,3,0,0,0,0
2025-11-02 23:30,1,0,1,0,0,0
2025-11-02 23:45,0,0,0,0,0,0
2025-11-03 00:00,1,1,0,0,0,0
2025-11-03 00:15,0,0,0,0,0,0
2025-11-03 00:30,0,0,0,0,0,0
2025-11-03 00:45,0,0,0,0,0,0
