Datetime,300037933 (Weißenburg Str.),353413852 (Weißenburg Str. [Bike Stadteinwärts]),353413853 (Weißenburg Str. [Bike Stadtauswärts]),300037933-status,353413852-status,353413853-status
2025-04-01 12:15,17,12,5,0,0,0
2025-04-01 12:30,35,19,16,0,0,0
2025-04-01 12:45,27,16,11,0,0,0
2025-04-01 13:00,15,10,5,0,0,0
2025-04-01 13:15,36,21,15,0,0,0
2025-04-01 13:30,24,11,13,0,0,0
2025-04-01 13:45,63,45,18,0,0,0
2025-04-01 14:00,28,14,14,0,0,0
2025-04-01 14:15,27,17,10,0,0,0
2025-04-01 14:30,31,16,15,0,0,0
2025-04-01 14:45,28,13,15,0,0,0
2025-04-01 15:00,35,22,13,0,0,0
2025-04-01 15:15,33,28,5,0,0,0
2025-04-01 15:30,31,18,13,0,0,0
2025-04-01 15:45,25,8,17,0,0,0
2025-04-01 16:00,39,25,14,0,0,0
2025-04-01 16:15,34,16,18,0,0,0
2025-04-01 16:30,28,16,12,0,0,0
2025-04-01 16:45,22,12,10,0,0,0
2025-04-01 17:00,32,16,16,0,0,0
2025-04-01 17:15,38,18,20,0,0,0
2025-04-01 17:30,39,23,16,0,0,0
2025-04-01 17:45,31,14,17,0,0,0
2025-04-01 18:00,35,21,14,0,0,0
2025-04-01 18:15,42,28,14,0,0,0
2025-04-01 18:30,21,10,11,0,0,0
2025-04-01 18:45,18,7,11,0,0,0
2025-04-01 19:00,26,11,15,0,0,0
2025-04-01 19:15,24,15,9,0,0,0
2025-04-01 19:30,23,16,7,0,0,0
2025-04-01 19:45,19,11,8,0,0,0
2025-04-01 20:00,22,12,10,0,0,0
2025-04-01 20:15,17,11,6,0,0,0
2025-04-01 20:30,6,4,2,0,0,0
2025-04-01 20:45,13,4,9,0,0,0
2025-04-01 21:00,11,6,5,0,0,0
2025-04-01 21:15,12,7,5,0,0,0
2025-04-01 21:30,16,7,9,0,0,0
2025-04-01 21:45,11,7,4,0,0,0
2025-04-01 22:00,7,2,5,0,0,0
2025-04-01 22:15,9,7,2,0,0,0
2025-04-01 22:30,5,4,1,0,0,0
2025-04-01 22:45,9,4,5,0,0,0
2025-04-01 23:00,2,0,2,0,0,0
2025-04-01 23:15,4,1,3,0,0,0
2025-04-01 23:30,2,0,2,0,0,0
2025-04-01 23:45,8,3,5,0,0,0
2025-04-02 00:00,1,1,0,0,0,0
2025-04-02 00:15,2,1,1,0,0,0
2025-04-02 00:30,0,0,0,0,0,0
2025-04-02 00:45,1,0,1,0,0,0
2025-04-02 01:00,0,0,0,0,0,0
2025-04-02 01:15,0,0,0,0,0,0
2025-04-02 01:30,0,0,0,0,0,0
2025-04-02 01:45,0,0,0,0,0,0
2025-04-02 02:00,0,0,0,0,0,0
2025-04-02 02:15,1,0,1,0,0,0
2025-04-02 02:30,1,0,1,0,0,0
2025-04-02 02:45,0,0,0,0,0,0
2025-04-02 03:00,0,0,0,0,0,0
2025-04-02 03:15,1,0,1,0,0,0
2025-04-02 03:30,0,0,0,0,0,0
2025-04-02 03:45,0,0,0,0,0,0
2025-04-02 04:00,0,0,0,0,0,0
2025-04-02 04:15,1,0,1,0,0,0
2025-04-02 04:30,0,0,0,0,0,0
2025-04-02 04:45,3,2,1,0,0,0
2025-04-02 05:00,3,2,1,0,0,0
2025-04-02 05:15,1,1,0,0,0,0
2025-04-02 05:30,6,1,5,0,0,0
2025-04-02 05:45,3,2,1,0,0,0
2025-04-02 06:00,4,2,2,0,0,0
2025-04-02 06:15,9,4,5,0,0,0
2025-04-02 06:30,8,2,6,0,0,0
2025-04-02 06:45,5,1,4,0,0,0
2025-04-02 07:00,23,8,15,0,0,0
2025-04-02 07:15,41,3,38,0,0,0
2025-04-02 07:30,114,14,100,0,0,0
2025-04-02 07:45,30,10,20,0,0,0
2025-04-02 08:00,29,6,23,0,0,0
2025-04-02 08:15,32,13,19,0,0,0
2025-04-02 08:30,34,13,21,0,0,0
2025-04-02 08:45,43,13,30,0,0,0
2025-04-02 09:00,27,12,15,0,0,0
2025-04-02 09:15,16,8,8,0,0,0
2025-04-02 09:30,15,5,10,0,0,0
2025-04-02 09:45,21,7,14,0,0,0
2025-04-02 10:00,21,6,15,0,0,0
2025-04-02 10:15,26,8,18,0,0,0
2025-04-02 10:30,27,11,16,0,0,0
2025-04-02 10:45,27,15,12,0,0,0
2025-04-02 11:00,17,12,5,0,0,0
2025-04-02 11:15,23,11,12,0,0,0
2025-04-02 11:30,15,7,8,0,0,0
2025-04-02 11:45,19,8,11,0,0,0
2025-04-02 12:00,25,14,11,0,0,0
2025-04-02 12:15,42,31,11,0,0,0
2025-04-02 12:30,34,23,11,0,0,0
2025-04-02 12:45,21,14,7,0,0,0
2025-04-02 13:00,13,6,7,0,0,0
2025-04-02 13:15,29,10,19,0,0,0
2025-04-02 13:30,26,10,16,0,0,0
2025-04-02 13:45,44,42,2,0,0,0
2025-04-02 14:00,25,19,6,0,0,0
2025-04-02 14:15,26,13,13,0,0,0
2025-04-02 14:30,32,22,10,0,0,0
2025-04-02 14:45,40,19,21,0,0,0
2025-04-02 15:00,42,25,17,0,0,0
2025-04-02 15:15,23,17,6,0,0,0
2025-04-02 15:30,29,18,11,0,0,0
2025-04-02 15:45,55,28,27,0,0,0
2025-04-02 16:00,43,20,23,0,0,0
2025-04-02 16:15,30,17,13,0,0,0
2025-04-02 16:30,34,18,16,0,0,0
2025-04-02 16:45,38,18,20,0,0,0
2025-04-02 17:00,36,21,15,0,0,0
2025-04-02 17:15,29,15,14,0,0,0
2025-04-02 17:30,37,19,18,0,0,0
2025-04-02 17:45,45,23,22,0,0,0
2025-04-02 18:00,28,14,14,0,0,0
2025-04-02 18:15,33,22,11,0,0,0
2025-04-02 18:30,34,17,17,0,0,0
2025-04-02 18:45,28,10,18,0,0,0
2025-04-02 19:00,27,12,15,0,0,0
2025-04-02 19:15,34,21,13,0,0,0
2025-04-02 19:30,17,4,13,0,0,0
2025-04-02 19:45,14,5,9,0,0,0
2025-04-02 20:00,15,12,3,0,0,0
2025-04-02 20:15,17,10,7,0,0,0
2025-04-02 20:30,4,2,2,0,0,0
2025-04-02 20:45,17,9,8,0,0,0
2025-04-02 21:00,21,9,12,0,0,0
2025-04-02 21:15,13,11,2,0,0,0
2025-04-02 21:30,12,4,8,0,0,0
2025-04-02 21:45,7,3,4,0,0,0
2025-04-02 22:00,7,1,6,0,0,0
2025-04-02 22:15,11,8,3,0,0,0
2025-04-02 22:30,9,7,2,0,0,0
2025-04-02 22:45,8,4,4,0,0,0
2025-04-02 23:00,4,1,3,0,0,0
2025-04-02 23:15,1,0,1,0,0,0
2025-04-02 23:30,0,0,0,0,0,0
2025-04-02 23:45,0,0,0,0,0,0
