Datetime,300037933 (Weißenburg Str.),353413852 (Weißenburg Str. [Bike Stadteinwärts]),353413853 (Weißenburg Str. [Bike Stadtauswärts]),300037933-status,353413852-status,353413853-status
2025-05-01 00:00,7,0,7,0,0,0
2025-05-01 00:15,5,1,4,0,0,0
2025-05-01 00:30,4,3,1,0,0,0
2025-05-01 00:45,7,3,4,0,0,0
2025-05-01 01:00,1,0,1,0,0,0
2025-05-01 01:15,3,3,0,0,0,0
2025-05-01 01:30,5,4,1,0,0,0
2025-05-01 01:45,3,0,3,0,0,0
2025-05-01 02:00,4,2,2,0,0,0
2025-05-01 02:15,0,0,0,0,0,0
2025-05-01 02:30,4,4,0,0,0,0
2025-05-01 02:45,2,1,1,0,0,0
2025-05-01 03:00,0,0,0,0,0,0
2025-05-01 03:15,1,1,0,0,0,0
2025-05-01 03:30,3,0,3,0,0,0
2025-05-01 03:45,3,2,1,0,0,0
2025-05-01 04:00,0,0,0,0,0,0
2025-05-01 04:15,0,0,0,0,0,0
2025-05-01 04:30,3,3,0,0,0,0
2025-05-01 04:45,1,0,1,0,0,0
2025-05-01 05:00,0,0,0,0,0,0
2025-05-01 05:15,0,0,0,0,0,0
2025-05-01 05:30,3,3,0,0,0,0
2025-05-01 05:45,2,1,1,0,0,0
2025-05-01 06:00,0,0,0,0,0,0
2025-05-01 06:15,3,2,1,0,0,0
2025-05-01 06:30,0,0,0,0,0,0
2025-05-01 06:45,4,1,3,0,0,0
2025-05-01 07:00,2,2,0,0,0,0
2025-05-01 07:15,3,2,1,0,0,0
2025-05-01 07:30,5,2,3,0,0,0
2025-05-01 07:45,2,1,1,0,0,0
2025-05-01 08:00,5,4,1,0,0,0
2025-05-01 08:15,2,0,2,0,0,0
2025-05-01 08:30,4,1,3,0,0,0
2025-05-01 08:45,8,3,5,0,0,0
2025-05-01 09:00,3,1,2,0,0,0
2025-05-01 09:15,7,2,5,0,0,0
2025-05-01 09:30,8,5,3,0,0,0
2025-05-01 09:45,17,9,8,0,0,0
2025-05-01 10:00,22,17,5,0,0,0
2025-05-01 10:15,9,6,3,0,0,0
2025-05-01 10:30,21,11,10,0,0,0
2025-05-01 10:45,17,12,5,0,0,0
2025-05-01 11:00,29,12,17,0,0,0
2025-05-01 11:15,40,20,20,0,0,0
2025-05-01 11:30,15,5,10,0,0,0
2025-05-01 11:45,35,16,19,0,0,0
2025-05-01 12:00,37,7,30,0,0,0
2025-05-01 12:15,26,12,14,0,0,0
2025-05-01 12:30,20,9,11,0,0,0
2025-05-01 12:45,51,16,35,0,0,0
2025-05-01 13:00,29,16,13,0,0,0
2025-05-01 13:15,24,7,17,0,0,0
2025-05-01 13:30,31,18,13,0,0,0
2025-05-01 13:45,24,5,19,0,0,0
2025-05-01 14:00,28,15,13,0,0,0
2025-05-01 14:15,24,16,8,0,0,0
2025-05-01 14:30,23,6,17,0,0,0
2025-05-01 14:45,26,15,11,0,0,0
2025-05-01 15:00,23,17,6,0,0,0
2025-05-01 15:15,21,13,8,0,0,0
2025-05-01 15:30,24,12,12,0,0,0
2025-05-01 15:45,26,8,18,0,0,0
2025-05-01 16:00,18,9,9,0,0,0
2025-05-01 16:15,13,6,7,0,0,0
2025-05-01 16:30,21,16,5,0,0,0
2025-05-01 16:45,31,14,17,0,0,0
2025-05-01 17:00,10,0,10,0,0,0
2025-05-01 17:15,20,15,5,0,0,0
2025-05-01 17:30,27,13,14,0,0,0
2025-05-01 17:45,16,7,9,0,0,0
2025-05-01 18:00,24,9,15,0,0,0
2025-05-01 18:15,29,9,20,0,0,0
2025-05-01 18:30,31,16,15,0,0,0
2025-05-01 18:45,14,6,8,0,0,0
2025-05-01 19:00,17,4,13,0,0,0
2025-05-01 19:15,25,14,11,0,0,0
2025-05-01 19:30,22,10,12,0,0,0
2025-05-01 19:45,22,10,12,0,0,0
2025-05-01 20:00,22,14,8,0,0,0
2025-05-01 20:15,10,8,2,0,0,0
2025-05-01 20:30,11,7,4,0,0,0
2025-05-01 20:45,14,7,7,0,0,0
2025-05-01 21:00,17,10,7,0,0,0
2025-05-01 21:15,16,7,9,0,0,0
2025-05-01 21:30,9,8,1,0,0,0
2025-05-01 21:45,7,6,1,0,0,0
2025-05-01 22:00,8,4,4,0,0,0
2025-05-01 22:15,4,3,1,0,0,0
2025-05-01 22:30,17,17,0,0,0,0
2025-05-01 22:45,5,2,3,0,0,0
2025-05-01 23:00,7,4,3,0,0,0
2025-05-01 23:15,4,4,0,0,0,0
2025-05-01 23:30,0,0,0,0,0,0
2025-05-01 23:45,1,0,1,0,0,0
2025-05-02 00:00,4,4,0,0,0,0
2025-05-02 00:15,0,0,0,0,0,0
2025-05-02 00:30,1,0,1,0,0,0
2025-05-02 00:45,3,1,2,0,0,0
2025-05-02 01:00,0,0,0,0,0,0
2025-05-02 01:15,2,2,0,0,0,0
2025-05-02 01:30,0,0,0,0,0,0
2025-05-02 01:45,0,0,0,0,0,0
