Datetime,100020113 (Wolbecker Straße),101020113 (FR stadteinwärts),102020113 (FR stadtauswärts),100020113-status,101020113-status,102020113-status
2025-11-01 00:00,33,33,0,0,0,0
2025-11-01 00:15,40,40,0,0,0,0
2025-11-01 00:30,44,44,0,0,0,0
2025-11-01 00:45,29,29,0,0,0,0
2025-11-01 01:00,49,49,0,0,0,0
2025-11-01 01:15,23,23,0,0,0,0
2025-11-01 01:30,37,37,0,0,0,0
2025-11-01 01:45,46,46,0,0,0,0
2025-11-01 02:00,44,44,0,0,0,0
2025-11-01 02:15,47,47,0,0,0,0
2025-11-01 02:30,17,17,0,0,0,0
2025-11-01 02:45,22,22,0,0,0,0
2025-11-01 03:00,15,15,0,0,0,0
2025-11-01 03:15,22,22,0,0,0,0
2025-11-01 03:30,12,12,0,0,0,0
2025-11-01 03:45,17,17,0,0,0,0
2025-11-01 04:00,19,19,0,0,0,0
2025-11-01 04:15,9,9,0,0,0,0
2025-11-01 04:30,10,10,0,0,0,0
2025-11-01 04:45,7,7,0,0,0,0
2025-11-01 05:00,5,5,0,0,0,0
2025-11-01 05:15,5,5,0,0,0,0
2025-11-01 05:30,7,7,0,0,0,0
2025-11-01 05:45,10,10,0,0,0,0
2025-11-01 06:00,1,1,0,0,0,0
2025-11-01 06:15,2,2,0,0,0,0
2025-11-01 06:30,4,4,0,0,0,0
2025-11-01 06:45,3,3,0,0,0,0
2025-11-01 07:00,5,5,0,0,0,0
2025-11-01 07:15,4,4,0,0,0,0
2025-11-01 07:30,2,2,0,0,0,0
2025-11-01 07:45,2,2,0,0,0,0
2025-11-01 08:00,8,8,0,0,0,0
2025-11-01 08:15,9,9,0,0,0,0
2025-11-01 08:30,7,7,0,0,0,0
2025-11-01 08:45,22,22,0,0,0,0
2025-11-01 09:00,10,10,0,0,0,0
2025-11-01 09:15,12,12,0,0,0,0
2025-11-01 09:30,11,11,0,0,0,0
2025-11-01 09:45,27,27,0,0,0,0
2025-11-01 10:00,13,13,0,0,0,0
2025-11-01 10:15,19,19,0,0,0,0
2025-11-01 10:30,20,20,0,0,0,0
2025-11-01 10:45,18,18,0,0,0,0
2025-11-01 11:00,25,25,0,0,0,0
2025-11-01 11:15,22,22,0,0,0,0
2025-11-01 11:30,29,29,0,0,0,0
2025-11-01 11:45,27,27,0,0,0,0
2025-11-01 12:00,21,21,0,0,0,0
2025-11-01 12:15,16,16,0,0,0,0
2025-11-01 12:30,35,35,0,0,0,0
2025-11-01 12:45,23,23,0,0,0,0
2025-11-01 13:00,27,27,0,0,0,0
2025-11-01 13:15,26,26,0,0,0,0
2025-11-01 13:30,28,28,0,0,0,0
2025-11-01 13:45,29,29,0,0,0,0
2025-11-01 14:00,24,24,0,0,0,0
2025-11-01 14:15,21,21,0,0,0,0
2025-11-01 14:30,30,30,0,0,0,0
2025-11-01 14:45,22,22,0,0,0,0
2025-11-01 15:00,37,37,0,0,0,0
