Datetime,100020113 (Wolbecker Straße),101020113 (FR stdteinwärts),102020113 (FR stadtauswärts),100020113-status,101020113-status,102020113-status
2024-10-01 00:00,14,11,3,0,0,0
2024-10-01 00:15,16,14,2,0,0,0
2024-10-01 00:30,4,3,1,0,0,0
2024-10-01 00:45,9,7,2,0,0,0
2024-10-01 01:00,6,4,2,0,0,0
2024-10-01 01:15,6,3,3,0,0,0
2024-10-01 01:30,10,4,6,0,0,0
2024-10-01 01:45,1,1,0,0,0,0
2024-10-01 02:00,6,5,1,0,0,0
2024-10-01 02:15,5,4,1,0,0,0
2024-10-01 02:30,8,3,5,0,0,0
2024-10-01 02:45,6,6,0,0,0,0
2024-10-01 03:00,0,0,0,0,0,0
2024-10-01 03:15,3,2,1,0,0,0
2024-10-01 03:30,3,1,2,0,0,0
2024-10-01 03:45,1,1,0,0,0,0
2024-10-01 04:00,2,0,2,0,0,0
2024-10-01 04:15,0,0,0,0,0,0
2024-10-01 04:30,3,2,1,0,0,0
2024-10-01 04:45,4,1,3,0,0,0
2024-10-01 05:00,6,4,2,0,0,0
2024-10-01 05:15,8,6,2,0,0,0
2024-10-01 05:30,17,4,13,0,0,0
2024-10-01 05:45,17,2,15,0,0,0
2024-10-01 06:00,17,10,7,0,0,0
2024-10-01 06:15,31,13,18,0,0,0
2024-10-01 06:30,51,21,30,0,0,0
2024-10-01 06:45,69,31,38,0,0,0
2024-10-01 07:00,93,35,58,0,0,0
2024-10-01 07:15,162,45,117,0,0,0
2024-10-01 07:30,268,61,207,0,0,0
2024-10-01 07:45,245,81,164,0,0,0
2024-10-01 08:00,188,62,126,0,0,0
2024-10-01 08:15,206,58,148,0,0,0
2024-10-01 08:30,181,53,128,0,0,0
2024-10-01 08:45,170,61,109,0,0,0
2024-10-01 09:00,122,39,83,0,0,0
2024-10-01 09:15,96,30,66,0,0,0
2024-10-01 09:30,108,26,82,0,0,0
2024-10-01 09:45,153,46,107,0,0,0
2024-10-01 10:00,76,26,50,0,0,0
2024-10-01 10:15,59,24,35,0,0,0
2024-10-01 10:30,58,24,34,0,0,0
2024-10-01 10:45,60,23,37,0,0,0
2024-10-01 11:00,44,25,19,0,0,0
2024-10-01 11:15,65,21,44,0,0,0
2024-10-01 11:30,46,19,27,0,0,0
2024-10-01 11:45,82,44,38,0,0,0
2024-10-01 12:00,76,45,31,0,0,0
2024-10-01 12:15,80,38,42,0,0,0
2024-10-01 12:30,90,53,37,0,0,0
2024-10-01 12:45,86,42,44,0,0,0
2024-10-01 13:00,107,57,50,0,0,0
2024-10-01 13:15,114,52,62,0,0,0
2024-10-01 13:30,99,41,58,0,0,0
2024-10-01 13:45,140,66,74,0,0,0
2024-10-01 14:00,127,67,60,0,0,0
2024-10-01 14:15,114,54,60,0,0,0
2024-10-01 14:30,118,64,54,0,0,0
2024-10-01 14:45,138,64,74,0,0,0
2024-10-01 15:00,123,68,55,0,0,0
2024-10-01 15:15,143,83,60,0,0,0
2024-10-01 15:30,141,82,59,0,0,0
2024-10-01 15:45,182,98,84,0,0,0
2024-10-01 16:00,134,76,58,0,0,0
2024-10-01 16:15,180,93,87,0,0,0
2024-10-01 16:30,194,107,87,0,0,0
2024-10-01 16:45,194,94,100,0,0,0
2024-10-01 17:00,171,94,77,0,0,0
2024-10-01 17:15,182,99,83,0,0,0
2024-10-01 17:30,167,88,79,0,0,0
2024-10-01 17:45,186,91,95,0,0,0
2024-10-01 18:00,157,92,65,0,0,0
2024-10-01 18:15,157,86,71,0,0,0
2024-10-01 18:30,136,60,76,0,0,0
2024-10-01 18:45,162,79,83,0,0,0
2024-10-01 19:00,130,75,55,0,0,0
2024-10-01 19:15,118,62,56,0,0,0
2024-10-01 19:30,103,63,40,0,0,0
2024-10-01 19:45,107,48,59,0,0,0
2024-10-01 20:00,109,72,37,0,0,0
2024-10-01 20:15,85,50,35,0,0,0
2024-10-01 20:30,76,40,36,0,0,0
2024-10-01 20:45,71,31,40,0,0,0
2024-10-01 21:00,72,39,33,0,0,0
2024-10-01 21:15,67,37,30,0,0,0
2024-10-01 21:30,53,30,23,0,0,0
2024-10-01 21:45,73,38,35,0,0,0
2024-10-01 22:00,68,40,28,0,0,0
2024-10-01 22:15,71,50,21,0,0,0
2024-10-01 22:30,62,42,20,0,0,0
2024-10-01 22:45,49,30,19,0,0,0
2024-10-01 23:00,46,36,10,0,0,0
2024-10-01 23:15,52,33,19,0,0,0
2024-10-01 23:30,35,24,11,0,0,0
2024-10-01 23:45,31,16,15,0,0,0
2024-10-02 00:00,23,9,14,0,0,0
2024-10-02 00:15,17,8,9,0,0,0
2024-10-02 00:30,15,3,12,0,0,0
2024-10-02 00:45,10,4,6,0,0,0
2024-10-02 01:00,14,4,10,0,0,0
2024-10-02 01:15,20,4,16,0,0,0
2024-10-02 01:30,19,6,13,0,0,0
2024-10-02 01:45,17,2,15,0,0,0
2024-10-02 02:00,22,5,17,0,0,0
2024-10-02 02:15,20,2,18,0,0,0
2024-10-02 02:30,16,3,13,0,0,0
2024-10-02 02:45,15,3,12,0,0,0
2024-10-02 03:00,18,5,13,0,0,0
2024-10-02 03:15,17,6,11,0,0,0
2024-10-02 03:30,11,1,10,0,0,0
2024-10-02 03:45,11,2,9,0,0,0
2024-10-02 04:00,6,1,5,0,0,0
2024-10-02 04:15,3,2,1,0,0,0
2024-10-02 04:30,7,2,5,0,0,0
2024-10-02 04:45,8,2,6,0,0,0
2024-10-02 05:00,6,5,1,0,0,0
2024-10-02 05:15,11,4,7,0,0,0
2024-10-02 05:30,9,4,5,0,0,0
2024-10-02 05:45,20,5,15,0,0,0
2024-10-02 06:00,20,9,11,0,0,0
2024-10-02 06:15,32,11,21,0,0,0
2024-10-02 06:30,46,16,30,0,0,0
2024-10-02 06:45,66,28,38,0,0,0
2024-10-02 07:00,74,25,49,0,0,0
2024-10-02 07:15,130,40,90,0,0,0
2024-10-02 07:30,273,69,204,0,0,0
2024-10-02 07:45,285,91,194,0,0,0
2024-10-02 08:00,178,64,114,0,0,0
2024-10-02 08:15,171,44,127,0,0,0
2024-10-02 08:30,174,53,121,0,0,0
2024-10-02 08:45,190,51,139,0,0,0
2024-10-02 09:00,112,39,73,0,0,0
2024-10-02 09:15,122,49,73,0,0,0
2024-10-02 09:30,135,41,94,0,0,0
2024-10-02 09:45,130,45,85,0,0,0
2024-10-02 10:00,111,39,72,0,0,0
2024-10-02 10:15,119,33,86,0,0,0
2024-10-02 10:30,116,46,70,0,0,0
2024-10-02 10:45,131,37,94,0,0,0
2024-10-02 11:00,126,61,65,0,0,0
2024-10-02 11:15,165,64,101,0,0,0
2024-10-02 11:30,138,65,73,0,0,0
2024-10-02 11:45,146,68,78,0,0,0
2024-10-02 12:00,152,73,79,0,0,0
2024-10-02 12:15,167,72,95,0,0,0
2024-10-02 12:30,135,79,56,0,0,0
2024-10-02 12:45,188,82,106,0,0,0
2024-10-02 13:00,191,98,93,0,0,0
2024-10-02 13:15,179,104,75,0,0,0
2024-10-02 13:30,159,84,75,0,0,0
2024-10-02 13:45,167,98,69,0,0,0
2024-10-02 14:00,154,80,74,0,0,0
2024-10-02 14:15,187,112,75,0,0,0
2024-10-02 14:30,167,93,74,0,0,0
2024-10-02 14:45,200,85,115,0,0,0
2024-10-02 15:00,152,78,74,0,0,0
2024-10-02 15:15,168,93,75,0,0,0
2024-10-02 15:30,185,99,86,0,0,0
2024-10-02 15:45,193,100,93,0,0,0
2024-10-02 16:00,191,108,83,0,0,0
2024-10-02 16:15,202,108,94,0,0,0
2024-10-02 16:30,208,106,102,0,0,0
2024-10-02 16:45,191,88,103,0,0,0
2024-10-02 17:00,192,106,86,0,0,0
2024-10-02 17:15,212,117,95,0,0,0
2024-10-02 17:30,226,123,103,0,0,0
2024-10-02 17:45,208,131,77,0,0,0
2024-10-02 18:00,195,105,90,0,0,0
2024-10-02 18:15,188,100,88,0,0,0
2024-10-02 18:30,179,104,75,0,0,0
2024-10-02 18:45,185,99,86,0,0,0
2024-10-02 19:00,187,112,75,0,0,0
2024-10-02 19:15,138,81,57,0,0,0
2024-10-02 19:30,153,83,70,0,0,0
2024-10-02 19:45,133,72,61,0,0,0
2024-10-02 20:00,137,70,67,0,0,0
2024-10-02 20:15,102,50,52,0,0,0
2024-10-02 20:30,91,58,33,0,0,0
2024-10-02 20:45,87,45,42,0,0,0
2024-10-02 21:00,81,44,37,0,0,0
2024-10-02 21:15,83,46,37,0,0,0
2024-10-02 21:30,81,40,41,0,0,0
2024-10-02 21:45,63,35,28,0,0,0
2024-10-02 22:00,73,28,45,0,0,0
2024-10-02 22:15,81,42,39,0,0,0
2024-10-02 22:30,56,32,24,0,0,0
2024-10-02 22:45,66,32,34,0,0,0
2024-10-02 23:00,63,32,31,0,0,0
2024-10-02 23:15,66,39,27,0,0,0
2024-10-02 23:30,65,29,36,0,0,0
2024-10-02 23:45,60,29,31,0,0,0
2024-10-03 00:00,49,23,26,0,0,0
2024-10-03 00:15,40,19,21,0,0,0
2024-10-03 00:30,49,21,28,0,0,0
2024-10-03 00:45,68,26,42,0,0,0
2024-10-03 01:00,66,44,22,0,0,0
2024-10-03 01:15,49,20,29,0,0,0
2024-10-03 01:30,43,19,24,0,0,0
2024-10-03 01:45,38,21,17,0,0,0
2024-10-03 02:00,37,23,14,0,0,0
2024-10-03 02:15,35,11,24,0,0,0
2024-10-03 02:30,30,17,13,0,0,0
2024-10-03 02:45,31,18,13,0,0,0
2024-10-03 03:00,27,9,18,0,0,0
2024-10-03 03:15,19,9,10,0,0,0
2024-10-03 03:30,29,13,16,0,0,0
2024-10-03 03:45,26,6,20,0,0,0
2024-10-03 04:00,15,4,11,0,0,0
2024-10-03 04:15,23,9,14,0,0,0
2024-10-03 04:30,19,6,13,0,0,0
2024-10-03 04:45,8,2,6,0,0,0
2024-10-03 05:00,5,0,5,0,0,0
2024-10-03 05:15,9,2,7,0,0,0
2024-10-03 05:30,16,0,16,0,0,0
2024-10-03 05:45,18,2,16,0,0,0
2024-10-03 06:00,22,2,20,0,0,0
2024-10-03 06:15,10,3,7,0,0,0
2024-10-03 06:30,13,5,8,0,0,0
2024-10-03 06:45,18,5,13,0,0,0
2024-10-03 07:00,29,7,22,0,0,0
2024-10-03 07:15,34,3,31,0,0,0
2024-10-03 07:30,65,5,60,0,0,0
2024-10-03 07:45,44,11,33,0,0,0
2024-10-03 08:00,52,11,41,0,0,0
2024-10-03 08:15,76,13,63,0,0,0
2024-10-03 08:30,42,13,29,0,0,0
2024-10-03 08:45,36,14,22,0,0,0
2024-10-03 09:00,53,14,39,0,0,0
2024-10-03 09:15,69,14,55,0,0,0
2024-10-03 09:30,74,22,52,0,0,0
2024-10-03 09:45,71,22,49,0,0,0
2024-10-03 10:00,64,28,36,0,0,0
2024-10-03 10:15,70,41,29,0,0,0
2024-10-03 10:30,65,31,34,0,0,0
2024-10-03 10:45,122,57,65,0,0,0
2024-10-03 11:00,100,47,53,0,0,0
2024-10-03 11:15,107,59,48,0,0,0
2024-10-03 11:30,125,51,74,0,0,0
2024-10-03 11:45,121,49,72,0,0,0
2024-10-03 12:00,103,47,56,0,0,0
2024-10-03 12:15,147,55,92,0,0,0
2024-10-03 12:30,134,56,78,0,0,0
2024-10-03 12:45,135,62,73,0,0,0
2024-10-03 13:00,126,50,76,0,0,0
2024-10-03 13:15,137,65,72,0,0,0
2024-10-03 13:30,123,54,69,0,0,0
2024-10-03 13:45,132,64,68,0,0,0
2024-10-03 14:00,133,66,67,0,0,0
2024-10-03 14:15,135,55,80,0,0,0
2024-10-03 14:30,138,70,68,0,0,0
2024-10-03 14:45,143,62,81,0,0,0
2024-10-03 15:00,138,64,74,0,0,0
2024-10-03 15:15,160,73,87,0,0,0
2024-10-03 15:30,134,70,64,0,0,0
2024-10-03 15:45,162,73,89,0,0,0
2024-10-03 16:00,135,66,69,0,0,0
2024-10-03 16:15,128,60,68,0,0,0
2024-10-03 16:30,161,61,100,0,0,0
2024-10-03 16:45,153,77,76,0,0,0
2024-10-03 17:00,107,55,52,0,0,0
2024-10-03 17:15,105,54,51,0,0,0
2024-10-03 17:30,157,107,50,0,0,0
2024-10-03 17:45,182,146,36,0,0,0
2024-10-03 18:00,154,108,46,0,0,0
2024-10-03 18:15,132,87,45,0,0,0
2024-10-03 18:30,117,64,53,0,0,0
2024-10-03 18:45,124,69,55,0,0,0
2024-10-03 19:00,136,73,63,0,0,0
2024-10-03 19:15,108,67,41,0,0,0
2024-10-03 19:30,82,43,39,0,0,0
2024-10-03 19:45,71,41,30,0,0,0
2024-10-03 20:00,74,36,38,0,0,0
2024-10-03 20:15,75,41,34,0,0,0
2024-10-03 20:30,62,32,30,0,0,0
2024-10-03 20:45,65,41,24,0,0,0
2024-10-03 21:00,74,32,42,0,0,0
2024-10-03 21:15,45,19,26,0,0,0
2024-10-03 21:30,41,18,23,0,0,0
2024-10-03 21:45,50,18,32,0,0,0
2024-10-03 22:00,43,27,16,0,0,0
2024-10-03 22:15,59,27,32,0,0,0
2024-10-03 22:30,51,22,29,0,0,0
2024-10-03 22:45,52,26,26,0,0,0
2024-10-03 23:00,54,33,21,0,0,0
2024-10-03 23:15,33,21,12,0,0,0
2024-10-03 23:30,31,12,19,0,0,0
2024-10-03 23:45,28,12,16,0,0,0
