Datetime,100020113 (Wolbecker Straße),101020113 (FR stadteinwärts),102020113 (FR stadtauswärts),100020113-status,101020113-status,102020113-status
2025-12-01 00:00,4,4,0,0,0,0
2025-12-01 00:15,4,4,0,0,0,0
2025-12-01 00:30,2,2,0,0,0,0
2025-12-01 00:45,0,0,0,0,0,0
2025-12-01 01:00,1,1,0,0,0,0
2025-12-01 01:15,2,2,0,0,0,0
2025-12-01 01:30,2,2,0,0,0,0
2025-12-01 01:45,0,0,0,0,0,0
2025-12-01 02:00,2,2,0,0,0,0
2025-12-01 02:15,0,0,0,0,0,0
2025-12-01 02:30,1,1,0,0,0,0
2025-12-01 02:45,0,0,0,0,0,0
2025-12-01 03:00,0,0,0,0,0,0
2025-12-01 03:15,0,0,0,0,0,0
2025-12-01 03:30,1,1,0,0,0,0
2025-12-01 03:45,1,1,0,0,0,0
2025-12-01 04:00,0,0,0,0,0,0
2025-12-01 04:15,2,2,0,0,0,0
2025-12-01 04:30,3,3,0,0,0,0
2025-12-01 04:45,5,5,0,0,0,0
2025-12-01 05:00,2,2,0,0,0,0
2025-12-01 05:15,6,6,0,0,0,0
2025-12-01 05:30,9,9,0,0,0,0
2025-12-01 05:45,9,9,0,0,0,0
2025-12-01 06:00,1,1,0,0,0,0
2025-12-01 06:15,19,19,0,0,0,0
2025-12-01 06:30,17,17,0,0,0,0
2025-12-01 06:45,35,35,0,0,0,0
2025-12-01 07:00,42,42,0,0,0,0
2025-12-01 07:15,41,41,0,0,0,0
2025-12-01 07:30,70,70,0,0,0,0
2025-12-01 07:45,88,88,0,0,0,0
2025-12-01 08:00,87,87,0,0,0,0
2025-12-01 08:15,73,73,0,0,0,0
2025-12-01 08:30,68,68,0,0,0,0
2025-12-01 08:45,59,59,0,0,0,0
2025-12-01 09:00,36,36,0,0,0,0
2025-12-01 09:15,51,51,0,0,0,0
2025-12-01 09:30,41,41,0,0,0,0
2025-12-01 09:45,44,44,0,0,0,0
2025-12-01 10:00,38,38,0,0,0,0
2025-12-01 10:15,41,41,0,0,0,0
2025-12-01 10:30,51,51,0,0,0,0
2025-12-01 10:45,46,46,0,0,0,0
2025-12-01 11:00,31,31,0,0,0,0
2025-12-01 11:15,51,51,0,0,0,0
2025-12-01 11:30,57,57,0,0,0,0
2025-12-01 11:45,65,65,0,0,0,0
2025-12-01 12:00,77,77,0,0,0,0
2025-12-01 12:15,74,74,0,0,0,0
2025-12-01 12:30,105,105,0,0,0,0
2025-12-01 12:45,79,79,0,0,0,0
2025-12-01 13:00,81,81,0,0,0,0
2025-12-01 13:15,85,85,0,0,0,0
2025-12-01 13:30,66,66,0,0,0,0
2025-12-01 13:45,87,87,0,0,0,0
2025-12-01 14:00,91,91,0,0,0,0
2025-12-01 14:15,76,76,0,0,0,0
2025-12-01 14:30,86,86,0,0,0,0
2025-12-01 14:45,92,92,0,0,0,0
2025-12-01 15:00,99,99,0,0,0,0
2025-12-01 15:15,110,110,0,0,0,0
2025-12-01 15:30,111,111,0,0,0,0
2025-12-01 15:45,113,113,0,0,0,0
2025-12-01 16:00,154,154,0,0,0,0
2025-12-01 16:15,118,118,0,0,0,0
2025-12-01 16:30,109,109,0,0,0,0
2025-12-01 16:45,131,131,0,0,0,0
2025-12-01 17:00,135,135,0,0,0,0
2025-12-01 17:15,103,103,0,0,0,0
2025-12-01 17:30,135,135,0,0,0,0
2025-12-01 17:45,133,133,0,0,0,0
2025-12-01 18:00,145,145,0,0,0,0
2025-12-01 18:15,133,133,0,0,0,0
2025-12-01 18:30,117,117,0,0,0,0
2025-12-01 18:45,95,95,0,0,0,0
2025-12-01 19:00,105,105,0,0,0,0
2025-12-01 19:15,112,112,0,0,0,0
2025-12-01 19:30,82,82,0,0,0,0
2025-12-01 19:45,94,94,0,0,0,0
2025-12-01 20:00,111,111,0,0,0,0
2025-12-01 20:15,76,76,0,0,0,0
2025-12-01 20:30,49,49,0,0,0,0
2025-12-01 20:45,49,49,0,0,0,0
2025-12-01 21:00,32,32,0,0,0,0
2025-12-01 21:15,35,35,0,0,0,0
2025-12-01 21:30,57,57,0,0,0,0
2025-12-01 21:45,57,57,0,0,0,0
2025-12-01 22:00,38,38,0,0,0,0
2025-12-01 22:15,32,32,0,0,0,0
2025-12-01 22:30,37,37,0,0,0,0
2025-12-01 22:45,21,21,0,0,0,0
2025-12-01 23:00,16,16,0,0,0,0
2025-12-01 23:15,12,12,0,0,0,0
2025-12-01 23:30,11,11,0,0,0,0
2025-12-01 23:45,19,19,0,0,0,0
2025-12-02 00:00,7,7,0,0,0,0
2025-12-02 00:15,6,6,0,0,0,0
2025-12-02 00:30,7,7,0,0,0,0
2025-12-02 00:45,4,4,0,0,0,0
2025-12-02 01:00,3,3,0,0,0,0
2025-12-02 01:15,2,2,0,0,0,0
2025-12-02 01:30,3,3,0,0,0,0
2025-12-02 01:45,4,4,0,0,0,0
2025-12-02 02:00,1,1,0,0,0,0
2025-12-02 02:15,1,1,0,0,0,0
2025-12-02 02:30,2,2,0,0,0,0
2025-12-02 02:45,1,1,0,0,0,0
2025-12-02 03:00,1,1,0,0,0,0
2025-12-02 03:15,4,4,0,0,0,0
2025-12-02 03:30,1,1,0,0,0,0
2025-12-02 03:45,2,2,0,0,0,0
2025-12-02 04:00,1,1,0,0,0,0
2025-12-02 04:15,2,2,0,0,0,0
2025-12-02 04:30,2,2,0,0,0,0
2025-12-02 04:45,4,4,0,0,0,0
2025-12-02 05:00,3,3,0,0,0,0
2025-12-02 05:15,7,7,0,0,0,0
2025-12-02 05:30,5,5,0,0,0,0
2025-12-02 05:45,13,13,0,0,0,0
2025-12-02 06:00,4,4,0,0,0,0
2025-12-02 06:15,23,23,0,0,0,0
2025-12-02 06:30,23,23,0,0,0,0
2025-12-02 06:45,38,38,0,0,0,0
2025-12-02 07:00,30,30,0,0,0,0
2025-12-02 07:15,49,49,0,0,0,0
2025-12-02 07:30,72,72,0,0,0,0
2025-12-02 07:45,85,85,0,0,0,0
2025-12-02 08:00,72,72,0,0,0,0
2025-12-02 08:15,63,63,0,0,0,0
2025-12-02 08:30,60,60,0,0,0,0
2025-12-02 08:45,64,64,0,0,0,0
2025-12-02 09:00,36,36,0,0,0,0
2025-12-02 09:15,44,44,0,0,0,0
2025-12-02 09:30,29,29,0,0,0,0
2025-12-02 09:45,43,43,0,0,0,0
2025-12-02 10:00,33,33,0,0,0,0
2025-12-02 10:15,28,28,0,0,0,0
2025-12-02 10:30,31,31,0,0,0,0
2025-12-02 10:45,32,32,0,0,0,0
2025-12-02 11:00,35,35,0,0,0,0
