Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2022-06-01 00:00,6,2,4,0,0,0
2022-06-01 00:15,7,2,5,0,0,0
2022-06-01 00:30,12,1,11,0,0,0
2022-06-01 00:45,6,1,5,0,0,0
2022-06-01 01:00,1,1,0,0,0,0
2022-06-01 01:15,2,0,2,0,0,0
2022-06-01 01:30,6,1,5,0,0,0
2022-06-01 01:45,1,0,1,0,0,0
2022-06-01 02:00,3,0,3,0,0,0
2022-06-01 02:15,3,2,1,0,0,0
2022-06-01 02:30,2,0,2,0,0,0
2022-06-01 02:45,2,1,1,0,0,0
2022-06-01 03:00,0,0,0,0,0,0
2022-06-01 03:15,0,0,0,0,0,0
2022-06-01 03:30,0,0,0,0,0,0
2022-06-01 03:45,4,3,1,0,0,0
2022-06-01 04:00,3,2,1,0,0,0
2022-06-01 04:15,3,3,0,0,0,0
2022-06-01 04:30,2,1,1,0,0,0
2022-06-01 04:45,3,3,0,0,0,0
2022-06-01 05:00,7,5,2,0,0,0
2022-06-01 05:15,11,10,1,0,0,0
2022-06-01 05:30,20,10,10,0,0,0
2022-06-01 05:45,17,13,4,0,0,0
2022-06-01 06:00,34,28,6,0,0,0
2022-06-01 06:15,41,30,11,0,0,0
2022-06-01 06:30,71,43,28,0,0,0
2022-06-01 06:45,71,40,31,0,0,0
2022-06-01 07:00,90,63,27,0,0,0
2022-06-01 07:15,132,73,59,0,0,0
2022-06-01 07:30,199,121,78,0,0,0
2022-06-01 07:45,215,137,78,0,0,0
2022-06-01 08:00,153,104,49,0,0,0
2022-06-01 08:15,171,116,55,0,0,0
2022-06-01 08:30,138,93,45,0,0,0
2022-06-01 08:45,182,126,56,0,0,0
2022-06-01 09:00,121,75,46,0,0,0
2022-06-01 09:15,127,84,43,0,0,0
2022-06-01 09:30,107,64,43,0,0,0
2022-06-01 09:45,169,109,60,0,0,0
2022-06-01 10:00,140,82,58,0,0,0
2022-06-01 10:15,110,55,55,0,0,0
2022-06-01 10:30,117,74,43,0,0,0
2022-06-01 10:45,129,67,62,0,0,0
2022-06-01 11:00,122,57,65,0,0,0
2022-06-01 11:15,154,68,86,0,0,0
2022-06-01 11:30,148,74,74,0,0,0
2022-06-01 11:45,169,85,84,0,0,0
2022-06-01 12:00,154,63,91,0,0,0
2022-06-01 12:15,154,62,92,0,0,0
2022-06-01 12:30,185,83,102,0,0,0
2022-06-01 12:45,140,72,68,0,0,0
2022-06-01 13:00,172,70,102,0,0,0
2022-06-01 13:15,158,65,93,0,0,0
2022-06-01 13:30,147,59,88,0,0,0
2022-06-01 13:45,178,78,100,0,0,0
2022-06-01 14:00,159,57,102,0,0,0
2022-06-01 14:15,157,67,90,0,0,0
2022-06-01 14:30,161,61,100,0,0,0
2022-06-01 14:45,201,67,134,0,0,0
2022-06-01 15:00,130,45,85,0,0,0
2022-06-01 15:15,80,25,55,0,0,0
2022-06-01 15:30,126,42,84,0,0,0
2022-06-01 15:45,184,79,105,0,0,0
2022-06-01 16:00,192,92,100,0,0,0
2022-06-01 16:15,187,77,110,0,0,0
2022-06-01 16:30,170,71,99,0,0,0
2022-06-01 16:45,204,71,133,0,0,0
2022-06-01 17:00,213,79,134,0,0,0
2022-06-01 17:15,189,77,112,0,0,0
2022-06-01 17:30,173,68,105,0,0,0
2022-06-01 17:45,206,85,121,0,0,0
2022-06-01 18:00,174,61,113,0,0,0
2022-06-01 18:15,159,62,97,0,0,0
2022-06-01 18:30,104,38,66,0,0,0
2022-06-01 18:45,128,60,68,0,0,0
2022-06-01 19:00,122,51,71,0,0,0
2022-06-01 19:15,116,47,69,0,0,0
2022-06-01 19:30,83,31,52,0,0,0
2022-06-01 19:45,106,38,68,0,0,0
2022-06-01 20:00,103,37,66,0,0,0
2022-06-01 20:15,92,32,60,0,0,0
2022-06-01 20:30,75,39,36,0,0,0
2022-06-01 20:45,52,21,31,0,0,0
2022-06-01 21:00,62,20,42,0,0,0
2022-06-01 21:15,58,16,42,0,0,0
2022-06-01 21:30,73,24,49,0,0,0
2022-06-01 21:45,66,24,42,0,0,0
2022-06-01 22:00,44,13,31,0,0,0
2022-06-01 22:15,40,15,25,0,0,0
2022-06-01 22:30,39,16,23,0,0,0
2022-06-01 22:45,41,12,29,0,0,0
2022-06-01 23:00,38,9,29,0,0,0
2022-06-01 23:15,37,10,27,0,0,0
2022-06-01 23:30,35,17,18,0,0,0
2022-06-01 23:45,27,13,14,0,0,0
2022-06-02 00:00,7,,7,0,,0
2022-06-02 00:15,11,,11,0,,0
2022-06-02 00:30,5,,5,0,,0
2022-06-02 00:45,13,,13,0,,0
2022-06-02 01:00,3,,3,0,,0
2022-06-02 01:15,13,,13,0,,0
