Datetime,100034980 (Hammer Straße),101034980 (Hammer Straße stadteinwärts),102034980 (Hammer Straße stadtauswärts),100034980-status,101034980-status,102034980-status
2025-10-01 00:00,10,3,7,0,0,0
2025-10-01 00:15,9,2,7,0,0,0
2025-10-01 00:30,12,4,8,0,0,0
2025-10-01 00:45,12,1,11,0,0,0
2025-10-01 01:00,9,1,8,0,0,0
2025-10-01 01:15,3,0,3,0,0,0
2025-10-01 01:30,2,1,1,0,0,0
2025-10-01 01:45,7,0,7,0,0,0
2025-10-01 02:00,4,1,3,0,0,0
2025-10-01 02:15,8,0,8,0,0,0
2025-10-01 02:30,2,1,1,0,0,0
2025-10-01 02:45,3,1,2,0,0,0
2025-10-01 03:00,2,1,1,0,0,0
2025-10-01 03:15,1,1,0,0,0,0
2025-10-01 03:30,1,0,1,0,0,0
2025-10-01 03:45,2,0,2,0,0,0
2025-10-01 04:00,0,0,0,0,0,0
2025-10-01 04:15,4,3,1,0,0,0
2025-10-01 04:30,2,1,1,0,0,0
2025-10-01 04:45,4,4,0,0,0,0
2025-10-01 05:00,4,3,1,0,0,0
2025-10-01 05:15,9,7,2,0,0,0
2025-10-01 05:30,12,5,7,0,0,0
2025-10-01 05:45,24,16,8,0,0,0
2025-10-01 06:00,21,10,11,0,0,0
2025-10-01 06:15,40,30,10,0,0,0
2025-10-01 06:30,52,32,20,0,0,0
2025-10-01 06:45,69,36,33,0,0,0
2025-10-01 07:00,85,46,39,0,0,0
2025-10-01 07:15,121,70,51,0,0,0
2025-10-01 07:30,181,118,63,0,0,0
2025-10-01 07:45,193,122,71,0,0,0
2025-10-01 08:00,167,122,45,0,0,0
2025-10-01 08:15,162,108,54,0,0,0
2025-10-01 08:30,156,108,48,0,0,0
2025-10-01 08:45,179,110,69,0,0,0
2025-10-01 09:00,114,78,36,0,0,0
2025-10-01 09:15,116,80,36,0,0,0
2025-10-01 09:30,113,69,44,0,0,0
2025-10-01 09:45,145,95,50,0,0,0
2025-10-01 10:00,104,71,33,0,0,0
2025-10-01 10:15,128,83,45,0,0,0
2025-10-01 10:30,131,80,51,0,0,0
2025-10-01 10:45,138,80,58,0,0,0
2025-10-01 11:00,125,73,52,0,0,0
2025-10-01 11:15,148,72,76,0,0,0
2025-10-01 11:30,123,70,53,0,0,0
2025-10-01 11:45,167,80,87,0,0,0
2025-10-01 12:00,173,84,89,0,0,0
2025-10-01 12:15,181,90,91,0,0,0
2025-10-01 12:30,192,92,100,0,0,0
2025-10-01 12:45,201,94,107,0,0,0
2025-10-01 13:00,178,79,99,0,0,0
2025-10-01 13:15,172,75,97,0,0,0
2025-10-01 13:30,169,72,97,0,0,0
2025-10-01 13:45,164,71,93,0,0,0
2025-10-01 14:00,166,55,111,0,0,0
2025-10-01 14:15,192,59,133,0,0,0
2025-10-01 14:30,212,74,138,0,0,0
2025-10-01 14:45,197,86,111,0,0,0
2025-10-01 15:00,167,68,99,0,0,0
2025-10-01 15:15,193,89,104,0,0,0
2025-10-01 15:30,223,84,139,0,0,0
2025-10-01 15:45,181,68,113,0,0,0
2025-10-01 16:00,191,74,117,0,0,0
2025-10-01 16:15,213,97,116,0,0,0
2025-10-01 16:30,224,92,132,0,0,0
2025-10-01 16:45,241,109,132,0,0,0
2025-10-01 17:00,210,98,112,0,0,0
2025-10-01 17:15,229,96,133,0,0,0
2025-10-01 17:30,231,98,133,0,0,0
2025-10-01 17:45,224,100,124,0,0,0
2025-10-01 18:00,206,87,119,0,0,0
2025-10-01 18:15,175,76,99,0,0,0
2025-10-01 18:30,174,69,105,0,0,0
2025-10-01 18:45,190,90,100,0,0,0
2025-10-01 19:00,134,54,80,0,0,0
2025-10-01 19:15,133,50,83,0,0,0
2025-10-01 19:30,107,36,71,0,0,0
2025-10-01 19:45,115,34,81,0,0,0
2025-10-01 20:00,82,30,52,0,0,0
2025-10-01 20:15,93,36,57,0,0,0
2025-10-01 20:30,65,26,39,0,0,0
2025-10-01 20:45,63,29,34,0,0,0
2025-10-01 21:00,44,23,21,0,0,0
2025-10-01 21:15,60,21,39,0,0,0
2025-10-01 21:30,54,16,38,0,0,0
2025-10-01 21:45,46,11,35,0,0,0
2025-10-01 22:00,78,22,56,0,0,0
2025-10-01 22:15,58,10,48,0,0,0
2025-10-01 22:30,50,14,36,0,0,0
2025-10-01 22:45,30,3,27,0,0,0
2025-10-01 23:00,37,8,29,0,0,0
2025-10-01 23:15,34,2,32,0,0,0
2025-10-01 23:30,25,13,12,0,0,0
2025-10-01 23:45,7,2,5,0,0,0
2025-10-02 00:00,17,3,14,0,0,0
2025-10-02 00:15,15,8,7,0,0,0
2025-10-02 00:30,10,1,9,0,0,0
2025-10-02 00:45,8,1,7,0,0,0
2025-10-02 01:00,10,2,8,0,0,0
2025-10-02 01:15,9,2,7,0,0,0
2025-10-02 01:30,5,0,5,0,0,0
2025-10-02 01:45,8,1,7,0,0,0
2025-10-02 02:00,0,0,0,0,0,0
2025-10-02 02:15,4,0,4,0,0,0
2025-10-02 02:30,1,1,0,0,0,0
2025-10-02 02:45,1,0,1,0,0,0
2025-10-02 03:00,3,1,2,0,0,0
2025-10-02 03:15,2,1,1,0,0,0
2025-10-02 03:30,1,0,1,0,0,0
2025-10-02 03:45,3,0,3,0,0,0
2025-10-02 04:00,2,0,2,0,0,0
2025-10-02 04:15,4,1,3,0,0,0
2025-10-02 04:30,6,2,4,0,0,0
2025-10-02 04:45,6,4,2,0,0,0
2025-10-02 05:00,8,3,5,0,0,0
2025-10-02 05:15,8,4,4,0,0,0
2025-10-02 05:30,27,13,14,0,0,0
2025-10-02 05:45,22,12,10,0,0,0
2025-10-02 06:00,23,17,6,0,0,0
2025-10-02 06:15,28,24,4,0,0,0
2025-10-02 06:30,47,30,17,0,0,0
2025-10-02 06:45,64,36,28,0,0,0
2025-10-02 07:00,68,37,31,0,0,0
2025-10-02 07:15,106,59,47,0,0,0
2025-10-02 07:30,179,124,55,0,0,0
2025-10-02 07:45,162,104,58,0,0,0
2025-10-02 08:00,147,98,49,0,0,0
2025-10-02 08:15,138,80,58,0,0,0
2025-10-02 08:30,149,93,56,0,0,0
2025-10-02 08:45,137,86,51,0,0,0
2025-10-02 09:00,91,65,26,0,0,0
2025-10-02 09:15,104,55,49,0,0,0
2025-10-02 09:30,128,88,40,0,0,0
2025-10-02 09:45,123,75,48,0,0,0
2025-10-02 10:00,111,64,47,0,0,0
2025-10-02 10:15,133,78,55,0,0,0
2025-10-02 10:30,117,58,59,0,0,0
2025-10-02 10:45,117,68,49,0,0,0
2025-10-02 11:00,110,55,55,0,0,0
2025-10-02 11:15,131,73,58,0,0,0
2025-10-02 11:30,136,64,72,0,0,0
2025-10-02 11:45,155,70,85,0,0,0
2025-10-02 12:00,118,49,69,0,0,0
2025-10-02 12:15,171,75,96,0,0,0
2025-10-02 12:30,147,65,82,0,0,0
2025-10-02 12:45,158,61,97,0,0,0
2025-10-02 13:00,148,59,89,0,0,0
2025-10-02 13:15,196,71,125,0,0,0
2025-10-02 13:30,176,67,109,0,0,0
2025-10-02 13:45,199,90,109,0,0,0
2025-10-02 14:00,173,70,103,0,0,0
2025-10-02 14:15,174,78,96,0,0,0
2025-10-02 14:30,156,71,85,0,0,0
2025-10-02 14:45,220,82,138,0,0,0
2025-10-02 15:00,177,81,96,0,0,0
2025-10-02 15:15,176,69,107,0,0,0
2025-10-02 15:30,211,96,115,0,0,0
