Datetime,300037926 (Bohlweg),353413831 (Bohlweg [Bike Stadteinwärts]),353413832 (Bohlweg [Bike Stadtauswärts]),300037926-status,353413831-status,353413832-status
2024-08-01 00:00,16,6,10,0,0,0
2024-08-01 00:15,21,5,16,0,0,0
2024-08-01 00:30,19,10,9,0,0,0
2024-08-01 00:45,9,2,7,0,0,0
2024-08-01 01:00,8,0,8,0,0,0
2024-08-01 01:15,9,6,3,0,0,0
2024-08-01 01:30,6,0,6,0,0,0
2024-08-01 01:45,3,1,2,0,0,0
2024-08-01 02:00,7,1,6,0,0,0
2024-08-01 02:15,1,0,1,0,0,0
2024-08-01 02:30,5,0,5,0,0,0
2024-08-01 02:45,1,1,0,0,0,0
2024-08-01 03:00,3,0,3,0,0,0
2024-08-01 03:15,6,0,6,0,0,0
2024-08-01 03:30,3,0,3,0,0,0
2024-08-01 03:45,0,0,0,0,0,0
2024-08-01 04:00,2,1,1,0,0,0
2024-08-01 04:15,2,1,1,0,0,0
2024-08-01 04:30,3,1,2,0,0,0
2024-08-01 04:45,4,3,1,0,0,0
2024-08-01 05:00,4,1,3,0,0,0
2024-08-01 05:15,3,2,1,0,0,0
2024-08-01 05:30,10,3,7,0,0,0
2024-08-01 05:45,11,4,7,0,0,0
2024-08-01 06:00,13,10,3,0,0,0
2024-08-01 06:15,19,13,6,0,0,0
2024-08-01 06:30,26,21,5,0,0,0
2024-08-01 06:45,22,13,9,0,0,0
2024-08-01 07:00,43,28,15,0,0,0
2024-08-01 07:15,56,42,14,0,0,0
2024-08-01 07:30,61,47,14,0,0,0
2024-08-01 07:45,92,62,30,0,0,0
2024-08-01 08:00,63,48,15,0,0,0
2024-08-01 08:15,76,56,20,0,0,0
2024-08-01 08:30,68,49,19,0,0,0
2024-08-01 08:45,68,51,17,0,0,0
2024-08-01 09:00,63,41,22,0,0,0
2024-08-01 09:15,53,35,18,0,0,0
2024-08-01 09:30,58,38,20,0,0,0
2024-08-01 09:45,57,42,15,0,0,0
2024-08-01 10:00,61,43,18,0,0,0
2024-08-01 10:15,66,39,27,0,0,0
2024-08-01 10:30,59,39,20,0,0,0
2024-08-01 10:45,75,50,25,0,0,0
2024-08-01 11:00,62,34,28,0,0,0
2024-08-01 11:15,55,32,23,0,0,0
2024-08-01 11:30,54,27,27,0,0,0
2024-08-01 11:45,60,31,29,0,0,0
2024-08-01 12:00,69,37,32,0,0,0
2024-08-01 12:15,65,36,29,0,0,0
2024-08-01 12:30,74,37,37,0,0,0
2024-08-01 12:45,65,27,38,0,0,0
2024-08-01 13:00,59,34,25,0,0,0
2024-08-01 13:15,62,30,32,0,0,0
2024-08-01 13:30,43,20,23,0,0,0
2024-08-01 13:45,54,26,28,0,0,0
2024-08-01 14:00,58,28,30,0,0,0
2024-08-01 14:15,57,27,30,0,0,0
2024-08-01 14:30,55,29,26,0,0,0
2024-08-01 14:45,85,50,35,0,0,0
2024-08-01 15:00,64,29,35,0,0,0
2024-08-01 15:15,63,22,41,0,0,0
2024-08-01 15:30,66,29,37,0,0,0
2024-08-01 15:45,72,31,41,0,0,0
2024-08-01 16:00,71,25,46,0,0,0
2024-08-01 16:15,62,30,32,0,0,0
2024-08-01 16:30,71,21,50,0,0,0
2024-08-01 16:45,63,34,29,0,0,0
2024-08-01 17:00,79,24,55,0,0,0
2024-08-01 17:15,66,27,39,0,0,0
2024-08-01 17:30,65,24,41,0,0,0
2024-08-01 17:45,60,27,33,0,0,0
2024-08-01 18:00,46,17,29,0,0,0
2024-08-01 18:15,38,11,27,0,0,0
2024-08-01 18:30,28,9,19,0,0,0
2024-08-01 18:45,38,20,18,0,0,0
2024-08-01 19:00,18,9,9,0,0,0
2024-08-01 19:15,18,4,14,0,0,0
2024-08-01 19:30,21,5,16,0,0,0
2024-08-01 19:45,23,7,16,0,0,0
2024-08-01 20:00,28,10,18,0,0,0
2024-08-01 20:15,11,4,7,0,0,0
2024-08-01 20:30,30,12,18,0,0,0
2024-08-01 20:45,9,4,5,0,0,0
2024-08-01 21:00,20,6,14,0,0,0
2024-08-01 21:15,12,6,6,0,0,0
2024-08-01 21:30,16,11,5,0,0,0
2024-08-01 21:45,12,2,10,0,0,0
2024-08-01 22:00,8,4,4,0,0,0
2024-08-01 22:15,12,3,9,0,0,0
2024-08-01 22:30,20,8,12,0,0,0
2024-08-01 22:45,10,3,7,0,0,0
2024-08-01 23:00,3,0,3,0,0,0
2024-08-01 23:15,6,3,3,0,0,0
2024-08-01 23:30,6,0,6,0,0,0
2024-08-01 23:45,19,9,10,0,0,0
