Datetime,300037926 (Bohlweg),353413831 (Bohlweg Fahrräder Stadteinwärts),353413832 (Bohlweg Fahrräder Stadtauswärts),353484923 (Bohlweg Fahrräder Stadteinwärts),353484925 (Bohlweg Fahrräder Stadtauswärts),353484927 (Bohlweg Fahrräder Stadteinwärts),353484928 (Bohlweg Fahrräder Stadtauswärts),353484929 (Bohlweg Fahrräder Stadteinwärts),353484930 (Bohlweg Fahrräder Stadtauswärts),300037926-status,353413831-status,353413832-status,353484923-status,353484925-status,353484927-status,353484928-status,353484929-status,353484930-status
2025-11-01 00:00,27,8,19,,,,,,,0,0,0,,,,,,
2025-11-01 00:15,30,17,13,,,,,,,0,0,0,,,,,,
2025-11-01 00:30,17,7,10,,,,,,,0,0,0,,,,,,
2025-11-01 00:45,28,8,20,,,,,,,0,0,0,,,,,,
2025-11-01 01:00,32,12,20,,,,,,,0,0,0,,,,,,
2025-11-01 01:15,27,11,16,,,,,,,0,0,0,,,,,,
2025-11-01 01:30,29,12,17,,,,,,,0,0,0,,,,,,
2025-11-01 01:45,11,4,7,,,,,,,0,0,0,,,,,,
2025-11-01 02:00,30,8,22,,,,,,,0,0,0,,,,,,
2025-11-01 02:15,21,9,12,,,,,,,0,0,0,,,,,,
2025-11-01 02:30,14,2,12,,,,,,,0,0,0,,,,,,
2025-11-01 02:45,16,4,12,,,,,,,0,0,0,,,,,,
2025-11-01 03:00,18,8,10,,,,,,,0,0,0,,,,,,
2025-11-01 03:15,9,2,7,,,,,,,0,0,0,,,,,,
2025-11-01 03:30,12,6,6,,,,,,,0,0,0,,,,,,
2025-11-01 03:45,9,3,6,,,,,,,0,0,0,,,,,,
2025-11-01 04:00,7,0,7,,,,,,,0,0,0,,,,,,
2025-11-01 04:15,10,2,8,,,,,,,0,0,0,,,,,,
2025-11-01 04:30,1,1,0,,,,,,,0,0,0,,,,,,
2025-11-01 04:45,5,2,3,,,,,,,0,0,0,,,,,,
2025-11-01 05:00,2,0,2,,,,,,,0,0,0,,,,,,
2025-11-01 05:15,8,1,7,,,,,,,0,0,0,,,,,,
2025-11-01 05:30,15,5,10,,,,,,,0,0,0,,,,,,
2025-11-01 05:45,4,3,1,,,,,,,0,0,0,,,,,,
2025-11-01 06:00,1,0,1,,,,,,,0,0,0,,,,,,
2025-11-01 06:15,8,3,5,,,,,,,0,0,0,,,,,,
2025-11-01 06:30,0,0,0,,,,,,,0,0,0,,,,,,
2025-11-01 06:45,4,4,0,,,,,,,0,0,0,,,,,,
2025-11-01 07:00,3,1,2,,,,,,,0,0,0,,,,,,
2025-11-01 07:15,7,1,6,,,,,,,0,0,0,,,,,,
2025-11-01 07:30,3,3,0,,,,,,,0,0,0,,,,,,
2025-11-01 07:45,12,9,3,,,,,,,0,0,0,,,,,,
2025-11-01 08:00,5,4,1,,,,,,,0,0,0,,,,,,
2025-11-01 08:15,9,7,2,,,,,,,0,0,0,,,,,,
2025-11-01 08:30,13,8,5,,,,,,,0,0,0,,,,,,
2025-11-01 08:45,18,9,9,,,,,,,0,0,0,,,,,,
2025-11-01 09:00,13,9,4,,,,,,,0,0,0,,,,,,
2025-11-01 09:15,14,8,6,,,,,,,0,0,0,,,,,,
2025-11-01 09:30,13,6,7,,,,,,,0,0,0,,,,,,
2025-11-01 09:45,36,21,15,,,,,,,0,0,0,,,,,,
2025-11-01 10:00,26,13,13,,,,,,,0,0,0,,,,,,
2025-11-01 10:15,22,13,9,,,,,,,0,0,0,,,,,,
2025-11-01 10:30,18,11,7,,,,,,,0,0,0,,,,,,
2025-11-01 10:45,28,18,10,,,,,,,0,0,0,,,,,,
2025-11-01 11:00,30,14,16,,,,,,,0,0,0,,,,,,
2025-11-01 11:15,17,9,8,,,,,,,0,0,0,,,,,,
2025-11-01 11:30,35,21,14,,,,,,,0,0,0,,,,,,
2025-11-01 11:45,27,17,10,,,,,,,0,0,0,,,,,,
2025-11-01 12:00,25,17,8,,,,,,,0,0,0,,,,,,
2025-11-01 12:15,21,11,10,,,,,,,0,0,0,,,,,,
2025-11-01 12:30,31,24,7,,,,,,,0,0,0,,,,,,
2025-11-01 12:45,25,12,13,,,,,,,0,0,0,,,,,,
2025-11-01 13:00,18,6,12,,,,,,,0,0,0,,,,,,
2025-11-01 13:15,12,5,7,,,,,,,0,0,0,,,,,,
2025-11-01 13:30,35,17,18,,,,,,,0,0,0,,,,,,
2025-11-01 13:45,27,13,14,,,,,,,0,0,0,,,,,,
2025-11-01 14:00,32,23,9,,,,,,,0,0,0,,,,,,
2025-11-01 14:15,24,14,10,,,,,,,0,0,0,,,,,,
2025-11-01 14:30,28,11,17,,,,,,,0,0,0,,,,,,
2025-11-01 14:45,18,10,8,,,,,,,0,0,0,,,,,,
2025-11-01 15:00,20,14,6,,,,,,,0,0,0,,,,,,
2025-11-01 15:15,23,9,14,,,,,,,0,0,0,,,,,,
2025-11-01 15:30,25,10,15,,,,,,,0,0,0,,,,,,
2025-11-01 15:45,23,13,10,,,,,,,0,0,0,,,,,,
