Datetime,300038855 (Bismarckallee),353420516 (Bismarckallee Fahrräder IN),353420517 (Bismarckallee Fahrräder OUT),300038855-status,353420516-status,353420517-status
2024-05-01 00:00,51,34,17,0,0,0
2024-05-01 00:15,52,44,8,0,0,0
2024-05-01 00:30,34,20,14,0,0,0
2024-05-01 00:45,31,29,2,0,0,0
2024-05-01 01:00,35,33,2,0,0,0
2024-05-01 01:15,45,38,7,0,0,0
2024-05-01 01:30,29,20,9,0,0,0
2024-05-01 01:45,31,28,3,0,0,0
2024-05-01 02:00,16,15,1,0,0,0
2024-05-01 02:15,22,17,5,0,0,0
2024-05-01 02:30,13,12,1,0,0,0
2024-05-01 02:45,17,13,4,0,0,0
2024-05-01 03:00,17,12,5,0,0,0
2024-05-01 03:15,13,12,1,0,0,0
2024-05-01 03:30,14,13,1,0,0,0
2024-05-01 03:45,12,10,2,0,0,0
2024-05-01 04:00,3,2,1,0,0,0
2024-05-01 04:15,5,5,0,0,0,0
2024-05-01 04:30,4,4,0,0,0,0
2024-05-01 04:45,4,4,0,0,0,0
2024-05-01 05:00,2,2,0,0,0,0
2024-05-01 05:15,3,2,1,0,0,0
2024-05-01 05:30,4,3,1,0,0,0
2024-05-01 05:45,7,5,2,0,0,0
2024-05-01 06:00,4,4,0,0,0,0
2024-05-01 06:15,8,6,2,0,0,0
2024-05-01 06:30,2,1,1,0,0,0
2024-05-01 06:45,6,3,3,0,0,0
2024-05-01 07:00,5,2,3,0,0,0
2024-05-01 07:15,3,0,3,0,0,0
2024-05-01 07:30,9,7,2,0,0,0
2024-05-01 07:45,9,2,7,0,0,0
2024-05-01 08:00,12,7,5,0,0,0
2024-05-01 08:15,12,7,5,0,0,0
2024-05-01 08:30,13,9,4,0,0,0
2024-05-01 08:45,20,9,11,0,0,0
2024-05-01 09:00,21,15,6,0,0,0
2024-05-01 09:15,19,14,5,0,0,0
2024-05-01 09:30,38,26,12,0,0,0
2024-05-01 09:45,71,36,35,0,0,0
2024-05-01 10:00,56,41,15,0,0,0
2024-05-01 10:15,58,26,32,0,0,0
2024-05-01 10:30,60,39,21,0,0,0
2024-05-01 10:45,67,30,37,0,0,0
2024-05-01 11:00,62,42,20,0,0,0
2024-05-01 11:15,101,60,41,0,0,0
2024-05-01 11:30,88,50,38,0,0,0
2024-05-01 11:45,94,61,33,0,0,0
2024-05-01 12:00,107,62,45,0,0,0
2024-05-01 12:15,107,65,42,0,0,0
2024-05-01 12:30,103,64,39,0,0,0
2024-05-01 12:45,97,62,35,0,0,0
2024-05-01 13:00,141,98,43,0,0,0
2024-05-01 13:15,108,69,39,0,0,0
2024-05-01 13:30,118,78,40,0,0,0
2024-05-01 13:45,125,74,51,0,0,0
2024-05-01 14:00,141,89,52,0,0,0
2024-05-01 14:15,130,86,44,0,0,0
2024-05-01 14:30,124,69,55,0,0,0
2024-05-01 14:45,143,91,52,0,0,0
2024-05-01 15:00,139,80,59,0,0,0
2024-05-01 15:15,163,123,40,0,0,0
2024-05-01 15:30,163,95,68,0,0,0
2024-05-01 15:45,145,97,48,0,0,0
2024-05-01 16:00,145,94,51,0,0,0
2024-05-01 16:15,164,93,71,0,0,0
2024-05-01 16:30,123,71,52,0,0,0
2024-05-01 16:45,124,76,48,0,0,0
2024-05-01 17:00,125,81,44,0,0,0
2024-05-01 17:15,128,75,53,0,0,0
2024-05-01 17:30,142,100,42,0,0,0
2024-05-01 17:45,134,74,60,0,0,0
2024-05-01 18:00,129,74,55,0,0,0
2024-05-01 18:15,118,62,56,0,0,0
2024-05-01 18:30,132,81,51,0,0,0
2024-05-01 18:45,106,52,54,0,0,0
2024-05-01 19:00,115,68,47,0,0,0
2024-05-01 19:15,90,63,27,0,0,0
2024-05-01 19:30,117,65,52,0,0,0
2024-05-01 19:45,109,62,47,0,0,0
2024-05-01 20:00,102,54,48,0,0,0
2024-05-01 20:15,93,58,35,0,0,0
2024-05-01 20:30,96,56,40,0,0,0
2024-05-01 20:45,89,54,35,0,0,0
2024-05-01 21:00,99,63,36,0,0,0
2024-05-01 21:15,81,49,32,0,0,0
2024-05-01 21:30,55,37,18,0,0,0
2024-05-01 21:45,69,46,23,0,0,0
2024-05-01 22:00,54,34,20,0,0,0
2024-05-01 22:15,36,20,16,0,0,0
2024-05-01 22:30,28,19,9,0,0,0
2024-05-01 22:45,14,11,3,0,0,0
2024-05-01 23:00,48,37,11,0,0,0
2024-05-01 23:15,33,22,11,0,0,0
2024-05-01 23:30,16,8,8,0,0,0
2024-05-01 23:45,18,14,4,0,0,0
2024-05-02 00:00,8,6,2,0,0,0
2024-05-02 00:15,11,7,4,0,0,0
2024-05-02 00:30,12,7,5,0,0,0
2024-05-02 00:45,13,5,8,0,0,0
2024-05-02 01:00,2,2,0,0,0,0
2024-05-02 01:15,11,8,3,0,0,0
2024-05-02 01:30,2,1,1,0,0,0
2024-05-02 01:45,2,2,0,0,0,0
2024-05-02 02:00,1,1,0,0,0,0
2024-05-02 02:15,4,3,1,0,0,0
2024-05-02 02:30,10,8,2,0,0,0
2024-05-02 02:45,3,2,1,0,0,0
2024-05-02 03:00,2,2,0,0,0,0
2024-05-02 03:15,1,1,0,0,0,0
2024-05-02 03:30,1,0,1,0,0,0
2024-05-02 03:45,1,0,1,0,0,0
2024-05-02 04:00,1,0,1,0,0,0
2024-05-02 04:15,0,0,0,0,0,0
2024-05-02 04:30,0,0,0,0,0,0
2024-05-02 04:45,1,1,0,0,0,0
2024-05-02 05:00,2,0,2,0,0,0
2024-05-02 05:15,4,2,2,0,0,0
2024-05-02 05:30,12,6,6,0,0,0
2024-05-02 05:45,11,6,5,0,0,0
2024-05-02 06:00,7,3,4,0,0,0
2024-05-02 06:15,22,12,10,0,0,0
2024-05-02 06:30,31,14,17,0,0,0
2024-05-02 06:45,39,18,21,0,0,0
2024-05-02 07:00,57,32,25,0,0,0
2024-05-02 07:15,104,51,53,0,0,0
2024-05-02 07:30,168,70,98,0,0,0
2024-05-02 07:45,150,68,82,0,0,0
2024-05-02 08:00,140,66,74,0,0,0
2024-05-02 08:15,108,38,70,0,0,0
2024-05-02 08:30,94,45,49,0,0,0
2024-05-02 08:45,114,65,49,0,0,0
2024-05-02 09:00,79,37,42,0,0,0
2024-05-02 09:15,76,24,52,0,0,0
2024-05-02 09:30,91,41,50,0,0,0
2024-05-02 09:45,137,53,84,0,0,0
