Datetime,300037405 (Promenade (westl. Hals)),353409612 (Promenade (westl. Hals) Fahrräder IN),353409613 (Promenade (westl. Hals) Fahrräder OUT),353426710 (Promenade (westl. Hals) [Bike IN]),353426712 (Promenade (westl. Hals) [Bike IN]),353426713 (Promenade (westl. Hals) [Bike OUT]),353426715 (Promenade (westl. Hals) [Bike OUT]),300037405-status,353409612-status,353409613-status,353426710-status,353426712-status,353426713-status,353426715-status
2024-09-01 00:00,65,0,30,6,19,9,1,0,0,0,0,0,0,0
2024-09-01 00:15,64,2,22,10,22,7,1,0,0,0,0,0,0,0
2024-09-01 00:30,47,1,18,6,19,3,0,0,0,0,0,0,0,0
2024-09-01 00:45,36,0,16,3,11,6,0,0,0,0,0,0,0,0
2024-09-01 01:00,51,0,23,6,12,9,1,0,0,0,0,0,0,0
2024-09-01 01:15,30,3,11,5,8,3,0,0,0,0,0,0,0,0
2024-09-01 01:30,40,0,18,2,16,4,0,0,0,0,0,0,0,0
2024-09-01 01:45,22,0,12,0,4,6,0,0,0,0,0,0,0,0
2024-09-01 02:00,26,0,9,8,7,2,0,0,0,0,0,0,0,0
2024-09-01 02:15,29,1,14,0,9,5,0,0,0,0,0,0,0,0
2024-09-01 02:30,19,1,7,3,4,3,1,0,0,0,0,0,0,0
2024-09-01 02:45,10,0,7,1,2,0,0,0,0,0,0,0,0,0
2024-09-01 03:00,12,0,4,2,5,1,0,0,0,0,0,0,0,0
2024-09-01 03:15,23,0,14,1,4,4,0,0,0,0,0,0,0,0
2024-09-01 03:30,13,0,10,0,1,2,0,0,0,0,0,0,0,0
2024-09-01 03:45,21,0,9,1,5,4,2,0,0,0,0,0,0,0
2024-09-01 04:00,10,0,7,0,1,2,0,0,0,0,0,0,0,0
2024-09-01 04:15,11,0,5,2,2,2,0,0,0,0,0,0,0,0
2024-09-01 04:30,9,0,4,1,1,3,0,0,0,0,0,0,0,0
2024-09-01 04:45,7,0,3,1,1,2,0,0,0,0,0,0,0,0
2024-09-01 05:00,12,0,8,1,1,2,0,0,0,0,0,0,0,0
2024-09-01 05:15,8,0,3,2,3,0,0,0,0,0,0,0,0,0
2024-09-01 05:30,22,0,13,0,5,4,0,0,0,0,0,0,0,0
2024-09-01 05:45,16,0,9,0,7,0,0,0,0,0,0,0,0,0
2024-09-01 06:00,11,0,6,1,3,0,1,0,0,0,0,0,0,0
2024-09-01 06:15,10,0,8,1,1,0,0,0,0,0,0,0,0,0
2024-09-01 06:30,7,0,4,0,3,0,0,0,0,0,0,0,0,0
2024-09-01 06:45,10,0,6,0,4,0,0,0,0,0,0,0,0,0
2024-09-01 07:00,13,0,6,3,3,1,0,0,0,0,0,0,0,0
2024-09-01 07:15,25,1,11,1,11,1,0,0,0,0,0,0,0,0
2024-09-01 07:30,16,0,12,0,3,1,0,0,0,0,0,0,0,0
2024-09-01 07:45,16,0,8,0,7,1,0,0,0,0,0,0,0,0
2024-09-01 08:00,25,0,12,1,9,3,0,0,0,0,0,0,0,0
2024-09-01 08:15,22,0,13,1,6,2,0,0,0,0,0,0,0,0
2024-09-01 08:30,28,0,17,0,10,1,0,0,0,0,0,0,0,0
