Datetime,300037405 (Promenade (westl. Hals)),353409612 (Promenade (westl. Hals) Fahrräder IN),353409613 (Promenade (westl. Hals) Fahrräder OUT),353426710 (Promenade (westl. Hals) [Bike IN]),353426712 (Promenade (westl. Hals) [Bike IN]),353426713 (Promenade (westl. Hals) [Bike OUT]),353426715 (Promenade (westl. Hals) [Bike OUT]),300037405-status,353409612-status,353409613-status,353426710-status,353426712-status,353426713-status,353426715-status
2025-07-01 00:00,15,6,9,,,,,0,0,0,,,,
2025-07-01 00:15,21,6,15,,,,,0,0,0,,,,
2025-07-01 00:30,14,4,10,,,,,0,0,0,,,,
2025-07-01 00:45,4,1,3,,,,,0,0,0,,,,
2025-07-01 01:00,12,9,3,,,,,0,0,0,,,,
2025-07-01 01:15,3,2,1,,,,,0,0,0,,,,
2025-07-01 01:30,1,1,0,,,,,0,0,0,,,,
2025-07-01 01:45,4,0,4,,,,,0,0,0,,,,
2025-07-01 02:00,3,1,2,,,,,0,0,0,,,,
2025-07-01 02:15,1,1,0,,,,,0,0,0,,,,
2025-07-01 02:30,0,0,0,,,,,0,0,0,,,,
2025-07-01 02:45,3,3,0,,,,,0,0,0,,,,
2025-07-01 03:00,2,2,0,,,,,0,0,0,,,,
2025-07-01 03:15,2,0,2,,,,,0,0,0,,,,
2025-07-01 03:30,1,1,0,,,,,0,0,0,,,,
2025-07-01 03:45,4,2,2,,,,,0,0,0,,,,
2025-07-01 04:00,2,1,1,,,,,0,0,0,,,,
2025-07-01 04:15,2,2,0,,,,,0,0,0,,,,
2025-07-01 04:30,3,1,2,,,,,0,0,0,,,,
2025-07-01 04:45,11,5,6,,,,,0,0,0,,,,
2025-07-01 05:00,12,9,3,,,,,0,0,0,,,,
2025-07-01 05:15,10,2,8,,,,,0,0,0,,,,
2025-07-01 05:30,31,17,14,,,,,0,0,0,,,,
2025-07-01 05:45,58,27,31,,,,,0,0,0,,,,
2025-07-01 06:00,60,33,27,,,,,0,0,0,,,,
2025-07-01 06:15,79,38,41,,,,,0,0,0,,,,
2025-07-01 06:30,95,33,62,,,,,0,0,0,,,,
2025-07-01 06:45,169,86,83,,,,,0,0,0,,,,
2025-07-01 07:00,207,84,123,,,,,0,0,0,,,,
2025-07-01 07:15,241,110,131,,,,,0,0,0,,,,
2025-07-01 07:30,378,139,239,,,,,0,0,0,,,,
2025-07-01 07:45,377,149,228,,,,,0,0,0,,,,
2025-07-01 08:00,410,172,238,,,,,0,0,0,,,,
2025-07-01 08:15,318,136,182,,,,,0,0,0,,,,
2025-07-01 08:30,270,109,161,,,,,0,0,0,,,,
2025-07-01 08:45,305,139,166,,,,,0,0,0,,,,
2025-07-01 09:00,232,89,143,,,,,0,0,0,,,,
2025-07-01 09:15,188,87,101,,,,,0,0,0,,,,
2025-07-01 09:30,179,59,120,,,,,0,0,0,,,,
2025-07-01 09:45,275,107,168,,,,,0,0,0,,,,
2025-07-01 10:00,255,81,174,,,,,0,0,0,,,,
2025-07-01 10:15,146,71,75,,,,,0,0,0,,,,
2025-07-01 10:30,150,59,91,,,,,0,0,0,,,,
2025-07-01 10:45,180,92,88,,,,,0,0,0,,,,
2025-07-01 11:00,176,83,93,,,,,0,0,0,,,,
2025-07-01 11:15,171,98,73,,,,,0,0,0,,,,
2025-07-01 11:30,180,91,89,,,,,0,0,0,,,,
2025-07-01 11:45,227,100,127,,,,,0,0,0,,,,
2025-07-01 12:00,266,123,143,,,,,0,0,0,,,,
2025-07-01 12:15,215,92,123,,,,,0,0,0,,,,
2025-07-01 12:30,248,113,135,,,,,0,0,0,,,,
2025-07-01 12:45,243,122,121,,,,,0,0,0,,,,
2025-07-01 13:00,208,91,117,,,,,0,0,0,,,,
2025-07-01 13:15,235,117,118,,,,,0,0,0,,,,
2025-07-01 13:30,213,122,91,,,,,0,0,0,,,,
2025-07-01 13:45,256,153,103,,,,,0,0,0,,,,
2025-07-01 14:00,249,122,127,,,,,0,0,0,,,,
2025-07-01 14:15,224,125,99,,,,,0,0,0,,,,
2025-07-01 14:30,232,126,106,,,,,0,0,0,,,,
2025-07-01 14:45,245,150,95,,,,,0,0,0,,,,
2025-07-01 15:00,224,135,89,,,,,0,0,0,,,,
2025-07-01 15:15,243,149,94,,,,,0,0,0,,,,
2025-07-01 15:30,247,148,99,,,,,0,0,0,,,,
2025-07-01 15:45,358,229,129,,,,,0,0,0,,,,
2025-07-01 16:00,372,223,149,,,,,0,0,0,,,,
2025-07-01 16:15,291,192,99,,,,,0,0,0,,,,
2025-07-01 16:30,298,157,141,,,,,0,0,0,,,,
2025-07-01 16:45,299,171,128,,,,,0,0,0,,,,
2025-07-01 17:00,297,167,130,,,,,0,0,0,,,,
2025-07-01 17:15,333,173,160,,,,,0,0,0,,,,
2025-07-01 17:30,303,171,132,,,,,0,0,0,,,,
2025-07-01 17:45,363,223,140,,,,,0,0,0,,,,
2025-07-01 18:00,279,149,130,,,,,0,0,0,,,,
2025-07-01 18:15,267,128,139,,,,,0,0,0,,,,
2025-07-01 18:30,250,138,112,,,,,0,0,0,,,,
2025-07-01 18:45,257,133,124,,,,,0,0,0,,,,
2025-07-01 19:00,233,133,100,,,,,0,0,0,,,,
2025-07-01 19:15,214,109,105,,,,,0,0,0,,,,
2025-07-01 19:30,230,114,116,,,,,0,0,0,,,,
2025-07-01 19:45,231,125,106,,,,,0,0,0,,,,
2025-07-01 20:00,207,87,120,,,,,0,0,0,,,,
2025-07-01 20:15,155,65,90,,,,,0,0,0,,,,
2025-07-01 20:30,143,68,75,,,,,0,0,0,,,,
2025-07-01 20:45,146,56,90,,,,,0,0,0,,,,
2025-07-01 21:00,139,74,65,,,,,0,0,0,,,,
2025-07-01 21:15,145,71,74,,,,,0,0,0,,,,
2025-07-01 21:30,141,63,78,,,,,0,0,0,,,,
2025-07-01 21:45,159,60,99,,,,,0,0,0,,,,
2025-07-01 22:00,159,62,97,,,,,0,0,0,,,,
2025-07-01 22:15,134,67,67,,,,,0,0,0,,,,
2025-07-01 22:30,114,48,66,,,,,0,0,0,,,,
2025-07-01 22:45,97,49,48,,,,,0,0,0,,,,
2025-07-01 23:00,108,39,69,,,,,0,0,0,,,,
2025-07-01 23:15,74,26,48,,,,,0,0,0,,,,
2025-07-01 23:30,56,23,33,,,,,0,0,0,,,,
2025-07-01 23:45,36,10,26,,,,,0,0,0,,,,
2025-07-02 00:00,31,5,26,,,,,0,0,0,,,,
2025-07-02 00:15,22,7,15,,,,,0,0,0,,,,
2025-07-02 00:30,15,3,12,,,,,0,0,0,,,,
2025-07-02 00:45,27,3,24,,,,,0,0,0,,,,
2025-07-02 01:00,13,4,9,,,,,0,0,0,,,,
2025-07-02 01:15,14,4,10,,,,,0,0,0,,,,
2025-07-02 01:30,11,6,5,,,,,0,0,0,,,,
2025-07-02 01:45,9,2,7,,,,,0,0,0,,,,
2025-07-02 02:00,6,1,5,,,,,0,0,0,,,,
2025-07-02 02:15,3,2,1,,,,,0,0,0,,,,
2025-07-02 02:30,7,2,5,,,,,0,0,0,,,,
2025-07-02 02:45,4,2,2,,,,,0,0,0,,,,
2025-07-02 03:00,4,2,2,,,,,0,0,0,,,,
2025-07-02 03:15,3,1,2,,,,,0,0,0,,,,
2025-07-02 03:30,2,1,1,,,,,0,0,0,,,,
2025-07-02 03:45,3,1,2,,,,,0,0,0,,,,
2025-07-02 04:00,1,0,1,,,,,0,0,0,,,,
2025-07-02 04:15,5,4,1,,,,,0,0,0,,,,
2025-07-02 04:30,5,2,3,,,,,0,0,0,,,,
2025-07-02 04:45,12,6,6,,,,,0,0,0,,,,
2025-07-02 05:00,12,9,3,,,,,0,0,0,,,,
2025-07-02 05:15,14,6,8,,,,,0,0,0,,,,
2025-07-02 05:30,34,10,24,,,,,0,0,0,,,,
2025-07-02 05:45,45,15,30,,,,,0,0,0,,,,
2025-07-02 06:00,67,32,35,,,,,0,0,0,,,,
2025-07-02 06:15,93,53,40,,,,,0,0,0,,,,
2025-07-02 06:30,108,47,61,,,,,0,0,0,,,,
2025-07-02 06:45,124,61,63,,,,,0,0,0,,,,
2025-07-02 07:00,161,73,88,,,,,0,0,0,,,,
2025-07-02 07:15,271,122,149,,,,,0,0,0,,,,
2025-07-02 07:30,346,123,223,,,,,0,0,0,,,,
2025-07-02 07:45,397,175,222,,,,,0,0,0,,,,
2025-07-02 08:00,331,114,217,,,,,0,0,0,,,,
2025-07-02 08:15,278,117,161,,,,,0,0,0,,,,
2025-07-02 08:30,251,120,131,,,,,0,0,0,,,,
2025-07-02 08:45,280,116,164,,,,,0,0,0,,,,
2025-07-02 09:00,216,92,124,,,,,0,0,0,,,,
2025-07-02 09:15,174,78,96,,,,,0,0,0,,,,
2025-07-02 09:30,215,79,136,,,,,0,0,0,,,,
2025-07-02 09:45,234,96,138,,,,,0,0,0,,,,
2025-07-02 10:00,241,85,156,,,,,0,0,0,,,,
2025-07-02 10:15,171,83,88,,,,,0,0,0,,,,
2025-07-02 10:30,147,67,80,,,,,0,0,0,,,,
2025-07-02 10:45,166,70,96,,,,,0,0,0,,,,
2025-07-02 11:00,138,59,79,,,,,0,0,0,,,,
2025-07-02 11:15,170,92,78,,,,,0,0,0,,,,
2025-07-02 11:30,150,77,73,,,,,0,0,0,,,,
2025-07-02 11:45,212,91,121,,,,,0,0,0,,,,
2025-07-02 12:00,224,89,135,,,,,0,0,0,,,,
2025-07-02 12:15,186,85,101,,,,,0,0,0,,,,
2025-07-02 12:30,212,103,109,,,,,0,0,0,,,,
2025-07-02 12:45,229,113,116,,,,,0,0,0,,,,
2025-07-02 13:00,183,80,103,,,,,0,0,0,,,,
