Datetime,300039331 (Grevener Straße),353425091 (Grevener Straße Formel - Fahrräder Stadteinwärts),353425097 (Grevener Straße Formel- Fahrräder Stadtauswärts),300039331-status,353425091-status,353425097-status
2024-06-01 00:00,17,7,10,0,0,0
2024-06-01 00:15,10,6,4,0,0,0
2024-06-01 00:30,1,0,1,0,0,0
2024-06-01 00:45,5,3,2,0,0,0
2024-06-01 01:00,7,0,7,0,0,0
2024-06-01 01:15,10,4,6,0,0,0
2024-06-01 01:30,2,0,2,0,0,0
2024-06-01 01:45,0,0,0,0,0,0
2024-06-01 02:00,2,0,2,0,0,0
2024-06-01 02:15,6,3,3,0,0,0
2024-06-01 02:30,3,2,1,0,0,0
2024-06-01 02:45,4,1,3,0,0,0
2024-06-01 03:00,2,1,1,0,0,0
2024-06-01 03:15,4,0,4,0,0,0
2024-06-01 03:30,0,0,0,0,0,0
2024-06-01 03:45,2,1,1,0,0,0
2024-06-01 04:00,1,0,1,0,0,0
2024-06-01 04:15,1,1,0,0,0,0
2024-06-01 04:30,2,1,1,0,0,0
2024-06-01 04:45,4,0,4,0,0,0
2024-06-01 05:00,1,1,0,0,0,0
2024-06-01 05:15,3,1,2,0,0,0
2024-06-01 05:30,6,6,0,0,0,0
2024-06-01 05:45,4,4,0,0,0,0
2024-06-01 06:00,1,0,1,0,0,0
2024-06-01 06:15,3,2,1,0,0,0
2024-06-01 06:30,1,1,0,0,0,0
2024-06-01 06:45,1,1,0,0,0,0
2024-06-01 07:00,5,4,1,0,0,0
2024-06-01 07:15,0,0,0,0,0,0
2024-06-01 07:30,7,3,4,0,0,0
2024-06-01 07:45,4,2,2,0,0,0
2024-06-01 08:00,4,3,1,0,0,0
2024-06-01 08:15,2,1,1,0,0,0
2024-06-01 08:30,3,3,0,0,0,0
2024-06-01 08:45,10,3,7,0,0,0
2024-06-01 09:00,9,4,5,0,0,0
2024-06-01 09:15,11,6,5,0,0,0
2024-06-01 09:30,11,9,2,0,0,0
2024-06-01 09:45,28,18,10,0,0,0
2024-06-01 10:00,11,6,5,0,0,0
2024-06-01 10:15,22,8,14,0,0,0
2024-06-01 10:30,20,11,9,0,0,0
2024-06-01 10:45,11,5,6,0,0,0
2024-06-01 11:00,23,12,11,0,0,0
2024-06-01 11:15,13,5,8,0,0,0
2024-06-01 11:30,15,7,8,0,0,0
2024-06-01 11:45,24,16,8,0,0,0
2024-06-01 12:00,20,9,11,0,0,0
2024-06-01 12:15,17,8,9,0,0,0
2024-06-01 12:30,25,16,9,0,0,0
2024-06-01 12:45,11,4,7,0,0,0
2024-06-01 13:00,14,5,9,0,0,0
2024-06-01 13:15,17,6,11,0,0,0
2024-06-01 13:30,23,11,12,0,0,0
2024-06-01 13:45,20,9,11,0,0,0
2024-06-01 14:00,18,10,8,0,0,0
2024-06-01 14:15,12,7,5,0,0,0
2024-06-01 14:30,22,9,13,0,0,0
2024-06-01 14:45,20,11,9,0,0,0
2024-06-01 15:00,9,5,4,0,0,0
2024-06-01 15:15,27,11,16,0,0,0
2024-06-01 15:30,27,18,9,0,0,0
2024-06-01 15:45,25,14,11,0,0,0
2024-06-01 16:00,25,17,8,0,0,0
2024-06-01 16:15,32,13,19,0,0,0
2024-06-01 16:30,23,11,12,0,0,0
2024-06-01 16:45,19,9,10,0,0,0
2024-06-01 17:00,29,15,14,0,0,0
2024-06-01 17:15,20,8,12,0,0,0
2024-06-01 17:30,14,7,7,0,0,0
2024-06-01 17:45,12,5,7,0,0,0
2024-06-01 18:00,28,9,19,0,0,0
2024-06-01 18:15,22,6,16,0,0,0
2024-06-01 18:30,31,11,20,0,0,0
2024-06-01 18:45,18,9,9,0,0,0
2024-06-01 19:00,16,6,10,0,0,0
2024-06-01 19:15,31,15,16,0,0,0
2024-06-01 19:30,19,12,7,0,0,0
2024-06-01 19:45,23,14,9,0,0,0
2024-06-01 20:00,19,12,7,0,0,0
2024-06-01 20:15,10,2,8,0,0,0
2024-06-01 20:30,17,11,6,0,0,0
2024-06-01 20:45,17,10,7,0,0,0
2024-06-01 21:00,8,5,3,0,0,0
2024-06-01 21:15,9,6,3,0,0,0
2024-06-01 21:30,4,1,3,0,0,0
2024-06-01 21:45,7,3,4,0,0,0
2024-06-01 22:00,16,6,10,0,0,0
2024-06-01 22:15,13,6,7,0,0,0
2024-06-01 22:30,10,8,2,0,0,0
2024-06-01 22:45,11,6,5,0,0,0
2024-06-01 23:00,16,11,5,0,0,0
2024-06-01 23:15,18,8,10,0,0,0
2024-06-01 23:30,18,8,10,0,0,0
2024-06-01 23:45,18,4,14,0,0,0
2024-06-02 00:00,16,8,8,0,0,0
2024-06-02 00:15,11,4,7,0,0,0
2024-06-02 00:30,5,1,4,0,0,0
2024-06-02 00:45,3,1,2,0,0,0
2024-06-02 01:00,2,0,2,0,0,0
2024-06-02 01:15,10,5,5,0,0,0
2024-06-02 01:30,9,3,6,0,0,0
