Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2021-06-01 00:00,2,2,,0,0,
2021-06-01 00:15,3,3,,0,0,
2021-06-01 00:30,2,2,,0,0,
2021-06-01 00:45,0,0,,0,0,
2021-06-01 01:00,0,0,,0,0,
2021-06-01 01:15,1,1,,0,0,
2021-06-01 01:30,0,0,,0,0,
2021-06-01 01:45,0,0,,0,0,
2021-06-01 02:00,0,0,,0,0,
2021-06-01 02:15,0,0,,0,0,
2021-06-01 02:30,0,0,,0,0,
2021-06-01 02:45,0,0,,0,0,
2021-06-01 03:00,0,0,,0,0,
2021-06-01 03:15,0,0,,0,0,
2021-06-01 03:30,0,0,,0,0,
2021-06-01 03:45,0,0,,0,0,
2021-06-01 04:00,0,0,,0,0,
2021-06-01 04:15,2,2,,0,0,
2021-06-01 04:30,5,5,,0,0,
2021-06-01 04:45,0,0,,0,0,
2021-06-01 05:00,1,1,,0,0,
2021-06-01 05:15,4,4,,0,0,
2021-06-01 05:30,2,2,,0,0,
2021-06-01 05:45,8,8,,0,0,
2021-06-01 06:00,2,2,,0,0,
2021-06-01 06:15,9,9,,0,0,
2021-06-01 06:30,15,15,,0,0,
2021-06-01 06:45,17,17,,0,0,
2021-06-01 07:00,21,21,,0,0,
2021-06-01 07:15,33,33,,0,0,
2021-06-01 07:30,71,71,,0,0,
2021-06-01 07:45,86,86,,0,0,
2021-06-01 08:00,66,66,,0,0,
2021-06-01 08:15,41,41,,0,0,
2021-06-01 08:30,34,34,,0,0,
2021-06-01 08:45,28,28,,0,0,
2021-06-01 09:00,20,20,,0,0,
2021-06-01 09:15,19,19,,0,0,
2021-06-01 09:30,37,37,,0,0,
2021-06-01 09:45,24,24,,0,0,
2021-06-01 10:00,25,25,,0,0,
2021-06-01 10:15,19,19,,0,0,
2021-06-01 10:30,17,17,,0,0,
2021-06-01 10:45,31,31,,0,0,
2021-06-01 11:00,22,22,,0,0,
2021-06-01 11:15,20,20,,0,0,
2021-06-01 11:30,19,19,,0,0,
2021-06-01 11:45,33,33,,0,0,
2021-06-01 12:00,19,19,,0,0,
2021-06-01 12:15,23,23,,0,0,
2021-06-01 12:30,30,30,,0,0,
2021-06-01 12:45,35,35,,0,0,
2021-06-01 13:00,31,31,,0,0,
2021-06-01 13:15,34,34,,0,0,
2021-06-01 13:30,22,22,,0,0,
2021-06-01 13:45,22,22,,0,0,
2021-06-01 14:00,28,28,,0,0,
2021-06-01 14:15,35,35,,0,0,
2021-06-01 14:30,34,34,,0,0,
2021-06-01 14:45,40,40,,0,0,
2021-06-01 15:00,44,44,,0,0,
2021-06-01 15:15,39,39,,0,0,
2021-06-01 15:30,35,35,,0,0,
2021-06-01 15:45,50,50,,0,0,
2021-06-01 16:00,40,40,,0,0,
2021-06-01 16:15,42,42,,0,0,
2021-06-01 16:30,31,31,,0,0,
2021-06-01 16:45,62,62,,0,0,
2021-06-01 17:00,28,28,,0,0,
2021-06-01 17:15,44,44,,0,0,
2021-06-01 17:30,38,38,,0,0,
2021-06-01 17:45,41,41,,0,0,
2021-06-01 18:00,26,26,,0,0,
2021-06-01 18:15,31,31,,0,0,
2021-06-01 18:30,26,26,,0,0,
2021-06-01 18:45,23,23,,0,0,
2021-06-01 19:00,34,34,,0,0,
2021-06-01 19:15,21,21,,0,0,
2021-06-01 19:30,20,20,,0,0,
2021-06-01 19:45,14,14,,0,0,
2021-06-01 20:00,14,14,,0,0,
2021-06-01 20:15,21,21,,0,0,
2021-06-01 20:30,15,15,,0,0,
2021-06-01 20:45,20,20,,0,0,
2021-06-01 21:00,10,10,,0,0,
2021-06-01 21:15,10,10,,0,0,
2021-06-01 21:30,10,10,,0,0,
2021-06-01 21:45,14,14,,0,0,
2021-06-01 22:00,9,9,,0,0,
2021-06-01 22:15,6,6,,0,0,
2021-06-01 22:30,2,2,,0,0,
2021-06-01 22:45,8,8,,0,0,
2021-06-01 23:00,3,3,,0,0,
2021-06-01 23:15,2,2,,0,0,
2021-06-01 23:30,5,5,,0,0,
2021-06-01 23:45,0,0,,0,0,
2021-06-02 00:00,0,0,,0,0,
2021-06-02 00:15,3,3,,0,0,
2021-06-02 00:30,0,0,,0,0,
2021-06-02 00:45,0,0,,0,0,
2021-06-02 01:00,2,2,,0,0,
2021-06-02 01:15,0,0,,0,0,
2021-06-02 01:30,0,0,,0,0,
2021-06-02 01:45,0,0,,0,0,
2021-06-02 02:00,1,1,,0,0,
2021-06-02 02:15,0,0,,0,0,
2021-06-02 02:30,1,1,,0,0,
2021-06-02 02:45,0,0,,0,0,
2021-06-02 03:00,0,0,,0,0,
2021-06-02 03:15,0,0,,0,0,
2021-06-02 03:30,1,1,,0,0,
2021-06-02 03:45,0,0,,0,0,
2021-06-02 04:00,3,3,,0,0,
2021-06-02 04:15,1,1,,0,0,
2021-06-02 04:30,5,5,,0,0,
2021-06-02 04:45,5,5,,0,0,
2021-06-02 05:00,0,0,,0,0,
2021-06-02 05:15,4,4,,0,0,
2021-06-02 05:30,3,3,,0,0,
2021-06-02 05:45,2,2,,0,0,
2021-06-02 06:00,4,4,,0,0,
2021-06-02 06:15,13,13,,0,0,
2021-06-02 06:30,9,9,,0,0,
2021-06-02 06:45,17,17,,0,0,
2021-06-02 07:00,21,21,,0,0,
2021-06-02 07:15,35,35,,0,0,
2021-06-02 07:30,47,47,,0,0,
2021-06-02 07:45,102,102,,0,0,
2021-06-02 08:00,62,62,,0,0,
2021-06-02 08:15,31,31,,0,0,
2021-06-02 08:30,46,46,,0,0,
2021-06-02 08:45,47,47,,0,0,
2021-06-02 09:00,26,26,,0,0,
2021-06-02 09:15,34,34,,0,0,
2021-06-02 09:30,28,28,,0,0,
2021-06-02 09:45,30,30,,0,0,
2021-06-02 10:00,36,36,,0,0,
2021-06-02 10:15,37,37,,0,0,
2021-06-02 10:30,37,37,,0,0,
2021-06-02 10:45,26,26,,0,0,
2021-06-02 11:00,28,28,,0,0,
2021-06-02 11:15,34,34,,0,0,
2021-06-02 11:30,34,34,,0,0,
2021-06-02 11:45,23,23,,0,0,
2021-06-02 12:00,31,31,,0,0,
2021-06-02 12:15,29,29,,0,0,
2021-06-02 12:30,34,34,,0,0,
2021-06-02 12:45,40,40,,0,0,
2021-06-02 13:00,30,30,,0,0,
2021-06-02 13:15,34,34,,0,0,
2021-06-02 13:30,30,30,,0,0,
2021-06-02 13:45,37,37,,0,0,
2021-06-02 14:00,29,29,,0,0,
2021-06-02 14:15,24,24,,0,0,
2021-06-02 14:30,33,33,,0,0,
2021-06-02 14:45,37,37,,0,0,
2021-06-02 15:00,39,39,,0,0,
2021-06-02 15:15,43,43,,0,0,
2021-06-02 15:30,49,49,,0,0,
2021-06-02 15:45,49,49,,0,0,
2021-06-02 16:00,35,35,,0,0,
2021-06-02 16:15,38,38,,0,0,
2021-06-02 16:30,38,38,,0,0,
2021-06-02 16:45,37,37,,0,0,
2021-06-02 17:00,55,55,,0,0,
2021-06-02 17:15,47,47,,0,0,
2021-06-02 17:30,54,54,,0,0,
2021-06-02 17:45,34,34,,0,0,
2021-06-02 18:00,46,46,,0,0,
2021-06-02 18:15,31,31,,0,0,
2021-06-02 18:30,35,35,,0,0,
2021-06-02 18:45,43,43,,0,0,
2021-06-02 19:00,26,26,,0,0,
2021-06-02 19:15,31,31,,0,0,
2021-06-02 19:30,27,27,,0,0,
2021-06-02 19:45,33,33,,0,0,
2021-06-02 20:00,11,11,,0,0,
2021-06-02 20:15,25,25,,0,0,
2021-06-02 20:30,18,18,,0,0,
2021-06-02 20:45,14,14,,0,0,
2021-06-02 21:00,21,21,,0,0,
2021-06-02 21:15,7,7,,0,0,
2021-06-02 21:30,8,8,,0,0,
2021-06-02 21:45,17,17,,0,0,
2021-06-02 22:00,17,17,,0,0,
2021-06-02 22:15,12,12,,0,0,
2021-06-02 22:30,9,9,,0,0,
2021-06-02 22:45,6,6,,0,0,
2021-06-02 23:00,9,9,,0,0,
2021-06-02 23:15,2,2,,0,0,
2021-06-02 23:30,8,8,,0,0,
2021-06-02 23:45,5,5,,0,0,
