Datetime,300037920 (Lütkenbecker Str.),353413813 (Lütkenbecker Str. [Bike Stadteinwärts]),353413814 (Lütkenbecker Str. [Bike Stadtauswärts]),300037920-status,353413813-status,353413814-status
2025-06-01 00:00,18,6,12,0,0,0
2025-06-01 00:15,13,1,12,0,0,0
2025-06-01 00:30,10,3,7,0,0,0
2025-06-01 00:45,7,3,4,0,0,0
2025-06-01 01:00,3,1,2,0,0,0
2025-06-01 01:15,7,5,2,0,0,0
2025-06-01 01:30,9,5,4,0,0,0
2025-06-01 01:45,1,0,1,0,0,0
2025-06-01 02:00,2,0,2,0,0,0
2025-06-01 02:15,7,5,2,0,0,0
2025-06-01 02:30,3,0,3,0,0,0
2025-06-01 02:45,3,0,3,0,0,0
2025-06-01 03:00,5,2,3,0,0,0
2025-06-01 03:15,5,2,3,0,0,0
2025-06-01 03:30,4,3,1,0,0,0
2025-06-01 03:45,2,1,1,0,0,0
2025-06-01 04:00,2,0,2,0,0,0
2025-06-01 04:15,0,0,0,0,0,0
2025-06-01 04:30,3,2,1,0,0,0
2025-06-01 04:45,3,1,2,0,0,0
2025-06-01 05:00,2,1,1,0,0,0
2025-06-01 05:15,0,0,0,0,0,0
2025-06-01 05:30,4,3,1,0,0,0
2025-06-01 05:45,2,1,1,0,0,0
2025-06-01 06:00,2,2,0,0,0,0
2025-06-01 06:15,7,2,5,0,0,0
2025-06-01 06:30,4,3,1,0,0,0
2025-06-01 06:45,3,0,3,0,0,0
2025-06-01 07:00,4,2,2,0,0,0
2025-06-01 07:15,2,0,2,0,0,0
2025-06-01 07:30,3,2,1,0,0,0
2025-06-01 07:45,5,3,2,0,0,0
2025-06-01 08:00,6,1,5,0,0,0
2025-06-01 08:15,5,4,1,0,0,0
2025-06-01 08:30,9,8,1,0,0,0
2025-06-01 08:45,13,8,5,0,0,0
2025-06-01 09:00,21,8,13,0,0,0
2025-06-01 09:15,13,3,10,0,0,0
2025-06-01 09:30,22,14,8,0,0,0
2025-06-01 09:45,39,21,18,0,0,0
2025-06-01 10:00,33,15,18,0,0,0
2025-06-01 10:15,38,27,11,0,0,0
2025-06-01 10:30,29,21,8,0,0,0
2025-06-01 10:45,48,29,19,0,0,0
2025-06-01 11:00,34,10,24,0,0,0
2025-06-01 11:15,44,21,23,0,0,0
2025-06-01 11:30,44,16,28,0,0,0
2025-06-01 11:45,39,23,16,0,0,0
2025-06-01 12:00,43,8,35,0,0,0
2025-06-01 12:15,54,37,17,0,0,0
2025-06-01 12:30,39,24,15,0,0,0
2025-06-01 12:45,41,22,19,0,0,0
2025-06-01 13:00,67,26,41,0,0,0
2025-06-01 13:15,64,28,36,0,0,0
2025-06-01 13:30,61,29,32,0,0,0
2025-06-01 13:45,72,38,34,0,0,0
2025-06-01 14:00,68,38,30,0,0,0
2025-06-01 14:15,74,44,30,0,0,0
2025-06-01 14:30,71,41,30,0,0,0
2025-06-01 14:45,65,37,28,0,0,0
2025-06-01 15:00,49,23,26,0,0,0
2025-06-01 15:15,67,34,33,0,0,0
2025-06-01 15:30,65,33,32,0,0,0
2025-06-01 15:45,61,28,33,0,0,0
2025-06-01 16:00,65,39,26,0,0,0
2025-06-01 16:15,69,35,34,0,0,0
2025-06-01 16:30,63,36,27,0,0,0
2025-06-01 16:45,56,32,24,0,0,0
2025-06-01 17:00,54,27,27,0,0,0
2025-06-01 17:15,79,35,44,0,0,0
2025-06-01 17:30,55,32,23,0,0,0
2025-06-01 17:45,67,33,34,0,0,0
2025-06-01 18:00,54,24,30,0,0,0
2025-06-01 18:15,52,24,28,0,0,0
2025-06-01 18:30,42,25,17,0,0,0
2025-06-01 18:45,34,11,23,0,0,0
2025-06-01 19:00,44,26,18,0,0,0
2025-06-01 19:15,30,13,17,0,0,0
2025-06-01 19:30,18,10,8,0,0,0
2025-06-01 19:45,31,12,19,0,0,0
