Datetime,300039328 (Coesfelder Kreuz),353425081 (Coesfelder Kreuz Stadteinwärts),353425082 (Coesfelder Kreuz Stadtauswärts),300039328-status,353425081-status,353425082-status
2024-07-01 00:00,3,3,0,0,0,0
2024-07-01 00:15,0,0,0,0,0,0
2024-07-01 00:30,3,2,1,0,0,0
2024-07-01 00:45,0,0,0,0,0,0
2024-07-01 01:00,1,1,0,0,0,0
2024-07-01 01:15,2,2,0,0,0,0
2024-07-01 01:30,0,0,0,0,0,0
2024-07-01 01:45,3,3,0,0,0,0
2024-07-01 02:00,1,0,1,0,0,0
2024-07-01 02:15,0,0,0,0,0,0
2024-07-01 02:30,0,0,0,0,0,0
2024-07-01 02:45,0,0,0,0,0,0
2024-07-01 03:00,0,0,0,0,0,0
2024-07-01 03:15,0,0,0,0,0,0
2024-07-01 03:30,1,1,0,0,0,0
2024-07-01 03:45,1,1,0,0,0,0
2024-07-01 04:00,1,1,0,0,0,0
2024-07-01 04:15,3,3,0,0,0,0
2024-07-01 04:30,6,1,5,0,0,0
2024-07-01 04:45,4,2,2,0,0,0
2024-07-01 05:00,8,5,3,0,0,0
2024-07-01 05:15,3,2,1,0,0,0
2024-07-01 05:30,7,6,1,0,0,0
2024-07-01 05:45,11,9,2,0,0,0
2024-07-01 06:00,20,16,4,0,0,0
2024-07-01 06:15,23,22,1,0,0,0
2024-07-01 06:30,38,31,7,0,0,0
2024-07-01 06:45,30,26,4,0,0,0
2024-07-01 07:00,45,40,5,0,0,0
2024-07-01 07:15,59,56,3,0,0,0
2024-07-01 07:30,108,100,8,0,0,0
2024-07-01 07:45,98,85,13,0,0,0
2024-07-01 08:00,80,73,7,0,0,0
2024-07-01 08:15,91,82,9,0,0,0
2024-07-01 08:30,65,63,2,0,0,0
2024-07-01 08:45,59,55,4,0,0,0
2024-07-01 09:00,41,39,2,0,0,0
2024-07-01 09:15,39,39,0,0,0,0
2024-07-01 09:30,50,47,3,0,0,0
2024-07-01 09:45,80,74,6,0,0,0
2024-07-01 10:00,83,79,4,0,0,0
