Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2024-09-01 00:00,10,10,,0,0,
2024-09-01 00:15,5,5,,0,0,
2024-09-01 00:30,4,4,,0,0,
2024-09-01 00:45,9,9,,0,0,
2024-09-01 01:00,4,4,,0,0,
2024-09-01 01:15,3,3,,0,0,
2024-09-01 01:30,4,4,,0,0,
2024-09-01 01:45,7,7,,0,0,
2024-09-01 02:00,9,9,,0,0,
2024-09-01 02:15,3,3,,0,0,
2024-09-01 02:30,4,4,,0,0,
2024-09-01 02:45,3,3,,0,0,
2024-09-01 03:00,3,3,,0,0,
2024-09-01 03:15,1,1,,0,0,
2024-09-01 03:30,1,1,,0,0,
2024-09-01 03:45,3,3,,0,0,
2024-09-01 04:00,0,0,,0,0,
2024-09-01 04:15,3,3,,0,0,
2024-09-01 04:30,2,2,,0,0,
2024-09-01 04:45,1,1,,0,0,
2024-09-01 05:00,1,1,,0,0,
2024-09-01 05:15,0,0,,0,0,
2024-09-01 05:30,0,0,,0,0,
2024-09-01 05:45,1,1,,0,0,
2024-09-01 06:00,4,4,,0,0,
2024-09-01 06:15,0,0,,0,0,
2024-09-01 06:30,2,2,,0,0,
2024-09-01 06:45,2,2,,0,0,
2024-09-01 07:00,3,3,,0,0,
2024-09-01 07:15,2,2,,0,0,
2024-09-01 07:30,3,3,,0,0,
2024-09-01 07:45,6,6,,0,0,
2024-09-01 08:00,12,12,,0,0,
2024-09-01 08:15,3,3,,0,0,
2024-09-01 08:30,7,7,,0,0,
2024-09-01 08:45,10,10,,0,0,
2024-09-01 09:00,6,6,,0,0,
2024-09-01 09:15,12,12,,0,0,
2024-09-01 09:30,17,17,,0,0,
2024-09-01 09:45,19,19,,0,0,
2024-09-01 10:00,15,15,,0,0,
2024-09-01 10:15,27,27,,0,0,
2024-09-01 10:30,22,22,,0,0,
2024-09-01 10:45,19,19,,0,0,
2024-09-01 11:00,20,20,,0,0,
2024-09-01 11:15,20,20,,0,0,
2024-09-01 11:30,17,17,,0,0,
2024-09-01 11:45,20,20,,0,0,
2024-09-01 12:00,17,17,,0,0,
2024-09-01 12:15,27,27,,0,0,
2024-09-01 12:30,21,21,,0,0,
2024-09-01 12:45,26,26,,0,0,
2024-09-01 13:00,28,28,,0,0,
2024-09-01 13:15,23,23,,0,0,
2024-09-01 13:30,23,23,,0,0,
2024-09-01 13:45,16,16,,0,0,
2024-09-01 14:00,33,33,,0,0,
2024-09-01 14:15,30,30,,0,0,
2024-09-01 14:30,36,36,,0,0,
2024-09-01 14:45,34,34,,0,0,
2024-09-01 15:00,38,38,,0,0,
2024-09-01 15:15,25,25,,0,0,
2024-09-01 15:30,25,25,,0,0,
2024-09-01 15:45,35,35,,0,0,
2024-09-01 16:00,30,30,,0,0,
2024-09-01 16:15,37,37,,0,0,
2024-09-01 16:30,28,28,,0,0,
2024-09-01 16:45,18,18,,0,0,
2024-09-01 17:00,22,22,,0,0,
2024-09-01 17:15,18,18,,0,0,
2024-09-01 17:30,23,23,,0,0,
2024-09-01 17:45,27,27,,0,0,
2024-09-01 18:00,36,36,,0,0,
2024-09-01 18:15,13,13,,0,0,
2024-09-01 18:30,18,18,,0,0,
2024-09-01 18:45,34,34,,0,0,
2024-09-01 19:00,11,11,,0,0,
2024-09-01 19:15,24,24,,0,0,
2024-09-01 19:30,16,16,,0,0,
2024-09-01 19:45,19,19,,0,0,
2024-09-01 20:00,27,27,,0,0,
2024-09-01 20:15,21,21,,0,0,
2024-09-01 20:30,18,18,,0,0,
2024-09-01 20:45,10,10,,0,0,
2024-09-01 21:00,7,7,,0,0,
2024-09-01 21:15,9,9,,0,0,
2024-09-01 21:30,1,1,,0,0,
2024-09-01 21:45,4,4,,0,0,
2024-09-01 22:00,5,5,,0,0,
2024-09-01 22:15,6,6,,0,0,
2024-09-01 22:30,5,5,,0,0,
2024-09-01 22:45,1,1,,0,0,
2024-09-01 23:00,3,3,,0,0,
2024-09-01 23:15,3,3,,0,0,
2024-09-01 23:30,1,1,,0,0,
2024-09-01 23:45,1,1,,0,0,
