Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2021-11-01 00:00,17,9,8,0,0,0
2021-11-01 00:15,9,7,2,0,0,0
2021-11-01 00:30,15,8,7,0,0,0
2021-11-01 00:45,15,7,8,0,0,0
2021-11-01 01:00,14,6,8,0,0,0
2021-11-01 01:15,15,7,8,0,0,0
2021-11-01 01:30,12,7,5,0,0,0
2021-11-01 01:45,11,2,9,0,0,0
2021-11-01 02:00,32,5,27,0,0,0
2021-11-01 02:15,14,8,6,0,0,0
2021-11-01 02:30,7,2,5,0,0,0
2021-11-01 02:45,15,9,6,0,0,0
2021-11-01 03:00,21,6,15,0,0,0
2021-11-01 03:15,4,3,1,0,0,0
2021-11-01 03:30,11,4,7,0,0,0
2021-11-01 03:45,11,2,9,0,0,0
2021-11-01 04:00,8,6,2,0,0,0
2021-11-01 04:15,8,6,2,0,0,0
2021-11-01 04:30,8,6,2,0,0,0
2021-11-01 04:45,8,6,2,0,0,0
2021-11-01 05:00,8,6,2,0,0,0
2021-11-01 05:15,3,2,1,0,0,0
2021-11-01 05:30,5,2,3,0,0,0
2021-11-01 05:45,5,4,1,0,0,0
2021-11-01 06:00,0,0,0,0,0,0
2021-11-01 06:15,4,2,2,0,0,0
2021-11-01 06:30,4,2,2,0,0,0
2021-11-01 06:45,4,3,1,0,0,0
2021-11-01 07:00,3,1,2,0,0,0
2021-11-01 07:15,1,1,0,0,0,0
2021-11-01 07:30,9,5,4,0,0,0
2021-11-01 07:45,7,6,1,0,0,0
2021-11-01 08:00,3,2,1,0,0,0
2021-11-01 08:15,6,5,1,0,0,0
2021-11-01 08:30,7,4,3,0,0,0
2021-11-01 08:45,15,11,4,0,0,0
2021-11-01 09:00,12,6,6,0,0,0
2021-11-01 09:15,7,3,4,0,0,0
2021-11-01 09:30,12,10,2,0,0,0
2021-11-01 09:45,21,13,8,0,0,0
2021-11-01 10:00,11,10,1,0,0,0
2021-11-01 10:15,17,12,5,0,0,0
2021-11-01 10:30,18,14,4,0,0,0
2021-11-01 10:45,19,12,7,0,0,0
2021-11-01 11:00,24,15,9,0,0,0
2021-11-01 11:15,16,12,4,0,0,0
2021-11-01 11:30,28,20,8,0,0,0
2021-11-01 11:45,32,20,12,0,0,0
2021-11-01 12:00,31,24,7,0,0,0
2021-11-01 12:15,20,12,8,0,0,0
2021-11-01 12:30,30,15,15,0,0,0
2021-11-01 12:45,35,23,12,0,0,0
2021-11-01 13:00,34,23,11,0,0,0
2021-11-01 13:15,28,21,7,0,0,0
2021-11-01 13:30,24,10,14,0,0,0
2021-11-01 13:45,34,23,11,0,0,0
2021-11-01 14:00,31,24,7,0,0,0
2021-11-01 14:15,17,10,7,0,0,0
2021-11-01 14:30,28,18,10,0,0,0
2021-11-01 14:45,25,15,10,0,0,0
2021-11-01 15:00,29,20,9,0,0,0
2021-11-01 15:15,20,9,11,0,0,0
2021-11-01 15:30,33,19,14,0,0,0
2021-11-01 15:45,29,18,11,0,0,0
2021-11-01 16:00,28,16,12,0,0,0
2021-11-01 16:15,29,13,16,0,0,0
2021-11-01 16:30,40,24,16,0,0,0
2021-11-01 16:45,38,21,17,0,0,0
2021-11-01 17:00,31,24,7,0,0,0
2021-11-01 17:15,30,22,8,0,0,0
2021-11-01 17:30,33,14,19,0,0,0
2021-11-01 17:45,22,12,10,0,0,0
2021-11-01 18:00,26,8,18,0,0,0
2021-11-01 18:15,32,16,16,0,0,0
2021-11-01 18:30,33,18,15,0,0,0
2021-11-01 18:45,33,14,19,0,0,0
2021-11-01 19:00,24,10,14,0,0,0
2021-11-01 19:15,22,13,9,0,0,0
2021-11-01 19:30,19,11,8,0,0,0
2021-11-01 19:45,33,18,15,0,0,0
2021-11-01 20:00,11,6,5,0,0,0
2021-11-01 20:15,17,11,6,0,0,0
2021-11-01 20:30,23,7,16,0,0,0
2021-11-01 20:45,14,7,7,0,0,0
2021-11-01 21:00,11,6,5,0,0,0
2021-11-01 21:15,11,5,6,0,0,0
2021-11-01 21:30,9,5,4,0,0,0
2021-11-01 21:45,9,4,5,0,0,0
2021-11-01 22:00,8,3,5,0,0,0
2021-11-01 22:15,9,4,5,0,0,0
2021-11-01 22:30,3,2,1,0,0,0
2021-11-01 22:45,15,4,11,0,0,0
2021-11-01 23:00,9,2,7,0,0,0
2021-11-01 23:15,2,0,2,0,0,0
2021-11-01 23:30,3,2,1,0,0,0
2021-11-01 23:45,3,3,0,0,0,0
2021-11-02 00:00,4,1,3,0,0,0
2021-11-02 00:15,2,1,1,0,0,0
2021-11-02 00:30,1,1,0,0,0,0
2021-11-02 00:45,1,0,1,0,0,0
2021-11-02 01:00,0,0,0,0,0,0
2021-11-02 01:15,3,1,2,0,0,0
2021-11-02 01:30,0,0,0,0,0,0
2021-11-02 01:45,1,0,1,0,0,0
2021-11-02 02:00,0,0,0,0,0,0
2021-11-02 02:15,1,0,1,0,0,0
2021-11-02 02:30,1,0,1,0,0,0
2021-11-02 02:45,0,0,0,0,0,0
2021-11-02 03:00,2,0,2,0,0,0
2021-11-02 03:15,0,0,0,0,0,0
2021-11-02 03:30,0,0,0,0,0,0
2021-11-02 03:45,0,0,0,0,0,0
2021-11-02 04:00,0,0,0,0,0,0
2021-11-02 04:15,1,0,1,0,0,0
2021-11-02 04:30,5,4,1,0,0,0
2021-11-02 04:45,3,1,2,0,0,0
2021-11-02 05:00,1,1,0,0,0,0
2021-11-02 05:15,5,3,2,0,0,0
2021-11-02 05:30,10,5,5,0,0,0
2021-11-02 05:45,12,9,3,0,0,0
2021-11-02 06:00,7,5,2,0,0,0
2021-11-02 06:15,24,15,9,0,0,0
2021-11-02 06:30,20,10,10,0,0,0
2021-11-02 06:45,52,26,26,0,0,0
2021-11-02 07:00,46,27,19,0,0,0
