Datetime,100034981 (Weseler Straße),101034981 (Weseler Straße stadteinwärts),102034981 (Weseler Straße stadtauswärts),100034981-status,101034981-status,102034981-status
2025-01-01 00:00,0,,0,0,,0
2025-01-01 00:15,3,,3,0,,0
2025-01-01 00:30,4,,4,0,,0
2025-01-01 00:45,0,,0,0,,0
2025-01-01 01:00,2,,2,0,,0
2025-01-01 01:15,9,,9,0,,0
2025-01-01 01:30,5,,5,0,,0
2025-01-01 01:45,11,,11,0,,0
2025-01-01 02:00,5,,5,0,,0
2025-01-01 02:15,5,,5,0,,0
2025-01-01 02:30,6,,6,0,,0
2025-01-01 02:45,10,,10,0,,0
2025-01-01 03:00,9,,9,0,,0
2025-01-01 03:15,20,,20,0,,0
2025-01-01 03:30,4,,4,0,,0
2025-01-01 03:45,13,,13,0,,0
2025-01-01 04:00,4,,4,0,,0
2025-01-01 04:15,5,,5,0,,0
2025-01-01 04:30,3,,3,0,,0
2025-01-01 04:45,4,,4,0,,0
2025-01-01 05:00,2,0,2,0,0,0
2025-01-01 05:15,5,5,0,0,0,0
2025-01-01 05:30,4,3,1,0,0,0
2025-01-01 05:45,6,1,5,0,0,0
2025-01-01 06:00,0,0,0,0,0,0
2025-01-01 06:15,5,2,3,0,0,0
2025-01-01 06:30,6,0,6,0,0,0
2025-01-01 06:45,0,0,0,0,0,0
2025-01-01 07:00,1,1,0,0,0,0
2025-01-01 07:15,0,0,0,0,0,0
2025-01-01 07:30,2,1,1,0,0,0
2025-01-01 07:45,1,1,0,0,0,0
2025-01-01 08:00,1,0,1,0,0,0
2025-01-01 08:15,2,0,2,0,0,0
2025-01-01 08:30,1,0,1,0,0,0
2025-01-01 08:45,1,1,0,0,0,0
2025-01-01 09:00,0,0,0,0,0,0
2025-01-01 09:15,2,2,0,0,0,0
2025-01-01 09:30,4,4,0,0,0,0
2025-01-01 09:45,0,0,0,0,0,0
2025-01-01 10:00,3,3,0,0,0,0
2025-01-01 10:15,1,1,0,0,0,0
2025-01-01 10:30,1,1,0,0,0,0
2025-01-01 10:45,4,2,2,0,0,0
2025-01-01 11:00,2,0,2,0,0,0
2025-01-01 11:15,10,8,2,0,0,0
2025-01-01 11:30,7,5,2,0,0,0
2025-01-01 11:45,12,8,4,0,0,0
2025-01-01 12:00,11,8,3,0,0,0
2025-01-01 12:15,10,7,3,0,0,0
2025-01-01 12:30,5,2,3,0,0,0
2025-01-01 12:45,9,2,7,0,0,0
2025-01-01 13:00,3,2,1,0,0,0
2025-01-01 13:15,7,2,5,0,0,0
2025-01-01 13:30,11,3,8,0,0,0
2025-01-01 13:45,13,7,6,0,0,0
2025-01-01 14:00,9,2,7,0,0,0
2025-01-01 14:15,11,7,4,0,0,0
2025-01-01 14:30,17,9,8,0,0,0
2025-01-01 14:45,11,6,5,0,0,0
2025-01-01 15:00,6,5,1,0,0,0
2025-01-01 15:15,18,8,10,0,0,0
2025-01-01 15:30,19,17,2,0,0,0
2025-01-01 15:45,5,5,0,0,0,0
2025-01-01 16:00,15,8,7,0,0,0
2025-01-01 16:15,7,6,1,0,0,0
2025-01-01 16:30,13,6,7,0,0,0
2025-01-01 16:45,14,8,6,0,0,0
2025-01-01 17:00,5,4,1,0,0,0
2025-01-01 17:15,12,9,3,0,0,0
2025-01-01 17:30,16,9,7,0,0,0
2025-01-01 17:45,9,6,3,0,0,0
2025-01-01 18:00,11,5,6,0,0,0
2025-01-01 18:15,6,5,1,0,0,0
2025-01-01 18:30,11,7,4,0,0,0
2025-01-01 18:45,4,2,2,0,0,0
2025-01-01 19:00,3,2,1,0,0,0
2025-01-01 19:15,7,6,1,0,0,0
2025-01-01 19:30,5,1,4,0,0,0
2025-01-01 19:45,5,2,3,0,0,0
2025-01-01 20:00,1,1,0,0,0,0
2025-01-01 20:15,8,5,3,0,0,0
2025-01-01 20:30,6,3,3,0,0,0
2025-01-01 20:45,1,1,0,0,0,0
2025-01-01 21:00,2,2,0,0,0,0
2025-01-01 21:15,1,1,0,0,0,0
2025-01-01 21:30,6,4,2,0,0,0
2025-01-01 21:45,1,1,0,0,0,0
2025-01-01 22:00,4,2,2,0,0,0
2025-01-01 22:15,5,1,4,0,0,0
2025-01-01 22:30,3,2,1,0,0,0
2025-01-01 22:45,2,0,2,0,0,0
2025-01-01 23:00,0,0,0,0,0,0
2025-01-01 23:15,1,0,1,0,0,0
2025-01-01 23:30,1,0,1,0,0,0
2025-01-01 23:45,1,0,1,0,0,0
2025-01-02 00:00,2,2,0,0,0,0
2025-01-02 00:15,8,6,2,0,0,0
2025-01-02 00:30,4,2,2,0,0,0
2025-01-02 00:45,0,0,0,0,0,0
2025-01-02 01:00,2,0,2,0,0,0
2025-01-02 01:15,2,1,1,0,0,0
2025-01-02 01:30,0,0,0,0,0,0
2025-01-02 01:45,0,0,0,0,0,0
2025-01-02 02:00,0,0,0,0,0,0
2025-01-02 02:15,0,0,0,0,0,0
2025-01-02 02:30,0,0,0,0,0,0
2025-01-02 02:45,0,0,0,0,0,0
2025-01-02 03:00,0,0,0,0,0,0
2025-01-02 03:15,2,2,0,0,0,0
2025-01-02 03:30,0,0,0,0,0,0
2025-01-02 03:45,0,0,0,0,0,0
2025-01-02 04:00,0,0,0,0,0,0
2025-01-02 04:15,0,0,0,0,0,0
2025-01-02 04:30,1,1,0,0,0,0
2025-01-02 04:45,1,1,0,0,0,0
2025-01-02 05:00,0,0,0,0,0,0
2025-01-02 05:15,2,2,0,0,0,0
2025-01-02 05:30,4,4,0,0,0,0
2025-01-02 05:45,11,5,6,0,0,0
2025-01-02 06:00,5,3,2,0,0,0
2025-01-02 06:15,7,5,2,0,0,0
2025-01-02 06:30,11,3,8,0,0,0
2025-01-02 06:45,12,8,4,0,0,0
2025-01-02 07:00,14,9,5,0,0,0
2025-01-02 07:15,23,12,11,0,0,0
2025-01-02 07:30,31,15,16,0,0,0
2025-01-02 07:45,29,20,9,0,0,0
2025-01-02 08:00,26,20,6,0,0,0
2025-01-02 08:15,21,18,3,0,0,0
2025-01-02 08:30,19,16,3,0,0,0
2025-01-02 08:45,28,27,1,0,0,0
2025-01-02 09:00,22,17,5,0,0,0
2025-01-02 09:15,16,15,1,0,0,0
2025-01-02 09:30,21,18,3,0,0,0
2025-01-02 09:45,16,12,4,0,0,0
2025-01-02 10:00,21,19,2,0,0,0
2025-01-02 10:15,31,25,6,0,0,0
2025-01-02 10:30,9,7,2,0,0,0
2025-01-02 10:45,16,12,4,0,0,0
2025-01-02 11:00,20,18,2,0,0,0
